,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29
0,0,4.50657033774549E-16,1.425102670303E-15,4.50657033774549E-15,1.425102670303E-14,4.50657033774549E-14,1.425102670303E-13,4.50657033774549E-13,1.425102670303E-12,4.50657033774549E-12,1.425102670303E-11,4.50657033774549E-11,1.425102670303E-10,4.50657033774549E-10,1.425102670303E-09,4.50657033774549E-09,1.425102670303E-08,4.50657033774549E-08,1.425102670303E-07,1,0.998363547300578,0.9965818521024,0.992879486777208,0.985255129104003,0.969833982610624,0.939751956024474,0.885033484802274,0.797071656934514,0.679913872647225,0.555077140914375,0.442957461377063,0.345122154826,0.252838775384224,0.163668102161143,0.0873360180391435,0.036043047667208,0.0102002351376794,0,0.457249268743916,1.52859998113826E-05,-54.93,37350000,0.0001765,0.65,1000000000,4.50657033774549E-16,1.26245112854616E-15,3.53657600463593E-15,9.90721110208054E-15,2.77536328054377E-14,7.77478269073437E-14,2.17799400575407E-13,6.10133823386977E-13,1.70920251138123E-12,4.78808601151586E-12,1.34131371215618E-11,3.75749823643744E-11,1.05260930898369E-10,2.94873420462232E-10,8.2604565010971E-10,2.31404856699375E-09,6.48247559889048E-09,1.81597268482586E-08,5.08718735878937E-08,1.425102670303E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,2.23975202790865E-15,7.08271780217235E-15,2.23975202790865E-14,7.08271780217235E-14,2.23975202790865E-13,7.08271780217235E-13,2.23975202790865E-12,7.08271780217236E-12,2.23975202790865E-11,7.08271780217236E-11,2.23975202790865E-10,7.08271780217236E-10,2.23975202790865E-09,7.08271780217236E-09,2.23975202790865E-08,7.08271780217236E-08,2.23975202790865E-07,7.08271780217236E-07,1,0.998549053021726,0.996847232252852,0.993170522079789,0.98529827457046,0.96877640001244,0.935503277981131,0.873764767306212,0.774841367530116,0.64755534721685,0.519014723381006,0.407200884126859,0.307801762984319,0.211912892216079,0.123296553869437,0.0568047040752289,0.020088092249794,0.0050559155078786,0,0.47947432414415,1.61357332587669E-05,-54.93,37350000,0.0001765,0.684421052631579,1000000000,2.23975202790865E-15,6.27434448679078E-15,1.75766773501622E-14,4.9238543934288E-14,1.37934727961905E-13,3.86404382780208E-13,1.08245653025821E-12,3.03234691974271E-12,8.49468554592182E-12,2.37966447883263E-11,6.6662891771626E-11,1.86746542585512E-10,5.23143689702437E-10,1.46551211222645E-09,4.10542226420439E-09,1.15007524174053E-08,3.22177105433727E-08,9.02533012610251E-08,2.52831695708091E-07,7.08271780217235E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,3.01901506671873E-14,9.54696390119639E-14,3.01901506671873E-13,9.5469639011964E-13,3.01901506671873E-12,9.5469639011964E-12,3.01901506671873E-11,9.5469639011964E-11,3.01901506671873E-10,9.5469639011964E-10,3.01901506671873E-09,9.5469639011964E-09,3.01901506671873E-08,9.5469639011964E-08,3.01901506671873E-07,9.5469639011964E-07,,,1,0.997080619571626,0.993422186330176,0.985281399149928,0.96755219164642,0.930709804872093,0.861119460881842,0.750505529143067,0.613799799488619,0.48277213760487,0.370665543178183,0.26812216368233,0.169148902704549,0.0851627249254348,0.0319521366826807,0.0081199121457747,0,,,0.504331523352268,1.58219632955426E-05,-54.93,37350000,0.0001765,0.718842105263158,1000000000,3.01901506671873E-14,7.49207510804936E-14,1.85925502802011E-13,4.6139810524645E-13,1.1450188829217E-12,2.84151197705281E-12,7.05157830684149E-12,1.74994006779066E-11,4.34270188546032E-11,1.07769746022164E-10,2.67444518735381E-10,6.63698052947896E-10,1.64705228422598E-09,4.08737258595966E-09,1.01433420277278E-08,2.51720109502358E-08,6.24675904200704E-08,1.55021379126371E-07,3.84705538098056E-07,9.54696390119639E-07,233.736476381706,234.112193297616,234.9351687321,236.378498243279,239.090515490737,243.887890369605,251.912447399092,264.140216156586,280.406876748734,298.732558666436,315.918140647264,329.438099145388,338.622142004246,344.206658830674,347.288084748019,348.779451007479,349.419472644781,349.690919430379,349.811973694873,349.869096959145,234.301001988713,234.880536876522,235.785036347894,237.186779199919,239.334003958247,242.566640805056,247.306345000017,253.993721087438,262.935192806069,274.069570840845,286.78070106289,299.944287501432,312.282671740466,322.818206513608,331.118311197649,337.247301213252,341.556891799996,344.482180401818,346.420048434316,347.683105589087,12.1296314378719,7.01735761694664,3.01901506671873E-06,9.5469639011964E-06,3.01901506671873E-05,9.5469639011964E-05,0.0003019015066718,0.0009546963901196,0.0030190150667187,0.0095469639011963,0.0301901506671873,0.095469639011964,349.901809855177,349.915669544241,349.921902363902,349.924544972797,349.925575582858,349.92616204224,349.926400122783,349.926518463278,349.92669332684,349.926546166721,348.65973612998,349.214131156675,349.526621307568,349.702626700017,349.800830607342,349.856236119645,349.887129462533,349.904440398672,349.914075312151,349.919612970759
0,0,1.12715683471314E-13,3.56438287791947E-13,1.12715683471314E-12,3.56438287791947E-12,1.12715683471314E-11,3.56438287791947E-11,1.12715683471314E-10,3.56438287791947E-10,1.12715683471314E-09,3.56438287791947E-09,1.12715683471314E-08,3.56438287791947E-08,1.12715683471314E-07,3.56438287791947E-07,1.12715683471314E-06,3.56438287791947E-06,,,1,0.997304670184584,0.993684103476968,0.985308489157311,0.966382689649454,0.925824311655496,0.848007199079719,0.725904210108997,0.581660170374924,0.449827948240092,0.337060095034995,0.230956053774861,0.131592484278012,0.0571607980922168,0.0183697366823105,0.0041854435177195,0,,,0.527089823595429,1.63750013847518E-05,-54.93,37350000,0.0001765,0.753263157894737,1000000000,1.12715683471314E-13,2.79718500159734E-13,6.94157520248932E-13,1.72264137925444E-12,4.27495667043335E-12,1.06088561172216E-11,2.63272441787115E-11,6.5334450612478E-11,1.6213586229758E-10,4.02361045306763E-10,9.98510807456119E-10,2.47793329954826E-09,6.14931094501944E-09,1.52603078966773E-08,3.78704214477897E-08,9.3980333184855E-08,2.33224313009378E-07,5.7877620067282E-07,1.43630775943928E-06,3.56438287791948E-06,233.737709483774,234.063577241005,234.900381745226,236.435664026561,239.341199076905,244.63919785588,253.633513439929,267.313419055418,285.127675817134,304.324874865257,321.248925640838,333.662213937256,341.532339915461,346.001390181829,348.252881265724,349.225723790348,349.619059188265,349.784160453478,349.857892924809,349.892531238106,234.253729350156,234.837581445276,235.767859545012,237.238087963753,239.533222389208,243.046227268969,248.264654515285,255.680203423876,265.582546291699,277.765460523481,291.343680022291,304.926605960851,317.133786835856,327.093613765193,334.594300427064,339.90369132374,343.496541871496,345.853219866558,347.367527541755,348.327424597297,11.923886465959,6.74965983110171,1.12715683471314E-05,3.56438287791948E-05,0.0001127156834713,0.0003564382877919,0.0011271568347131,0.0035643828779194,0.0112715683471314,0.0356438287791947,0.112715683471314,0.356438287791948,349.912380728404,349.920756672051,349.924004431593,349.925407519509,349.926206846695,349.926267816727,349.926337712085,349.926554881868,349.926490743179,349.92651979468,349.048972084047,349.446418044935,349.664624234055,349.783327174625,349.848335308953,349.883942568761,349.903299246224,349.913894458613,349.919834407495,349.922850900418
0,0,3.7506047238077E-13,1.18604535302191E-12,3.75060472380769E-12,1.18604535302191E-11,3.75060472380769E-11,1.18604535302191E-10,3.7506047238077E-10,1.18604535302191E-09,3.7506047238077E-09,1.18604535302191E-08,3.7506047238077E-08,1.18604535302191E-07,3.7506047238077E-07,1.18604535302191E-06,3.7506047238077E-06,,,,1,0.997503401143365,0.993916429019444,0.985289881744352,0.965065910281971,0.920394375095315,0.833542909439744,0.699674487410732,0.549049139559919,0.416751696950704,0.301967222641803,0.19209429381506,0.0956861782866449,0.0340856815952771,0.0079818341289359,0,,,,0.552263618786397,1.596455576535E-05,-54.93,37350000,0.0001765,0.787684210526316,1000000000,3.75060472380769E-13,8.76036797546845E-13,2.04617795574312E-12,4.77930178080815E-12,1.11631177766943E-11,2.60739338530064E-11,6.09014470841028E-11,1.42248817452995E-10,3.32253616877642E-10,7.76051906123951E-10,1.81264109826202E-09,4.23382472896571E-09,9.88903531580986E-09,2.30980320957276E-08,5.39505694597237E-08,1.26013503356714E-07,2.94332445185538E-07,6.87478611269652E-07,1.60575855188279E-06,3.7506047238077E-06,233.673855742146,234.035256580074,234.731420025428,236.065713478627,238.566980677871,243.106183659479,250.869463138663,262.944622416034,279.329205280162,298.034035443264,315.676319376686,329.520360785921,338.836604991889,344.422567390234,347.445919055673,348.869634741261,349.465493879441,349.714798388605,349.824655220965,349.876211287451,234.196884867308,234.731796159589,235.575812083272,236.898690699528,238.949199441012,242.073987807991,246.713258933352,253.340224163873,262.303680286694,273.576304319318,286.532049507944,299.984642173032,312.572924696192,323.261449084937,331.609556125888,337.709682292842,341.949931101222,344.794487821336,346.656999747238,347.856778143482,12.0167304373898,6.86803607163425,1.18604535302191E-05,3.7506047238077E-05,0.0001186045353021,0.0003750604723807,0.0011860453530219,0.0037506047238076,0.011860453530219,0.0375060472380769,0.118604535302191,0.37506047238077,349.906494391461,349.918295603304,349.923204673498,349.925384968836,349.926131146256,349.926308683351,349.926332409514,349.92650428222,349.92653794526,349.926532208904,348.82070715011,349.338112737705,349.614381078742,349.761290022635,349.838845328147,349.880260407741,349.901806583104,349.913640985264,349.919511784268,349.923050189683
0,0,1.12848761983139E-12,3.5685911899694E-12,1.12848761983139E-11,3.5685911899694E-11,1.12848761983139E-10,3.5685911899694E-10,1.12848761983139E-09,3.5685911899694E-09,1.12848761983139E-08,3.5685911899694E-08,1.12848761983139E-07,3.5685911899694E-07,1.12848761983139E-06,3.5685911899694E-06,1.12848761983139E-05,,,,1,0.997694201207522,0.994156901806525,0.985311253194229,0.963798826004518,0.914856271463423,0.818662745337127,0.673733002397986,0.518733080141756,0.386527337327719,0.269045316384127,0.156916186086432,0.06792999272305,0.0206791869257943,0.0043337891300617,0,,,,0.575177277379738,1.64104166740808E-05,-54.93,37350000,0.0001765,0.822105263157895,1000000000,1.12848761983139E-12,2.6358327612426E-12,6.15657116936543E-12,1.43800354562681E-11,3.35877575414826E-11,7.84516463882345E-11,1.83241194754466E-10,4.28000392609732E-10,9.99689705797551E-10,2.33499670825973E-09,5.45390194173701E-09,1.27387958556274E-08,2.97542789703453E-08,6.94977081883321E-08,1.62327289068048E-07,3.79151334095438E-07,8.85591911080875E-07,2.06849603956415E-06,4.83143060833788E-06,1.12848761983139E-05,233.645447152938,233.999168800952,234.70281050011,236.088270677335,238.759067994464,243.716200320771,252.320531813988,265.715331610014,283.556593974004,303.131594486272,320.573332273669,333.394779540095,341.484899553521,346.035448840361,348.295173239912,349.253802227402,349.634870035987,349.792967231241,349.862837137947,349.895178877385,234.1535487297,234.689500241511,235.552088426225,236.929378801856,239.102891597147,242.46853143406,247.529461667548,254.813373251547,264.662922192919,276.919801085784,290.702241599773,304.560992016178,317.028662890744,327.173106606883,334.768131060246,340.102647014904,343.681079133091,346.006302768473,347.486094176271,348.415575731635,11.8214565220992,6.62381589538925,3.5685911899694E-05,0.0001128487619831,0.0003568591189969,0.0011284876198313,0.0035685911899693,0.0112848761983139,0.0356859118996939,0.112848761983139,0.35685911899694,1.12848761983139,349.914406521293,349.921847432426,349.924696135241,349.925770867348,349.926276211075,349.926471151199,349.926756549938,349.926466998915,349.926572885322,349.926485209505,349.142020437472,349.520500422454,349.716620622499,349.818200670846,349.870767471421,349.897495195386,349.911553276003,349.91885135754,349.922805581387,349.924433927449
0,0,3.10772035191163E-12,9.82747464290076E-12,3.10772035191163E-11,9.82747464290076E-11,3.10772035191163E-10,9.82747464290076E-10,3.10772035191163E-09,9.82747464290076E-09,3.10772035191163E-08,9.82747464290076E-08,3.10772035191163E-07,9.82747464290076E-07,3.10772035191163E-06,9.82747464290076E-06,,,,,1,0.997863966548029,0.994370227844496,0.985287631034986,0.962373490698468,0.908713418825356,0.802383856778361,0.646523863695695,0.488135414348851,0.355338623353891,0.234102406334208,0.121725952633309,0.0436705920119453,0.0097534122101489,0,,,,,0.600765881513027,1.58884353660211E-05,-54.93,37350000,0.0001765,0.856526315789474,1000000000,3.10772035191163E-12,6.83198957636227E-12,1.50193956617786E-11,3.30185290132082E-11,7.25876914588831E-11,1.59576247301093E-10,3.50811248999752E-10,7.71220870939255E-10,1.69544629332203E-09,3.72725666777997E-09,8.19397365887042E-09,1.8013571456632E-08,3.96009030700153E-08,8.70583341974298E-08,1.91388401921826E-07,4.20746855862444E-07,9.24966794959918E-07,2.0334402024816E-06,4.47029999303658E-06,9.82747464290077E-06,233.618130534226,233.931000982901,234.54020437776,235.71435347095,237.942884146904,242.043034013268,249.188549898615,260.57689661891,276.485470998255,295.215644317522,313.392519555519,327.978464086295,337.93495645053,343.950113732593,347.227376556265,348.783978118647,349.434330114531,349.702761447792,349.819987892814,349.874068315751,234.101145789536,234.585941519006,235.355919094501,236.570217028684,238.466354289627,241.379296863713,245.746860286853,252.058986150086,260.713789089292,271.764638443152,284.668768963399,298.270777675504,311.160983502128,322.209787137098,330.890763622113,337.251713213594,341.673920935487,344.635754386085,346.569454851859,347.810675206389,11.9513454193582,6.78619495995753,3.10772035191163E-05,9.82747464290077E-05,0.0003107720351911,0.00098274746429,0.0031077203519116,0.0098274746429007,0.0310772035191163,0.0982747464290077,0.310772035191163,0.982747464290077,349.907176217819,349.91935572148,349.923699148568,349.925510880449,349.926119827172,349.926471207532,349.926609768823,349.926530260494,349.926663157917,349.926661314584,348.856680671678,349.388189964109,349.656368499599,349.790971513917,349.858644489388,349.89269641651,349.909576908463,349.91804805448,349.922310539372,349.924439230541
0,0,7.91394804330746E-12,2.50261011010844E-11,7.91394804330746E-11,2.50261011010844E-10,7.91394804330746E-10,2.50261011010844E-09,7.91394804330746E-09,2.50261011010845E-08,7.91394804330746E-08,2.50261011010844E-07,7.91394804330747E-07,2.50261011010844E-06,7.91394804330747E-06,2.50261011010844E-05,,,,,1,0.998027226645635,0.994592425617247,0.985308816224345,0.961013219251258,0.902495886004681,0.785907662139545,0.620383199240435,0.460303433047879,0.326692491842497,0.201947588933042,0.0929134525019472,0.0284584737382643,0.0056226487449318,0,,,,,0.623571472255117,1.63361680982407E-05,-54.93,37350000,0.0001765,0.890947368421053,1000000000,7.91394804330746E-12,1.73979652018852E-11,3.82475588049864E-11,8.40831521138103E-11,1.8484778350017E-10,4.06368008405262E-10,8.93356442410939E-10,1.96394823580997E-09,4.31752936435069E-09,9.49162481583566E-09,2.0866318220892E-08,4.58723605856302E-08,1.0084546029741E-07,2.2169791858896E-07,4.87379074494039E-07,1.071450574577E-06,2.35546906676936E-06,5.17824588100827E-06,1.138381767881E-05,2.50261011010845E-05,233.593018964773,233.898704321443,234.509401526657,235.719442257273,238.074146759484,242.50460988281,250.347344702026,262.890878272121,280.172676282241,299.845963027609,317.993868235836,331.708040819066,340.521894099487,345.543774729734,348.080424695979,349.1717123716,349.603497160701,349.780269460508,349.857381877906,349.892776606389,234.062649421619,234.546802747787,235.32922075022,236.585142854873,238.57929948102,241.69026526429,246.412962354757,253.293023891178,262.737123983481,274.698541749774,288.407921253354,302.452840366903,315.29630590367,325.880949665338,333.876538548527,339.522245201638,343.318361534847,345.78644347681,347.355848897589,348.338913253698,11.7769381284694,6.56816615756156,7.91394804330747E-05,0.0002502610110108,0.0007913948043307,0.0025026101101084,0.0079139480433074,0.0250261011010844,0.0791394804330747,0.250261011010845,0.791394804330748,2.50261011010845,349.914490393944,349.922336540612,349.925076805126,349.926095850789,349.926326638134,349.926320013475,349.926522899323,349.926293884363,349.926661605483,349.926597416588,349.146270761859,349.544590722682,349.739945786493,349.835456546548,349.882012917879,349.905070464626,349.916035672934,349.921361410321,349.924073230071,349.925345259849
0,0,1.87994009670343E-11,5.94489257026004E-11,1.87994009670343E-10,5.94489257026004E-10,1.87994009670343E-09,5.94489257026004E-09,1.87994009670343E-08,5.94489257026004E-08,1.87994009670343E-07,5.94489257026004E-07,1.87994009670343E-06,5.94489257026004E-06,1.87994009670343E-05,5.94489257026004E-05,,,,,1,0.99817678286075,0.99480259366548,0.985319913086418,0.95958035500096,0.895864505081548,0.768586545405656,0.594274614653362,0.433295620328609,0.297971466484787,0.170273253734951,0.0681449198283624,0.0178429700587164,0.0031946513526295,0,,,,,0.646934638035597,1.65760523721616E-05,-54.93,37350000,0.0001765,0.925368421052632,1000000000,1.87994009670343E-11,4.13284648889428E-11,9.0856193400615E-11,1.99737587675523E-10,4.39101644447355E-10,9.6531782725641E-10,2.12214761525621E-09,4.66531371717989E-09,1.02561913804847E-08,2.25471357361823E-08,4.95674574553233E-08,1.08968734092577E-07,2.39556063984951E-07,5.26638290054902E-07,1.1577577454661E-06,2.54520611679605E-06,5.59536241700378E-06,1.23008036052614E-05,2.70419962209055E-05,5.94489257026004E-05,233.570218005557,233.868010794561,234.479621421486,235.724349792961,238.209026700451,242.988488238156,251.573793268602,265.328409391524,283.957545884447,304.386687055798,322.247578363706,334.948818917501,342.642657071041,346.764454891193,348.670389923392,349.422207792808,349.711523347419,349.829532183107,349.881174355681,349.904761415175,234.023668103199,234.505502419576,235.298693163111,236.595301288599,238.689158391147,242.006927281177,247.10706462685,254.593781333006,264.870685077758,277.75660668471,292.215693428109,306.57474928583,319.219576251644,329.229228661892,336.49915614877,341.449913679905,344.673118025148,346.708993541732,347.970674677409,348.743086757003,11.5862525098709,6.34810369074452,0.0001879940096703,0.000594489257026,0.0018799400967034,0.00594489257026,0.0187994009670343,0.0594489257026004,0.187994009670343,0.594489257026005,1.87994009670343,5.94489257026005,349.919117714599,349.924021751947,349.925752475251,349.926299957846,349.926528418398,349.92635958311,349.926427574628,349.92645930705,349.926628946092,349.926621363714,349.361626854617,349.657676929117,349.798546312571,349.865866831447,349.897694347676,349.912895179409,349.920036521637,349.923489083538,349.925093344147,349.925850954136
