,APD,drug concentration,qNet
0,130.5,0.1,0.15881191881599277
1,130.7,0.1528306732658769,0.15879905680623688
2,130.9,0.23357214690901226,0.1587785565011092
3,131.4,0.35696988468260643,0.15874747746990403
4,132.10000000000002,0.5455594781168519,0.15870063483847566
5,133.10000000000002,0.8337822234717891,0.158629332911567
6,134.60000000000002,1.2742749857031335,0.15852211960588553
7,136.8,1.9474830399087562,0.15836119135434118
8,140.2,2.9763514416313175,0.15812256922259116
9,145.0,4.548777947003775,0.1577744826792304
10,151.9,6.951927961775605,0.1572798984023424
11,161.3,10.624678308940409,0.15659446763529042
12,173.8,16.23776739188721,0.1556811293249133
13,189.8,24.816289228368237,0.15451532078792277
14,209.70000000000002,37.926901907322495,0.1530981943088437
15,233.4,57.963939533849675,0.15146093577958225
16,260.8,88.58667904100822,0.14966431621165427
17,291.4,135.38761800225433,0.14779145763547447
18,324.2,206.9138081114788,0.14594757129620117
19,357.70000000000005,316.22776601683796,0.1442489410494719
