,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,Hill_coef,IC50,Kmax,Ku,halfmax,n,Vhalf,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13
dofetilide,0.0,1.1359430134723382e-15,3.592167214727924e-15,1.1359430134723382e-14,3.5921672147279235e-14,1.1359430134723385e-13,3.592167214727924e-13,1.1359430134723385e-12,3.592167214727924e-12,1.1359430134723384e-11,3.592167214727925e-11,1.1359430134723388e-10,3.592167214727925e-10,1.1359430134723384e-09,0.6535740967035928,1.0094537383813353e-08,100000000.0,1.79e-05,548300000.0,0.65,-1.147,1.1359430134723396e-15,2.350422947151909e-15,4.863349626678071e-15,1.0062941914334996e-14,2.0821616322996705e-14,4.30827992442738e-14,8.91442605573504e-14,1.8445178423203291e-13,3.816562108840662e-13,7.896993998342017e-13,1.6339971008304349e-12,3.3809656257594162e-12,6.995684727198904e-12,1.4475037672520384e-11,2.9950851673783126e-11,6.197244776004532e-11,1.2822955164020668e-10,2.6532464842302726e-10,5.489933339104788e-10,1.1359430134723395e-09,239.0907326758729,240.92252967733765,243.84057327378684,248.46643497268684,255.73427186319816,266.971206348431,283.8571319962513,308.141684511918,342.15853357223125,391.531273237572,456.935892637181,539.6244885354756,861.5882332771272,880.1327918286698,,,,,,,238.6493309707828,240.22086338410435,242.721882688814,246.67764805139183,252.8725160826383,262.4261484533051,276.8229692385748,297.8243550838297,327.4472204653036,371.1580642531383,429.1947272328982,504.00248190563207,587.3277008810489,853.812320652916,929.3118213237168,,,,,,75.01024175454103,30.559824933097275,1.0,0.9831094840040294,0.9649657854950676,0.9287342195039132,0.860408926503584,0.7444602916046914,0.5789760792777666,0.3930807324664876,0.2332404559610798,0.1251304731769713,0.0641033681355009,0.032388354749837,0.0138082959103521,0.0
dofetilide,0.0,5.389115374338476e-15,1.7041879156340517e-14,5.3891153743384764e-14,1.7041879156340518e-13,5.389115374338477e-13,1.7041879156340517e-12,5.389115374338477e-12,1.7041879156340518e-11,5.389115374338477e-11,1.7041879156340522e-10,5.389115374338476e-10,1.7041879156340523e-09,,0.6991713551886135,7.354859977472644e-09,100000000.0,1.79e-05,548300000.0,0.6844210526315789,-1.147,5.389115374338479e-15,1.04952107916357e-14,2.0439245016977927e-14,3.9805083019104007e-14,7.75197240818653e-14,1.5096834790783876e-13,2.940082971135601e-13,5.725761722211143e-13,1.1150823844564934e-12,2.171604031830033e-12,4.229162021386474e-12,8.236221309676378e-12,1.6039901313529804e-11,3.1237435769909554e-11,6.083437637213789e-11,1.1847391622816432e-10,2.3072594252592126e-10,4.4933485993619535e-10,8.750720189655154e-10,1.7041879156340523e-09,238.749827282791,240.3079679390537,242.75248124350384,246.5733021522966,252.5046023435388,261.6029273664792,275.268327730205,295.09140371993976,322.6186299728673,362.1543607529379,415.39453261982624,485.7176239397544,568.0624114873226,850.1744152766252,905.4024153406624,,,,,,238.25690320292028,239.5620989559916,241.6239123238991,244.86526493388035,249.91945427091355,257.70496757405425,269.4745380754472,286.79149582858213,311.40024260773754,346.28691035777223,395.986483473349,460.26710750950485,539.1479326560362,732.3356727689709,874.4995701153999,,,,,,33.870690795579065,18.283511634223,1.0,0.9848578664864576,0.9672988027352551,0.930783811686168,0.8593328797979739,0.734803152048053,0.5560577743781441,0.3599784842635941,0.1996889677069746,0.0981325406965588,0.0444439254166614,0.0170515292667052,0.0,
dofetilide,0.0,2.202540003307701e-14,6.965043048087134e-14,2.2025400033077014e-13,6.965043048087133e-13,2.2025400033077014e-12,6.965043048087133e-12,2.202540003307701e-11,6.965043048087133e-11,2.202540003307701e-10,6.965043048087131e-10,2.202540003307702e-09,6.965043048087134e-09,,0.7258337338736138,9.288133009424249e-09,100000000.0,1.79e-05,548300000.0,0.718842105263158,-1.147,2.2025400033077048e-14,4.289409301162324e-14,8.353551865240517e-14,1.626840058055404e-13,3.1682434217070697e-13,6.17010033007702e-13,1.2016165747360396e-12,2.340127899771686e-12,4.5573593960226676e-12,8.875380130522979e-12,1.7284652276936642e-11,3.366156716005432e-11,6.555533114095551e-11,1.2766789557261298e-10,2.486310613685056e-10,4.84204775209679e-10,9.429805875636803e-10,1.836438701243458e-09,3.576433224503707e-09,6.9650430480871435e-09,238.44695600316493,239.9195730272308,242.28399849992684,246.06675248147883,252.07573313946224,261.5014920730848,275.95174366849074,297.2646122008787,327.2691372089288,371.3404659637331,430.7376904679238,509.3426012398122,596.7914267352469,860.2825533966846,,,,,,,238.07196488296088,239.3264644057808,241.34488836485923,244.57489209832383,249.70112032583395,257.7324326350912,270.0643135417956,288.4498406309214,314.85525908290964,353.2789546786668,407.1254913653154,477.5400227591932,561.2433168235799,848.7501198453501,906.3356827706295,,,,,,15.994941709865635,11.229689618961809,1.0,0.9866083640195588,0.9698880830337244,0.9336758093214066,0.8601331137011408,0.7285225413321904,0.5388307291063287,0.3362405929421896,0.1792414247988872,0.0861774276974488,0.0398394824550406,0.0159963926488513,0.0,
dofetilide,0.0,7.915030272246236e-14,2.502952340948072e-13,7.915030272246236e-13,2.5029523409480718e-12,7.915030272246236e-12,2.502952340948072e-11,7.915030272246235e-11,2.502952340948072e-10,7.915030272246235e-10,2.5029523409480722e-09,7.915030272246237e-09,2.5029523409480724e-08,,0.7519094453643879,1.1654349007878864e-08,100000000.0,1.79e-05,548300000.0,0.7532631578947369,-1.147,7.915030272246227e-14,1.541438721556389e-13,3.0019257672897114e-13,5.846199518861781e-13,1.138537441090608e-12,2.2172823568250706e-12,4.31811978460575e-12,8.409465044814136e-12,1.6377290549481032e-11,3.1894495584772345e-11,6.211398921778876e-11,1.2096594054271876e-10,2.3557911761355636e-10,4.5878633610907046e-10,8.934786085142914e-10,1.740034436602862e-09,3.388687554141271e-09,6.5994115392399996e-09,1.2852242046048044e-08,2.502952340948074e-08,238.1776505783045,239.56620112129536,241.8482766067704,245.5839422651661,251.65765521409568,261.40037695140313,276.6456778420056,299.50286894141686,332.15700128032404,380.9495133224891,447.1881894818458,533.6308460185966,862.046453405572,884.5991196658408,,,,,,,237.9070020075229,239.11294375094525,241.08766521114472,244.3037607181976,249.4969347247436,257.7688325832723,270.66475187223915,290.138192480696,318.3954597488444,360.4206414597608,418.6649958743407,495.2455525373391,582.8678044585965,853.8678123012099,,,,,,,76.49779211112289,31.072244497590933,1.0,0.9881549414226336,0.972267262761637,0.9364322580741564,0.8608875634618421,0.7220973768384279,0.5215408938077244,0.313615193221397,0.1612462258314615,0.076801528686713,0.0367962910325254,0.0155028356901243,0.0,
dofetilide,0.0,2.543485081784072e-13,8.043206053097311e-13,2.543485081784071e-12,8.043206053097311e-12,2.5434850817840707e-11,8.043206053097312e-11,2.5434850817840714e-10,8.04320605309731e-10,2.5434850817840717e-09,8.043206053097313e-09,2.5434850817840722e-08,8.043206053097317e-08,,0.7773067442941891,1.4575809045865193e-08,100000000.0,1.79e-05,548300000.0,0.7876842105263158,-1.147,2.5434850817840733e-13,4.95339405903541e-13,9.646650919956276e-13,1.8786689058535023e-12,3.658675831753645e-12,7.1252091308642735e-12,1.387622393816116e-11,2.7023710777544816e-11,5.262821841466792e-11,1.0249256278317928e-10,1.9960252773702558e-10,3.8872253749077374e-10,7.570305489935764e-10,1.474304154857808e-09,2.87118233725259e-09,5.591578906284992e-09,1.0889505086301602e-08,2.120712646857252e-08,4.130051912274508e-08,8.043206053097317e-08,237.93852772758572,239.24476133424787,241.442312124302,245.124385166916,251.2500118517761,261.299647413616,277.35017003162625,301.8073724405617,337.3327110204272,391.0490301074076,464.7354647233917,557.9656704363958,850.3457451620353,936.7231708044952,,,,,,,237.7596710670815,238.91936483029804,240.8509907769527,244.0515117483086,249.3065455273824,257.8138707434255,271.2735184649514,291.8491710229917,322.0081516598894,367.64616731499495,430.5554163292337,513.1156334023298,604.4755282905397,868.3578766878244,,,,,,,70.3267742053056,32.54468303418434,1.0,0.989523166409556,0.9744599069747184,0.93906978618343,0.8616129454744932,0.7155562268995952,0.5042921006418032,0.2922656178820833,0.1456650569482431,0.0696947258890834,0.0349363843375743,0.0154007694148332,0.0,
dofetilide,0.0,7.412286506309017e-13,2.343970802966853e-12,7.412286506309017e-12,2.343970802966853e-11,7.412286506309017e-11,2.343970802966853e-10,7.412286506309015e-10,2.3439708029668524e-09,7.412286506309018e-09,2.3439708029668533e-08,7.41228650630902e-08,,,0.8300236799141925,9.306146979133434e-09,100000000.0,1.79e-05,548300000.0,0.8221052631578948,-1.147,7.412286506309031e-13,1.3586578189228013e-12,2.490393574707156e-12,4.564843384819257e-12,8.367269872344751e-12,1.5337044278337318e-11,2.811250632337531e-11,5.152968182390165e-11,9.44529128185446e-11,1.7313036727833008e-10,3.1734462368051327e-10,5.816865738927593e-10,1.0662202696956352e-09,1.9543611878506593e-09,3.582306359329828e-09,6.566298456943924e-09,1.203589841314701e-08,2.206156962883721e-08,4.043843158034528e-08,7.412286506309017e-08,237.72607064470805,238.81164494435257,240.59085585494245,243.49897334898583,248.2279629054241,255.84425476274072,267.8946183185212,286.3516968360058,313.2519142490918,352.31047977097745,408.033519066426,483.2986855446976,573.1258408903732,851.9898945150607,960.98808283799,,,,,,237.45965435678664,238.3830439747444,239.9000057389389,242.3829971334305,246.41994829233084,252.91294458693864,263.1801304544074,278.9925230721858,302.45679578625646,336.2174991817859,386.7897575650745,453.8921055498719,538.3842644278828,857.9202798272729,885.9235952497992,,,,,,24.025832683784536,13.381929952839377,1.0,0.9905877157823244,0.9761082418059304,0.9406752627348576,0.8601443196430135,0.7043258727838241,0.4790702221668299,0.2608110101501981,0.1186939737750709,0.049740624836561,0.0186966492935543,0.0,,
dofetilide,0.0,1.982165047340416e-12,6.268156247971195e-12,1.9821650473404158e-11,6.268156247971194e-11,1.982165047340416e-10,6.268156247971192e-10,1.982165047340416e-09,6.268156247971195e-09,1.982165047340416e-08,6.268156247971198e-08,1.9821650473404165e-07,,,0.8561328307264957,1.135250732791484e-08,100000000.0,1.79e-05,548300000.0,0.8565263157894737,-1.147,1.982165047340418e-12,3.6332702974612523e-12,6.659714372486907e-12,1.2207127984422e-11,2.237543013010838e-11,4.10137318250676e-11,7.517737931460337e-11,1.3779868617460088e-10,2.5258233373609587e-10,4.629785456353051e-10,8.486307436787694e-10,1.5555237837825711e-09,2.8512450909145403e-09,5.22627725350201e-09,9.579665395131514e-09,1.7559341885505066e-08,3.2185934971042806e-08,5.8996197962028656e-08,1.0813889287685029e-07,1.982165047340418e-07,237.53726223242225,238.5536144097053,240.25493154420428,243.0948195528337,247.8109910563268,255.5668349899333,268.08219675479154,287.5810945996576,316.363496224514,359.18441620954394,419.95766848567456,502.7068774505001,597.3437448092129,864.9288118196041,,,,,,,237.3430641121044,238.2250903622707,239.6978965379741,242.1475942742722,246.19398096524412,252.8039338472057,263.4093496922673,279.95451638582387,304.7581676132372,340.9793192229461,395.28360243570177,467.66614677910377,556.6677080175975,848.6280595094937,920.5449768215371,,,,,,17.555275456206747,11.800595027405851,1.0,0.9916737559977058,0.9779934914008424,0.9431189858351172,0.8608049223622751,0.6974163678629062,0.4617220338668991,0.2417939368901872,0.1071470374121846,0.0458061064504045,0.0180622737022191,0.0,,
dofetilide,0.0,1.553528814520953e-11,4.912689464587476e-11,1.553528814520953e-10,4.912689464587473e-10,1.553528814520953e-09,4.912689464587476e-09,1.5535288145209534e-08,4.912689464587477e-08,1.553528814520954e-07,4.912689464587477e-07,,,,0.8815992935841204,1.3827434128513686e-08,100000000.0,1.79e-05,548300000.0,0.8909473684210527,-1.147,1.553528814520954e-11,2.6801643004505e-11,4.623847726715227e-11,7.977110879454656e-11,1.3762195847292588e-10,2.3742685466117697e-10,4.096113145010177e-10,7.066657611527821e-10,1.2191472264236062e-09,2.1032856569585816e-09,3.6286106049267164e-09,6.260117297251138e-09,1.0800020405092328e-08,1.863230914245462e-08,3.2144656302344225e-08,5.54563001770651e-08,9.56737941262253e-08,1.650574389795469e-07,2.8475883507392864e-07,4.912689464587479e-07,239.7392154797556,242.0350139433374,245.73326746930627,251.65021677248427,260.9994301717564,275.4369738604089,296.8758100053829,327.2225361841968,371.9962018896202,432.5947631640765,512.8804685450019,601.7946169879555,863.7276732736888,,,,,,,,239.33347406277147,241.34022853437625,244.5423609847253,249.6101142256839,257.5294896460074,269.66324534056787,287.72563485140944,313.6395278572785,351.1198716701361,403.9751253370442,472.97504320760527,555.8017834630679,849.9630905219846,897.0621364638454,,,,,,,20.51637274221503,14.266707541870254,1.0,0.9797284676507638,0.9454589366671068,0.8614444761418315,0.6904022890208815,0.4445884905793014,0.2242178527566302,0.0975319488562485,0.043064341628978,0.0178133513272015,0.0,,,
dofetilide,0.0,3.598935946377844e-11,1.1380834743607597e-10,3.5989359463778435e-10,1.1380834743607601e-09,3.5989359463778434e-09,1.13808347436076e-08,3.598935946377844e-08,1.1380834743607601e-07,3.598935946377845e-07,1.1380834743607604e-06,,,,0.9064992366726794,1.6793715001299044e-08,100000000.0,1.79e-05,548300000.0,0.9253684210526316,-1.147,3.598935946377851e-11,6.208922263256706e-11,1.0711698192340472e-10,1.8479934729220924e-10,3.188177835709222e-10,5.500278037256928e-10,9.489137697490142e-10,1.6370760465562702e-09,2.8243008665762827e-09,4.872513651227866e-09,8.40611195583492e-09,1.4502313030200311e-08,2.501954343826348e-08,4.3163980294425366e-08,7.446695418143294e-08,1.2847117497585878e-07,2.216398264318013e-07,3.82375366847466e-07,6.596780169232071e-07,1.13808347436076e-06,239.45850012933877,241.68608654728288,245.34247836412905,251.3048450159853,260.9002442574536,275.9695808680149,298.6518227495442,331.1417900260094,379.7646291657331,445.9602384290092,532.6367979767075,861.9735446726639,884.5517041961031,,,,,,,,239.16643849981543,241.1405674494746,244.33401467954863,249.4568004358092,257.5665663689369,270.1401465748506,289.0452398052163,316.38558359058595,356.66877229637674,412.8653619235751,486.6801324111168,572.7529327098749,849.9144097700812,942.362886698496,,,,,,,82.71775553520311,35.63271506790095,1.0,0.9813275531327412,0.947700638134122,0.8620630971659312,0.6832938434102388,0.4277292933826521,0.2080957507149612,0.0896561204821861,0.0412356755734998,0.0178068910139259,0.0,,,
