,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,Hill_coef,IC50,Kmax,Ku,halfmax,n,Vhalf,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16
terfenadine,0.0,2.496004739396904e-09,7.893060027069227e-09,2.496004739396904e-08,7.893060027069226e-08,2.496004739396904e-07,7.893060027069225e-07,2.496004739396904e-06,7.893060027069226e-06,2.496004739396904e-05,7.893060027069226e-05,0.0002496004739396,0.0007893060027069,0.0024960047393969,0.0078930600270692,0.024960047393969,0.0789306002706922,0.446574339848321,0.005615281945868,9884.0,8.18e-05,41380.0,0.65,-77.49,2.4960047393969035e-09,6.194157552825157e-09,1.537160053569907e-08,3.814660847968484e-08,9.466572691131853e-08,2.3492520590450026e-07,5.82997185676004e-07,1.446782677906045e-06,3.590377738550953e-06,8.909985239897513e-06,2.2111277073378908e-05,5.487198470615586e-05,0.0001361719043002,0.0003379281361892,0.0008386122366076,0.0020811243814104,0.0051645784569291,0.0128165672729753,0.0318059640360994,0.0789306002706922,238.0689304871929,239.6947232766164,242.6084926405092,247.7973551013331,256.9287753950956,272.6372922337587,298.5860911916637,339.6466119941182,406.62627549071016,502.5790101982774,667.004763939381,901.0772993647058,,,,,,,,,239.97987175129532,241.9238300209876,244.80429942182104,249.04735338983653,255.24146863802952,264.1673288827831,276.79785777463263,294.2427192341866,317.70389574432664,349.92052941960526,393.3515645060218,447.6980334346477,514.1497016687064,585.4120042462698,849.2895815462427,901.622374442878,,,,,161.8323376887813,86.53140575793236,1.0,0.9908480921807674,0.9809786149117212,0.9610135486574723,0.9222835646781488,0.8529593193960707,0.7452387208527922,0.6102210766327363,0.4795200534841645,0.3756950237416055,0.294373722367756,0.2213867295275898,0.1496499446115043,0.0845453324456396,0.0372274393242833,0.0112162887373326,0.0
terfenadine,0.0,5.681443426890275e-09,1.7966301626365598e-08,5.6814434268902747e-08,1.7966301626365596e-07,5.681443426890275e-07,1.7966301626365597e-06,5.681443426890275e-06,1.7966301626365598e-05,5.681443426890276e-05,0.0001796630162636,0.000568144342689,0.0017966301626365,0.0056814434268902,0.0179663016263656,0.0568144342689027,0.179663016263656,0.4678073106525443,0.0058211837516663,9884.0,8.18e-05,41380.0,0.6844210526315789,-77.49,5.681443426890266e-09,1.4099234331632045e-08,3.4989067707232066e-08,8.682988240536302e-08,2.1547954754366962e-07,5.347402774641628e-07,1.3270269387608546e-06,3.2931884326125544e-06,8.172471662722999e-06,2.028104204927774e-05,5.033002053475745e-05,0.000124900434646,0.0003099565310924,0.0007691970923812,0.0019088617518152,0.0047370865330017,0.0117556909502779,0.0291732626701409,0.0723972124157377,0.179663016263656,237.8419058510185,239.3897272201931,242.2522523129653,247.51240926761108,257.0550208910076,273.93854645816805,302.4691607140668,349.2094975473657,425.1926787927262,533.2705290694511,856.5964162953273,,,,,,,,,,239.7093736553652,241.62687067378192,244.5241114751239,248.8733744864336,255.33975393598257,264.81861254375923,278.43430689784,297.4704813041091,323.3543162577213,360.0351228668702,408.257880591117,469.488549573867,542.2215630025792,709.0714578366078,865.7986092140756,997.9453490167452,,,,,149.16288284218606,72.93490361198154,1.0,0.9918837883617784,0.9824432259937464,0.962564439992021,0.922526467938327,0.8487022060115182,0.7326301476669986,0.5895686312128057,0.4567822847852484,0.3545864929894622,0.2731328606368734,0.1971404957366475,0.1233397152797356,0.0622014895673341,0.0241315028189425,0.006563477411382,0.0
terfenadine,0.0,1.19525989797987e-08,3.779743673476879e-08,1.19525989797987e-07,3.779743673476879e-07,1.19525989797987e-06,3.77974367347688e-06,1.1952598979798702e-05,3.77974367347688e-05,0.0001195259897979,0.0003779743673476,0.0011952598979798,0.0037797436734768,0.0119525989797987,0.0377974367347688,0.119525989797987,,0.4933874614277041,0.0056618024655571,9884.0,8.18e-05,41380.0,0.718842105263158,-77.49,1.1952598979798712e-08,2.7917942048540534e-08,6.520853661558999e-08,1.5230897894098276e-07,3.557513520476493e-07,8.309360706355324e-07,1.9408352196247983e-06,4.533250490443892e-06,1.058841049529312e-05,2.4731577717395303e-05,5.776607703899107e-05,0.000134925466325,0.0003151483084224,0.0007360986699298,0.0017193214667238,0.0040158560620944,0.0093799212210097,0.0219088833742864,0.0511730492611125,0.119525989797987,237.64029574998528,238.9796630139581,241.42918542813223,245.8851398201295,253.9064845218136,268.05841834845376,292.0995209748621,330.83675438974,395.3577875896247,490.3051625265982,605.7536837152053,895.0098100985059,,,,,,,,,239.3929242173232,241.11412745213045,243.7005437128338,247.56578432264547,253.29347583790764,261.6764509256693,273.72916257305286,290.641113121617,313.702087391127,345.27658338534195,389.0899895853661,444.1848302234538,512.2433742962057,585.7115627809487,849.8239576680473,908.9181432941756,,,,,152.72446245552544,79.32456945237834,1.0,0.9927652107356464,0.9837119844729963,0.9638676023317598,0.9223624956976836,0.8435447024289169,0.7183325470714689,0.5670584134989182,0.4325752935025046,0.3314382605221579,0.248500902075012,0.1688301793783393,0.0945063610072276,0.039921263450184,0.0112341613408598,0.0,
terfenadine,0.0,2.349341294298682e-08,7.429269491071789e-08,2.349341294298682e-07,7.429269491071788e-07,2.3493412942986822e-06,7.429269491071788e-06,2.3493412942986826e-05,7.429269491071789e-05,0.0002349341294298,0.0007429269491071,0.0023493412942986,0.0074292694910717,0.0234934129429868,0.0742926949107179,0.2349341294298683,,0.5148678070045333,0.0058281326973967,9884.0,8.18e-05,41380.0,0.7532631578947369,-77.49,2.34934129429868e-08,5.4874068993134e-08,1.2817054104359561e-07,2.993706844204235e-07,6.992465348169866e-07,1.6332451435589086e-06,3.814805746097728e-06,8.910323681568821e-06,2.0812034319582424e-05,4.861111537568909e-05,0.0001135420258194,0.0002652025473503,0.0006194392835036,0.0014468376332773,0.0033794097223335,0.0078933598413063,0.0184366900445929,0.0430629727561159,0.1005831099893029,0.2349341294298683,237.46116023122303,238.72845764578892,241.1154546015056,245.58644579098623,253.8705078541617,268.88552231621827,294.9766802121365,337.95703856254875,410.5945655172024,517.0745005031407,857.6738956840167,,,,,,,,,,239.1591414509702,240.8473796283984,243.431579423738,247.36377458793083,253.29354785737465,262.1170345296993,274.99094271396314,293.2757851509492,318.4605166492664,354.055712067544,402.217812013298,463.6865392922152,537.8326762482001,696.023241048283,865.580904656065,,,,,,149.22890842852038,70.42827298598151,1.0,0.9935822033576204,0.984960728760168,0.9652878542480052,0.9225552390957108,0.8389948955293397,0.7050702317996261,0.5469531300619599,0.4123128490070552,0.3123973949389733,0.227476425957047,0.1448192856066955,0.0728456355437764,0.0270867694701057,0.0068706601971321,0.0,
terfenadine,0.0,4.352912646251054e-08,1.3765118417904132e-07,4.352912646251054e-07,1.3765118417904132e-06,4.352912646251054e-06,1.3765118417904132e-05,4.3529126462510544e-05,0.000137651184179,0.0004352912646251,0.0013765118417904,0.004352912646251,0.0137651184179041,0.0435291264625105,0.1376511841790413,0.4352912646251055,,0.5371773755752437,0.0059211691769434,9884.0,8.18e-05,41380.0,0.7876842105263158,-77.49,4.3529126462510574e-08,1.0167191520922486e-07,2.3747727515769694e-07,5.546807700068549e-07,1.2955797829964534e-06,3.026113514063937e-06,7.068158302702888e-06,1.650924909455076e-05,3.856100754869886e-05,9.006777320124216e-05,0.0002103732315392,0.0004913732734281,0.0011477111040832,0.0026807334661203,0.0062614467097257,0.0146249955074702,0.0341599159921447,0.0797880491651675,0.1863626594118999,0.4352912646251055,237.3019498831419,238.4985472816529,240.81983403853943,245.29688879754605,253.83447567829484,269.7324503710166,297.9809334811174,345.84365073327183,427.0246240320317,544.3673756619706,861.1656661785731,,,,,,,,,,238.93120094201515,240.58160152216809,243.15687374933933,247.1493300771521,253.2811607166338,262.56307411465576,276.3136724446382,296.08674936337343,323.6181395616984,363.5392500945782,416.66640690093305,485.0621657096051,564.2968400896118,849.0225208927129,896.6898536452097,,,,,,148.93076974355793,72.72535787727008,1.0,0.9943001846512995,0.9860995152426844,0.9666178079255536,0.9226617378775136,0.8341708528959851,0.6913084319174753,0.5269464489314432,0.3927262899791409,0.2934066422931419,0.2057057538952533,0.1209746785938094,0.0539574555756606,0.0176885032657038,0.0041242643596092,0.0,
terfenadine,0.0,2.422064520918395e-07,7.659240525986667e-07,2.4220645209183943e-06,7.659240525986668e-06,2.4220645209183944e-05,7.659240525986667e-05,0.0002422064520918,0.0007659240525986,0.0024220645209183,0.0076592405259866,0.0242206452091839,0.0765924052598667,0.2422064520918395,,,,0.5612764752301238,0.005853840124723,9884.0,8.18e-05,41380.0,0.8221052631578948,-77.49,2.422064520918396e-07,5.011585935149302e-07,1.0369663305196698e-06,2.1456265233121147e-06,4.439597547235027e-06,9.186140349807812e-06,1.900739281625245e-05,3.932892029881564e-05,8.137696667940791e-05,0.0001683801806819,0.000348401843954,0.0007208915228559,0.001491624102294,0.0030863762327653,0.0063861385958623,0.0132138025599758,0.027341182073178,0.0565726810103057,0.1170566886291831,0.2422064520918395,238.92182887585847,241.2609351399441,245.46745943225025,252.96069833761675,266.066365460444,288.21744101024984,323.7641248405758,382.4561356150276,469.6216012883997,580.8910344120601,873.0794007434446,,,,,,,,,,241.1061368540717,243.6108094805694,247.3174169874945,252.7596036965635,260.6586568729925,271.93692857641327,287.68398722244604,309.0794282672082,337.8069747789901,378.27387654164215,428.9734494224935,492.2730731813352,563.4906698521302,852.0159765856124,877.9881316050911,,,,,,154.5235716722342,82.13634149590786,1.0,0.9871137186986488,0.9677986835668918,0.9225297930848966,0.8287240230538104,0.6764053923428344,0.5060923027058373,0.3723948112821139,0.2727151295736458,0.181528111703046,0.0960866449459376,0.0361673014215285,0.0088063866689624,0.0,,,
terfenadine,0.0,4.072558389484445e-07,1.2878560414797972e-06,4.072558389484444e-06,1.2878560414797972e-05,4.072558389484444e-05,0.0001287856041479,0.0004072558389484,0.0012878560414797,0.0040725583894844,0.0128785604147979,0.0407255838948444,0.1287856041479797,0.4072558389484446,,,,0.5834642436055816,0.0059476641288937,9884.0,8.18e-05,41380.0,0.8565263157894737,-77.49,4.072558389484441e-07,8.426685651245775e-07,1.743597617857622e-06,3.607744229250239e-06,7.464920971663797e-06,1.5445952254981982e-05,3.195980800986402e-05,6.612925581832714e-05,0.0001368305614894,0.0002831213254382,0.0005858171160398,0.0012121365033669,0.0025080777986259,0.0051895592835354,0.010737914737766,0.0222182282956754,0.0459725822614841,0.0951236206444191,0.1968239058888846,0.4072558389484446,238.7031118655977,240.98737584865503,245.2000395278561,252.89224833512208,266.6638006107249,290.4106942380972,329.1565293294468,394.3055800277377,491.17046121828673,609.2756316357123,901.6349718719376,,,,,,,,,,240.8587133229538,243.35842026086192,247.11752221202084,252.722700148256,260.97961057796255,272.9270412461548,289.79492924167454,312.921095439638,344.6645191688785,388.9821708895816,444.89302289790027,514.0701698614969,588.5811493125758,850.8914078818012,917.8712799843364,,,,,,161.56370537598102,87.38006355484468,1.0,0.988092135571794,0.9690373022251556,0.9226395296113652,0.8236979870627853,0.6623672335085837,0.4874601542237616,0.3550099709516521,0.2545586377728844,0.1601141022010713,0.0763208866558638,0.025249161961535,0.0055816971949982,0.0,,,
terfenadine,0.0,6.57825746423215e-07,2.080227662197722e-06,6.57825746423215e-06,2.080227662197722e-05,6.57825746423215e-05,0.0002080227662197,0.0006578257464232,0.0020802276621977,0.0065782574642321,0.0208022766219772,0.0657825746423215,0.2080227662197722,0.6578257464232153,,,,0.606165294248723,0.0060009534490299,9884.0,8.18e-05,41380.0,0.8909473684210527,-77.49,6.578257464232157e-07,1.361132302662037e-06,2.8163706808734826e-06,5.827459826330513e-06,1.2057819042827048e-05,2.494929255670453e-05,5.162353132595102e-05,0.0001068162145481,0.000221017497202,0.0004573157200535,0.0009462493714552,0.0019579206087089,0.0040512080912791,0.0083825089361859,0.0173445684551473,0.0358883070910477,0.0742578628688289,0.1536497718840938,0.3179225941599792,0.6578257464232153,238.50077928659795,240.72822130274096,244.94035187151565,252.8242505037843,267.2724099486508,292.6839894712312,334.8954556587731,406.9018059779745,513.6416331846425,858.1369223820287,,,,,,,,,,,240.6158511288332,243.10580264448788,246.91191928091848,252.6787194961774,261.30258418805994,273.95143915696065,292.0115498368349,317.00050997390525,352.2836976504987,400.4908901882523,462.1110944520151,536.7743055817966,694.0213987460057,865.8223424012178,987.9748117890867,,,,,,156.77950391695052,77.0172856043011,1.0,0.9889922900288134,0.9702132368687776,0.9227040198548436,0.8184684705994464,0.6480664788104848,0.4693069693781,0.3381300453594232,0.2361277223783474,0.1387658191264785,0.0588625853616586,0.0171619654041178,0.0035143801815343,0.0,,,
terfenadine,0.0,1.0253267517772234e-06,3.2423678815181224e-06,1.0253267517772232e-05,3.242367881518123e-05,0.0001025326751777,0.0003242367881518,0.0010253267517772,0.0032423678815181,0.0102532675177722,0.0324236788151812,0.1025326751777223,0.3242367881518124,,,,,0.6318475905340751,0.0058612947016485,9884.0,8.18e-05,41380.0,0.9253684210526316,-77.49,1.0253267517772223e-06,1.9968064594508764e-06,3.888746713760836e-06,7.573268271550126e-06,1.4748811515522978e-05,2.872306028529197e-05,5.59376727598829e-05,0.0001089376689918,0.0002121542627687,0.0004131668285865,0.0008046353913252,0.0015670137779162,0.0030517327557952,0.0059431977842453,0.0115742768876411,0.0225407079378889,0.0438976464165755,0.0854899218881922,0.1664901729603788,0.3242367881518124,238.3136390731213,240.24173552745737,243.7819773579467,250.23092958341908,261.7914830876467,281.8882870773,315.04809596582595,370.2791870035955,455.09181316749135,568.3304445597297,867.785309349103,,,,,,,,,,240.34566984436708,242.56381963760697,245.89526965235427,250.86214688863384,258.1872933976684,268.82091464419847,283.9193917279082,304.7598516156864,332.9350619387048,373.1109649257558,424.2362391340243,488.6916969917148,562.0497019652804,851.8055524642325,880.8843383376051,,,,,,152.32399870434725,78.83147984961165,1.0,0.9897984299458448,0.9712722551249824,0.922570502687694,0.8126605431949974,0.6327978160628656,0.4505373335832424,0.3202289610205445,0.2157549438016048,0.1160810375355041,0.0420390412745249,0.0092533740180693,0.0,,,,
