,pulse 0,pulse 1,drug concentration
0,264.70000000000005,264.70000000000005,0.0
1,264.70000000000005,264.70000000000005,0.1
2,264.8,264.8,1.0
3,267.5,267.5,30.0
4,292.3,292.3,300.0
5,338.6,338.6,1000.0
6,491.3,491.3,10000.0
7,565.5,565.5,100000.0
