,pulse 0,pulse 1,APD,drug concentration,qNet
0,210.56062497247558,210.56070370286585,210.56070370286585,0.10000000000000014,0.10657232834383426
1,210.57324972459458,210.5732352264477,210.57324972459458,0.14857474906624646,0.10657114192352654
2,210.59198884775373,210.59193112265194,210.59198884775373,0.2207445606016003,0.10656822626758597
3,210.62038018038766,210.6202618962484,210.62038018038766,0.3279706769935272,0.10656431187942349
4,210.66372193601575,210.66368085682456,210.66372193601575,0.4872816103605598,0.10655789214243917
5,210.72910543495829,210.72915138684272,210.72915138684272,0.7239774298559226,0.10654692051397006
6,210.82742586835712,210.82740801606877,210.82742586835712,1.0756476497453564,0.1065332594178957
7,210.9768961878226,210.97663801235814,210.9768961878226,1.5981407965419392,0.10651124034513011
8,211.20109163882148,211.20106257162274,211.20109163882148,2.3744336784093454,0.10647671765495023
9,211.54018841972504,211.54010885059068,211.54018841972504,3.5278088799493377,0.10642607325266289
10,212.0506290720577,212.05054654633182,212.0506290720577,5.241433192077678,0.10634934607269667
11,212.81800864831547,212.81798784447545,212.81800864831547,7.787446215223269,0.10623447083847437
12,213.96929563949817,213.9692266427342,213.96929563949817,11.570178678851827,0.10606142828654981
13,215.68747169513205,215.6875393319795,215.6875393319795,17.190363951954616,0.1058029358247434
14,218.23823847102506,218.2381304949664,218.23823847102506,25.540540135213853,0.10541841308517097
15,221.98806968791166,221.98818007523494,221.98818007523494,37.94679348360083,0.10485199587090517
16,227.42880554826496,227.4289985943081,227.4289985943081,56.379353348818256,0.10402752865061568
17,235.1723242876522,235.17236588550708,235.17236588550708,83.76548310454554,0.10284964328655409
18,245.90658818028362,245.9065697648822,245.90658818028362,124.45435709382784,0.10121398424459832
19,260.2933152205462,260.29324600038876,260.2933152205462,184.90775047777575,0.09902938981539076
20,278.84066499515546,278.8405671290636,278.84066499515546,274.72623014870936,0.09625770966216299
21,301.8905608729989,301.89056259966276,301.89056259966276,408.1738157616704,0.09294990769256212
22,329.92701700983395,329.92751088502484,329.92751088502484,606.4432420634182,0.08922895998406177
23,364.22650409801395,364.22611312497054,364.22650409801395,901.0215690209928,0.08518156073704052
24,406.16737856969115,406.1676868052774,406.1676868052774,1338.6906338080157,0.0807752470413611
25,451.32477535584775,451.32479480610084,451.32479480610084,1988.956471438012,0.07619170151880224
26,489.088769002453,489.0886709809623,489.088769002453,2955.0875839786786,0.07208535131098942
27,515.9370553765262,515.9368462331953,515.9370553765262,4390.515080078886,0.06877397690576711
28,534.1856376047507,534.18515589747,534.1856376047507,6523.199273059816,0.06610844000524763
29,546.4727998992588,546.4725704860913,546.4727998992588,9691.832589252796,0.0638919192845428
30,554.7140968457626,554.715322664771,554.715322664771,14399.628613916651,0.06203801518393977
31,560.235467435381,560.2355582494304,560.2355582494304,21394.240526528865,0.06055682422458557
32,563.9238131194594,563.9237302355883,563.9238131194594,31786.503074219847,0.05707172113869236
33,566.3849401287257,566.3833142531562,566.3849401287257,47226.86070531662,0.057053552022198126
34,568.0243180318596,568.0241720467604,568.0243180318596,70167.51217275098,0.05704239619301376
35,569.1198808920238,569.1191670520025,569.1198808920238,104251.92928766565,0.05703695942228406
36,569.8470207784231,569.8460576082018,569.8470207784231,154893.66894042393,0.05703482979202593
37,570.3308503443496,570.330882318037,570.330882318037,230136.53369727603,0.05703372102273896
38,570.653418949265,570.653221144126,570.653418949265,341932.98477356473,0.057033152823577536
39,570.8662134705322,570.8663704219128,570.8663704219128,508044.51038346003,0.05703338084234468
40,571.0073139176847,571.006802031449,571.0073139176847,754867.2715565715,0.05703254990041871
41,571.1007582414917,571.1003907845998,571.1007582414917,1121635.1934917516,0.057033145477359444
42,571.1641066284369,571.1634895504405,571.1641066284369,1666675.701224564,0.05703326348562368
43,571.2068437416584,571.2076148375216,571.2076148375216,2476728.904931535,0.0570323898663931
44,571.2328845435508,571.2321800809738,571.2328845435508,3680849.220521358,0.05703286130323921
45,571.2491295629674,571.2504380885462,571.2504380885462,5471185.006017066,0.05703325608800286
46,571.2604962810641,571.2604346039753,571.2604962810641,8134134.42940138,0.057032791559624485
47,571.2695203594882,571.2689643957162,571.2695203594882,12097273.490312062,0.0570331449182769
48,571.2747490519397,571.2743264583478,571.2747490519397,18000525.02328684,0.057032220918411834
49,571.2768077014586,571.2789105515463,571.2789105515463,26805187.055562943,0.057033173399695804
50,571.2812558194929,571.2806436688746,571.2812558194929,39963452.94883911,0.05703272009396882
51,571.2833274008473,571.2829291220693,571.2833274008473,59687690.409970395,0.05703304874565385
52,571.2846114003647,571.2842414903666,571.2846114003647,89391385.6431285,0.05703278293276881
53,571.2851166377199,571.285041783704,571.2851166377199,134442295.74065784,0.05703347701175797
54,571.2852684222208,571.2849260655975,571.2852684222208,203524446.25588956,0.05703288065064277
55,571.2858348728281,571.285206559454,571.2858348728281,311294524.14298296,0.05703291326362234
56,571.2861751037084,571.285961557981,571.2861751037084,484102124.93763506,0.057032725872274724
57,571.2860151940579,571.2866272638362,571.2866272638362,774039829.9075837,0.05703251398032528
58,571.2863551088948,571.28587024239,571.2863551088948,1300422141.7405689,0.0570327245082887
59,571.2866440020537,571.2862172715722,571.2866440020537,2412670097.052933,0.05703257253027224
60,571.2860853921446,571.286944761759,571.286944761759,5796861621.421907,0.057032655644534615
