,APD,drug concentration
0,226.43613265087112,67.21534512969433
1,248.37264189565417,169.23586911648374
2,290.2930874857496,426.10478399244147
3,352.2927418608652,1072.8535261941595
4,422.03209790199867,2701.2484519248433
5,484.20491726500734,6801.251369554753
6,528.2753962581055,17124.331998313537
7,552.7407318478312,43116.13356154069
8,563.9000484911937,108559.92518248699
9,568.4506442841664,273343.39866973687
10,570.2150389513255,688291.0229080924
11,570.8842387543307,1733403.9154255264
12,571.1367098878615,4367126.368232663
13,571.2319928717154,11013714.35512201
14,571.2673372329999,27850691.12840703
15,571.2804769939868,70929247.59598199
16,571.2855099445621,184144002.12255508
17,571.2878378990542,504944706.03749514
18,571.2885771076225,1662678410.3163586
19,571.2883835444345,25400067691.11463
