,qNet,drug concentration
0,0.10329273545312438,67.21534512969433
1,0.0991147061422829,169.23586911648374
2,0.0921888625614725,426.10478399244147
3,0.08404179310311723,1072.8535261941595
4,0.07685500659475435,2701.2484519248433
5,0.07123454494840815,6801.251369554753
6,0.06674891006070946,17124.331998313537
7,0.0627978054085356,43116.13356154069
8,0.0412120589008874,108559.92518248699
9,0.056961541110674245,273343.39866973687
10,0.057003520356606864,688291.0229080924
11,0.05702090091941032,1733403.9154255264
12,0.057028470124377534,4367126.368232663
13,0.05703156442775558,11013714.35512201
14,0.05703227639358552,27850691.12840703
15,0.057032646275125505,70929247.59598199
16,0.05703226599505126,184144002.12255508
17,0.05703261770784233,504944706.03749514
18,0.05703269329913677,1662678410.3163586
19,0.05703297193545675,25400067691.11463
