,qNet,drug concentration
0,0.10355459044578459,67.21534512969433
1,0.09956920236368615,169.23586911648374
2,0.0925634608720144,426.10478399244147
3,0.08328538813865596,1072.8535261941595
4,0.0729494918622183,2701.2484519248433
5,0.06585705869769702,6801.251369554753
6,0.06134326656504467,17124.331998313537
7,0.05705676066051262,43116.13356154069
8,0.057036814359729196,108559.92518248699
9,0.05703313382269715,273343.39866973687
10,0.05703230228230636,688291.0229080924
11,0.05703309926059765,1733403.9154255264
12,0.05703304559789124,4367126.368232663
13,0.05703289957771066,11013714.35512201
14,0.05703286219216268,27850691.12840703
15,0.05703269647659993,70929247.59598199
16,0.05703273479732544,184144002.12255508
17,0.057032835738492646,504944706.03749514
18,0.05703274385946855,1662678410.3163586
19,0.0570326565454119,25400067691.11463
