,pulse 0,pulse 1,APD,drug concentration,qNet
0,301.28567660402575,301.2856381940196,301.28567660402575,0.06440196756747793,0.2347380498571965
1,301.472147229726,301.4718662784445,301.472147229726,0.09736818793501816,0.23458290476677982
2,301.751157474892,301.7509873082543,301.751157474892,0.1472092294712491,0.23435223888582432
3,302.1662864583748,302.1663213602161,302.1663213602161,0.22256301264423303,0.23400836904554395
4,302.7799695630201,302.77994995714164,302.7799695630201,0.33648905560256215,0.23350153043912136
5,303.6769562554906,303.6767905565536,303.6769562554906,0.5087318113065681,0.23276113736619108
6,304.96652555508416,304.9666407101416,304.9666407101416,0.7691425666532296,0.23169985004913562
7,306.77826364254304,306.7784334050237,306.7784334050237,1.1628529508748142,0.23021614144520708
8,309.2434146566944,309.24329239454977,309.2434146566944,1.7580966708671073,0.22821141931089134
9,312.45565326357456,312.455762159321,312.455762159321,2.65803505379255,0.22562386883836386
10,316.417442008358,316.4172646124759,316.417442008358,4.018635874920405,0.22247629810787528
11,320.9898982582323,320.98987375467283,320.9898982582323,6.075704040344933,0.21890585078283584
12,325.8858883234593,325.88547920900487,325.8858883234593,9.185748797772339,0.21516629202849252
13,330.72511936339953,330.7250842435321,330.72511936339953,13.887770151473058,0.21155766440984264
14,335.1440867274436,335.1437151668909,335.1440867274436,20.996672658112914,0.20834284973554107
15,338.8929954059954,338.8929933175481,338.8929954059954,31.744496116237027,0.20567785161886434
16,341.8781838473332,341.87837881546676,341.87837881546676,47.99393981080288,0.20359876013939887
17,344.13664820488464,344.13646111280036,344.13664820488464,72.56118619916933,0.2020509040159409
18,345.77838187656766,345.77857428446697,345.77857428446697,109.70397271156256,0.20093902926370102
19,346.9380407327842,346.93795177121655,346.9380407327842,165.8594997709656,0.20016040845291105
20,347.7401381285699,347.740045608708,347.7401381285699,250.76006297344347,0.19962564473720626
21,348.28699877867547,348.2870509226329,348.2870509226329,379.11976250998623,0.19926286264904086
22,348.65641847429634,348.65631479882995,348.65641847429634,573.184620522422,0.19901788823114538
23,348.9038825811837,348.9036417368268,348.9038825811837,866.5880842186427,0.19885344687919757
24,349.0691869129933,349.06893682162496,349.0691869129933,1310.1801520233591,0.19874394554829666
25,349.1781689394989,349.1778743778739,349.1781689394989,1980.8404619404973,0.19867045287635235
26,349.248870430107,349.24871499690823,349.248870430107,2994.8029545372005,0.19862007583510272
27,349.29264264514137,349.2925817111213,349.29264264514137,4527.801905926898,0.19858499104033153
28,349.3186372672096,349.3182856232882,349.3186372672096,6845.531984413514,0.1985613475993282
29,349.33321838126193,349.3329750886135,349.33321838126193,10349.703989241489,0.19854625996301684
