,APD,drug concentration
0,322.86181062576543,5.483933243568516
1,333.90025437833094,14.380645406353167
2,341.90579977951086,37.71070116281335
3,346.16864604289555,98.88965620990153
4,348.06944019189694,259.320711971849
5,348.8492226903181,680.0232312959253
6,349.15797391052877,1783.2442567860273
7,349.27842145579797,4676.267374769349
8,349.3251831688185,12262.85377589556
9,349.3432465335466,32158.33116799151
10,349.3503385248177,84337.55274660117
11,349.3529912046673,221215.45458219422
12,349.3539998474021,580477.8668052685
13,349.35449421978427,1524815.856235449
14,349.35483939205415,4016654.9315958912
15,349.35476998700625,10659450.681855628
16,349.35480258906415,28861268.639476493
17,349.3548506110849,82736324.77833676
18,349.35481348917165,287114857.6900154
19,349.35474738514694,4945727436.687763
