,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21
0,3000.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,0.8207506266674908,0.0003495036990984,-126.42257894736842,48320.14429063444,1.7900000000000005e-05,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,201.3345447723645,203.98663583646285,210.21867304767653,224.8947836256424,258.87477118130954,330.1074143431045,475.687642685776,854.9729905320735,,,,,,,,,,,,,204.24949517764347,209.0642174897593,218.4057312131576,235.9515316091805,266.9830565692397,316.89905139462815,396.4829408717558,510.5402275333992,850.6933346119006,934.8246429376202,,,,,,,,,,,125.18540077059066,50.18765052070577,,,,,,
0,3001.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,0.7376129276839894,0.0009127392265353,-126.42257894736842,48320.14429063444,2.9767075490254447e-05,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,201.33338201386928,203.98336027949964,210.2080879917866,224.8562703421909,258.73291234329133,329.7206436735477,475.1283004053173,856.76039953015,,,,,,,,,,,,,205.25181107163425,210.25116420146367,219.29175688834223,235.1908597017013,261.8254937573757,303.1932523335692,365.9546448673631,456.2593232698376,569.9504245584662,860.6054571773417,,,,,,,,,,,147.17218739049866,62.93813131104571,,,,,,
0,3002.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,0.6754563506017871,0.0020302880583038,-126.42257894736842,48320.14429063444,4.950160800237468e-05,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,201.3322512802755,203.9803771350988,210.1983741717476,224.82099525157184,258.607594783434,329.41240281873667,474.781218239148,859.5662868373676,,,,,,,,,,,,,205.60649284613416,210.32052909336528,218.43105883596127,232.07131369718235,254.1551268378994,287.85618503581685,336.1607355601926,407.9257996190671,502.8093288659477,660.9692053913963,882.8138342504639,,,,,,,,,,167.74993386821285,76.2715323739701,,,,,,
0,3003.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,0.656951693449026,0.0030692702743041,-126.42257894736842,48320.14429063444,8.231944705562404e-05,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,201.33161652452952,203.9784365899632,210.19233493301,224.7996178401688,258.54058572072586,329.3227620512763,475.0138942408852,863.5012882692259,,,,,,,,,,,,,204.70628363127952,208.61284149539352,215.26615812664107,226.39447010208343,244.4532079245905,272.3814181999318,312.819208207752,371.9947225094308,452.9022176802324,553.6994562699001,848.9654457743347,946.5870930327724,,,,,,,,,184.1832458916897,88.75652824658526,,,,,,
0,3004.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,0.6864947893806077,0.0029724683051572,-126.42257894736842,48320.14429063444,0.0001368943684257,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,201.3318774303973,203.97899530400468,210.19351226726403,224.80425113440447,258.5784928302724,329.6208867953088,476.32478316971935,868.0893496972575,,,,,,,,,,,,,203.04338413945425,205.91345693062087,210.95807289637804,219.6982105783261,234.4682684308497,258.4055431153008,294.7886989795805,347.614806902154,424.8446148026415,525.7240248483413,853.6543302416103,917.499699561278,,,,,,,,,196.70261667585584,99.75396333199556,,,,,,
0,3005.0,0.0,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,,0.7465514219344476,0.0020455028102709,-126.42257894736842,48320.14429063444,0.00022765055861,1.0,1.0,3.162277660168379e-06,6.951927961775606e-06,1.5283067326587687e-05,3.359818286283781e-05,7.386199822079358e-05,0.0001623776739188,0.0003569698846826,0.0007847599703514,0.001725210549942,0.0037926901907322,0.0083378222347178,0.0183298071083243,0.040296113202004,0.0885866790410083,0.1947483039908757,0.4281332398719396,0.941204967268067,2.06913808111479,4.548777947003778,10.0,205.6283636639736,213.2056665495075,229.9679032115473,266.2387441944999,337.8713304274572,479.5348846737276,865.648146590624,,,,,,,,,,,,,,204.8530991416044,209.1550586375868,216.68765433125336,229.5933772938008,250.90011138376173,284.0551254049617,332.1756009466682,404.4051834167843,501.0478991947524,667.0724719205587,886.4787187889573,,,,,,,,,,217.7500344650485,124.38214459595714,,,,,,
0,3006.0,0.0,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,,0.8043882109813467,0.0012490501562999,-126.42257894736842,48320.14429063444,0.0003785749365108,1.0,1.0,3.162277660168379e-06,6.951927961775606e-06,1.5283067326587687e-05,3.359818286283781e-05,7.386199822079358e-05,0.0001623776739188,0.0003569698846826,0.0007847599703514,0.001725210549942,0.0037926901907322,0.0083378222347178,0.0183298071083243,0.040296113202004,0.0885866790410083,0.1947483039908757,0.4281332398719396,0.941204967268067,2.06913808111479,4.548777947003778,10.0,205.6475878307764,213.25870426778064,230.1378895104564,266.8594197180763,340.108606827736,486.0753950587124,865.4474554149681,,,,,,,,,,,,,,203.69523839296588,207.4621392440023,214.38463439065785,226.8345960747953,248.371901971588,283.2805425664357,335.5917590235637,415.9539415910197,524.2562545023864,849.7577433807319,929.3667824533436,,,,,,,,,,217.8387337991753,126.84489242349962,,,,,,
0,3007.0,0.0,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,,0.836328837731772,0.0008215981141376,-126.42257894736842,48320.14429063444,0.0006295569113874,1.0,1.0,3.162277660168379e-06,6.951927961775606e-06,1.5283067326587687e-05,3.359818286283781e-05,7.386199822079358e-05,0.0001623776739188,0.0003569698846826,0.0007847599703514,0.001725210549942,0.0037926901907322,0.0083378222347178,0.0183298071083243,0.040296113202004,0.0885866790410083,0.1947483039908757,0.4281332398719396,0.941204967268067,2.06913808111479,4.548777947003778,10.0,205.6947273653969,213.3831831385246,230.51539295260363,268.15624195814314,344.56063429811786,497.7239683686182,863.8573559486332,,,,,,,,,,,,,,203.7576198848929,207.7827391667089,215.35224278156824,229.23951561875072,253.59265825622265,293.19311537738145,354.1139044934788,445.6015190170762,564.23158838188,860.8082697747936,,,,,,,,,,,211.0267345493904,123.83710120729054,,,,,,
0,3008.0,0.0,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,,0.85145154695132,0.0005674665317614,-126.42257894736842,48320.14429063444,0.0010469311791442,1.0,1.0,3.162277660168379e-06,6.951927961775606e-06,1.5283067326587687e-05,3.359818286283781e-05,7.386199822079358e-05,0.0001623776739188,0.0003569698846826,0.0007847599703514,0.001725210549942,0.0037926901907322,0.0083378222347178,0.0183298071083243,0.040296113202004,0.0885866790410083,0.1947483039908757,0.4281332398719396,0.941204967268067,2.06913808111479,4.548777947003778,10.0,205.80591425378825,213.6673920887041,231.3312113040473,270.7801983527625,352.93026477447995,513.9959233060503,864.6447849366184,,,,,,,,,,,,,,204.60761945050024,209.50972762827223,218.78000201003164,235.7781479569812,265.2489403084146,312.044579243223,385.4484127733168,490.8557717456516,694.930235524194,913.2248707835262,,,,,,,,,,,199.8223931374443,117.3911799493873,,,,,,
