,APD,drug concentration,qNet
0,266.9,0.1,0.25671741538228166
1,267.5,0.1528306732658769,0.2562628079614571
2,268.5,0.23357214690901226,0.25558406100530856
3,269.9,0.35696988468260643,0.2545783223549194
4,272.0,0.5455594781168519,0.2531059092614502
5,275.0,0.8337822234717891,0.25098989329639115
6,279.1,1.2742749857031335,0.24803651380738684
7,284.6,1.9474830399087562,0.24407607534080544
8,291.4,2.9763514416313175,0.23904710198111995
9,299.3,4.548777947003775,0.23309187304576143
10,307.90000000000003,6.951927961775605,0.22659413386645286
11,316.5,10.624678308940409,0.22010352225859675
12,324.3,16.23776739188721,0.21416271072312507
13,330.90000000000003,24.816289228368237,0.2091382147320268
14,336.2,37.926901907322495,0.20516423529885008
15,340.2,57.963939533849675,0.20218340599950688
16,343.1,88.58667904100822,0.20003440935354186
17,345.2,135.38761800225433,0.1985288130943312
18,346.6,206.9138081114788,0.19749516827896604
19,347.5,316.22776601683796,0.1967943256738453
