,APD,drug concentration,qNet
0,266.6,0.1,0.2568632933194574
1,267.1,0.1528306732658769,0.2564756452358656
2,267.9,0.23357214690901226,0.2558919888911739
3,269.1,0.35696988468260643,0.2550175130553161
4,270.8,0.5455594781168519,0.25372588814972413
5,273.3,0.8337822234717891,0.2518506305419948
6,276.70000000000005,1.2742749857031335,0.24919654790853907
7,281.5,1.9474830399087562,0.2455798795308512
8,287.5,2.9763514416313175,0.24090069968892655
9,294.8,4.548777947003775,0.23522879502438782
10,303.1,6.951927961775605,0.22886878030357047
11,311.7,10.624678308940409,0.22231678161810192
12,319.90000000000003,16.23776739188721,0.21612597101247122
13,327.3,24.816289228368237,0.21074095459889944
14,333.40000000000003,37.926901907322495,0.20638499797512616
15,338.2,57.963939533849675,0.20306414166434222
16,341.7,88.58667904100822,0.20064568282965575
17,344.2,135.38761800225433,0.19894221178383423
18,345.90000000000003,206.9138081114788,0.19777119722962586
19,347.1,316.22776601683796,0.19697895216861014
