,pulse 0,pulse 1,drug concentration
0,308.3,308.3,0.0
1,308.90000000000003,308.90000000000003,0.1
2,313.8,313.8,1.0
3,333.0,333.0,10.0
4,341.8,341.8,30.0
5,346.8,346.8,100.0
6,348.5,348.5,300.0
7,348.8,348.8,500.0
8,349.1,349.1,1000.0
