,drug concentration,qNet
0,0.1,0.069664325857829
1,0.206913808111479,0.069655662423841
2,0.428133239871939,0.069639815647548
3,0.885866790410082,0.069609354079298
4,1.83298071083244,0.069550381160434
5,3.79269019073225,0.069437507554938
6,7.84759970351461,0.069221459461954
7,16.2377673918872,0.068809169064732
8,33.5981828628378,0.068030764390405
9,69.5192796177561,0.066585904266553
10,143.844988828766,0.063984742099443
11,297.635144163132,0.059553761237024
12,615.848211066026,0.052652956086996
13,1274.27498570313,0.043218462515575
14,2636.65089873036,0.032199126253778
15,5455.59478116851,0.021103126637439
16,11288.3789168469,0.010751262366956
17,23357.2146909012,-0.021628938957789
18,48329.3023857175,-0.018585739871238
19,100000.0,-0.089768333937439
