,APD,drug concentration,qNet
0,283.0,0.1,0.49960989728071015
1,283.4,0.1528306732658769,0.49908748129286484
2,283.9,0.23357214690901226,0.4983007144660641
3,284.8,0.35696988468260643,0.497126905338105
4,286.1,0.5455594781168519,0.49539711165475414
5,287.9,0.8337822234717891,0.49289468454305724
6,290.5,1.2742749857031335,0.4893671433851667
7,294.0,1.9474830399087562,0.4845800426609381
8,298.6,2.9763514416313175,0.47840411385535614
9,304.1,4.548777947003775,0.4709233714389682
10,310.40000000000003,6.951927961775605,0.4625133649705762
11,316.8,10.624678308940409,0.4537983558068047
12,322.90000000000003,16.23776739188721,0.4455039504939624
13,328.2,24.816289228368237,0.4382272174906741
14,332.6,37.926901907322495,0.43229434162709846
15,335.90000000000003,57.963939533849675,0.42773818728402496
16,338.40000000000003,88.58667904100822,0.42440152291249555
17,340.1,135.38761800225433,0.42204204665888584
18,341.3,206.9138081114788,0.42041337739535684
19,342.1,316.22776601683796,0.4193086613524214
