,APD,drug concentration,qNet
0,283.0,0.1,0.49966580668980326
1,283.4,0.1528306732658769,0.49918073889079395
2,284.0,0.23357214690901226,0.4984551373844506
3,284.8,0.35696988468260643,0.4973782182931207
4,286.1,0.5455594781168519,0.49579921531229576
5,287.9,0.8337822234717891,0.49351847883206196
6,290.4,1.2742749857031335,0.49030456062183786
7,293.9,1.9474830399087562,0.48592182918951077
8,298.3,2.9763514416313175,0.4802045950874834
9,303.70000000000005,4.548777947003775,0.4731602990734378
10,309.8,6.951927961775605,0.4650639519471191
11,316.1,10.624678308940409,0.45646439656218835
12,322.2,16.23776739188721,0.4480632044497763
13,327.6,24.816289228368237,0.440501267802487
14,332.0,37.926901907322495,0.43418278392763193
15,335.5,57.963939533849675,0.42922598635697873
16,338.0,88.58667904100822,0.42552669223682177
17,339.8,135.38761800225433,0.42286854005950636
18,341.1,206.9138081114788,0.4210107187550839
19,341.90000000000003,316.22776601683796,0.41973674431442287
