,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,Hill_coef,IC50,Kmax,Ku,halfmax,n,Vhalf,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16
terfenadine,0.0,2.496004739396904e-09,7.893060027069227e-09,2.496004739396904e-08,7.893060027069226e-08,2.496004739396904e-07,7.893060027069225e-07,2.496004739396904e-06,7.893060027069226e-06,2.496004739396904e-05,7.893060027069226e-05,0.0002496004739396,0.0007893060027069,0.0024960047393969,0.0078930600270692,0.024960047393969,0.0789306002706922,0.4465737985745643,0.0056153052146699,9884.0,8.18e-05,41380.0,0.65,-77.49,2.4960047393969035e-09,6.194157552825157e-09,1.537160053569907e-08,3.814660847968484e-08,9.466572691131853e-08,2.3492520590450026e-07,5.82997185676004e-07,1.446782677906045e-06,3.590377738550953e-06,8.909985239897513e-06,2.2111277073378908e-05,5.487198470615586e-05,0.0001361719043002,0.0003379281361892,0.0008386122366076,0.0020811243814104,0.0051645784569291,0.0128165672729753,0.0318059640360994,0.0789306002706922,201.18031000204505,202.64500438272324,205.2782405351536,209.99406151780155,218.37198774776044,233.0049012211731,257.67484439902336,296.6119165802199,355.53520238441484,444.0731418849583,559.3375036989232,865.0050850250356,,,,,,,,,203.0509135776144,204.8774181607297,207.5898540796713,211.5967632533874,217.4704528095193,225.9824393893924,238.11531357788044,255.00817599410965,277.7957310376793,307.4083633092566,345.8365060659239,396.9942096235643,459.3710494683463,532.7449756068623,654.2818196231757,858.9783299374594,949.0191582955796,,,,155.86252271470997,79.74883820837529,1.0,0.9908473975866472,0.9809778275998232,0.9610124717983796,0.9222828955865012,0.8529588006357467,0.7452381179746101,0.6102210777341182,0.479519481654608,0.3756945864909636,0.2943734850387246,0.2213862056081297,0.1496501460827192,0.0845452260201992,0.0372274067489296,0.0112167275542299,0.0
terfenadine,0.0,5.681443426890275e-09,1.7966301626365598e-08,5.6814434268902747e-08,1.7966301626365596e-07,5.681443426890275e-07,1.7966301626365597e-06,5.681443426890275e-06,1.7966301626365598e-05,5.681443426890276e-05,0.0001796630162636,0.000568144342689,0.0017966301626365,0.0056814434268902,0.0179663016263656,0.0568144342689027,0.179663016263656,0.4678067606533645,0.0058212017502067,9884.0,8.18e-05,41380.0,0.6844210526315789,-77.49,5.681443426890266e-09,1.4099234331632045e-08,3.4989067707232066e-08,8.682988240536302e-08,2.1547954754366962e-07,5.347402774641628e-07,1.3270269387608546e-06,3.2931884326125544e-06,8.172471662722999e-06,2.028104204927774e-05,5.033002053475745e-05,0.000124900434646,0.0003099565310924,0.0007691970923812,0.0019088617518152,0.0047370865330017,0.0117556909502779,0.0291732626701409,0.0723972124157377,0.179663016263656,200.9760666801711,202.3698816730372,204.95579992313864,209.73402556675603,218.4885459639445,234.22858084875784,261.40245693341353,304.8761695774677,372.9222932458146,474.03039688832496,598.0360466052443,896.3252550810545,,,,,,,,,202.79670520587223,204.5981728919272,207.3255142713248,211.4322687163472,217.5638683968617,226.6055566164639,239.6940415199209,258.145738492651,283.2396425340368,316.0256672244308,360.2475547180132,417.10358007888544,487.3453816353609,565.8695472502816,849.1491050659786,891.3364176786322,,,,,163.79254833966314,86.13060069336582,1.0,0.9918829535474318,0.9824424813266992,0.9625640912488566,0.9225258004006616,0.8487013870154664,0.7326298085484196,0.5895679201302906,0.4567809642311859,0.3545862327382766,0.2731328711371813,0.1971401024146262,0.123339403773921,0.0622014269675709,0.0241319461146506,0.0065637025043273,0.0
terfenadine,0.0,1.19525989797987e-08,3.779743673476879e-08,1.19525989797987e-07,3.779743673476879e-07,1.19525989797987e-06,3.77974367347688e-06,1.1952598979798702e-05,3.77974367347688e-05,0.0001195259897979,0.0003779743673476,0.0011952598979798,0.0037797436734768,0.0119525989797987,0.0377974367347688,0.119525989797987,,0.4933867306254562,0.0056618268980338,9884.0,8.18e-05,41380.0,0.718842105263158,-77.49,1.1952598979798712e-08,2.7917942048540534e-08,6.520853661558999e-08,1.5230897894098276e-07,3.557513520476493e-07,8.309360706355324e-07,1.9408352196247983e-06,4.533250490443892e-06,1.058841049529312e-05,2.4731577717395303e-05,5.776607703899107e-05,0.000134925466325,0.0003151483084224,0.0007360986699298,0.0017193214667238,0.0040158560620944,0.0093799212210097,0.0219088833742864,0.0511730492611125,0.119525989797987,200.79472701142137,202.00032499174188,204.2111428372102,208.25220407200328,215.58821378508247,228.7123285870108,251.4626560267528,288.51410364004295,344.793652021375,432.5219149280585,549.8594377944519,862.7317978064838,,,,,,,,,202.4997200992223,204.11596869067685,206.5497506062261,210.19587805398447,215.62022991756533,223.60149580396487,235.15876906080865,251.5109674346415,273.9207906872442,303.4501234337297,341.7757947789549,393.7591448789816,457.51783613518967,533.0619265677188,670.3987869404357,861.9275608098528,967.277983773243,,,,154.54083653364927,77.27365583796953,1.0,0.9927646060451316,0.9837115492985568,0.96386671142999,0.9223614695542124,0.8435440136168474,0.7183314722221146,0.5670575250317401,0.4325748861095072,0.3314380116293735,0.2485001688497304,0.1688300043487219,0.0945062889173312,0.0399212640900763,0.0112343682326978,0.0,
terfenadine,0.0,2.349341294298682e-08,7.429269491071789e-08,2.349341294298682e-07,7.429269491071788e-07,2.3493412942986822e-06,7.429269491071788e-06,2.3493412942986826e-05,7.429269491071789e-05,0.0002349341294298,0.0007429269491071,0.0023493412942986,0.0074292694910717,0.0234934129429868,0.0742926949107179,0.2349341294298683,,0.5148669794300167,0.0058281684530165,9884.0,8.18e-05,41380.0,0.7532631578947369,-77.49,2.34934129429868e-08,5.4874068993134e-08,1.2817054104359561e-07,2.993706844204235e-07,6.992465348169866e-07,1.6332451435589086e-06,3.814805746097728e-06,8.910323681568821e-06,2.0812034319582424e-05,4.861111537568909e-05,0.0001135420258194,0.0002652025473503,0.0006194392835036,0.0014468376332773,0.0033794097223335,0.0078933598413063,0.0184366900445929,0.0430629727561159,0.1005831099893029,0.2349341294298683,200.6336839584596,201.77406902630605,203.92747169146284,207.98081973674243,215.55504618567284,229.4860074589733,254.2151000542216,295.08878171806987,359.3035198608382,458.0041555107382,584.2071720899154,886.769220475473,,,,,,,,,202.2802843973381,203.8655658482577,206.29624299102065,210.00518215737105,215.62040328842363,224.02224628375376,236.37374047484727,254.06905320947,278.52690923212737,310.9178746560117,354.44468842888506,411.7334854067464,482.87685907951845,563.4244452060649,849.0880919709042,893.4598546889815,,,,,160.3788658405569,82.39911428271837,1.0,0.9935814011779632,0.9849598298785064,0.9652867422367026,0.9225542188330352,0.8389939221523031,0.7050699743381581,0.546953008763152,0.4123125097298092,0.312397176141149,0.2274762665353698,0.1448188391825366,0.0728456337452109,0.0270869000427896,0.0068707665800961,0.0,
terfenadine,0.0,4.352912646251054e-08,1.3765118417904132e-07,4.352912646251054e-07,1.3765118417904132e-06,4.352912646251054e-06,1.3765118417904132e-05,4.3529126462510544e-05,0.000137651184179,0.0004352912646251,0.0013765118417904,0.004352912646251,0.0137651184179041,0.0435291264625105,0.1376511841790413,0.4352912646251055,,0.5371770575891702,0.0059211780786077,9884.0,8.18e-05,41380.0,0.7876842105263158,-77.49,4.3529126462510574e-08,1.0167191520922486e-07,2.3747727515769694e-07,5.546807700068549e-07,1.2955797829964534e-06,3.026113514063937e-06,7.068158302702888e-06,1.650924909455076e-05,3.856100754869886e-05,9.006777320124216e-05,0.0002103732315392,0.0004913732734281,0.0011477111040832,0.0026807334661203,0.0062614467097257,0.0146249955074702,0.0341599159921447,0.0797880491651675,0.1863626594118999,0.4352912646251055,200.49054505282555,201.56686062408977,203.6604567342941,207.71734870232387,215.5218633643458,230.27889450457167,257.0940485671852,302.0311240719488,374.609016008695,485.3410927861971,686.9953121869321,953.3463041070158,,,,,,,,,202.06632383561268,203.6157940202673,206.03753972069973,209.8026332462317,215.6085033724886,224.4484179485597,237.64855401813475,256.8001037625325,283.4925481295619,319.04161915781634,368.21465983162057,431.6196045652087,510.3369032145938,594.6283614372232,856.9077686468978,,,,,,185.34927244271995,96.68804709180752,1.0,0.9942994473365938,0.986098446514464,0.9666171444282932,0.9226607143794924,0.8341713054452489,0.6913081986655965,0.5269461842279852,0.3927259932148554,0.2934063499000832,0.2057054034064922,0.1209746039021167,0.053957459619044,0.0176883285097722,0.0041242625261296,0.0,
terfenadine,0.0,2.422064520918395e-07,7.659240525986667e-07,2.4220645209183943e-06,7.659240525986668e-06,2.4220645209183944e-05,7.659240525986667e-05,0.0002422064520918,0.0007659240525986,0.0024220645209183,0.0076592405259866,0.0242206452091839,0.0765924052598667,0.2422064520918395,,,,0.5612755965381016,0.0058538781168744,9884.0,8.18e-05,41380.0,0.8221052631578948,-77.49,2.422064520918396e-07,5.011585935149302e-07,1.0369663305196698e-06,2.1456265233121147e-06,4.439597547235027e-06,9.186140349807812e-06,1.900739281625245e-05,3.932892029881564e-05,8.137696667940791e-05,0.0001683801806819,0.000348401843954,0.0007208915228559,0.001491624102294,0.0030863762327653,0.0063861385958623,0.0132138025599758,0.027341182073178,0.0565726810103057,0.1170566886291831,0.2422064520918395,201.9482659005011,204.05891510049523,207.8724758830269,214.71913688087028,226.85163585275933,247.7569820744356,281.8289621506816,333.17766028729903,413.430629814652,524.0478433668858,858.1462830452962,948.0827083528118,,,,,,,,,204.1086698572136,206.46520404200515,209.961433718612,215.11347493385472,222.62971849670896,233.4346438883817,248.64244536635533,269.4334901036914,296.8335950521836,331.9282853169671,379.7066938779565,438.4092943958045,509.4871739388869,584.9500154210966,849.8126516917486,908.5221151909756,,,,,213.0295005750212,117.10454580499838,1.0,0.987113134808102,0.9677978893973952,0.922528769017617,0.828722882771072,0.6764056513570225,0.5060919318427026,0.372394688965574,0.2727149857733806,0.1815282529452987,0.0960864606579672,0.0361672729310473,0.0088063872713615,0.0,,,
terfenadine,0.0,4.072558389484445e-07,1.2878560414797972e-06,4.072558389484444e-06,1.2878560414797972e-05,4.072558389484444e-05,0.0001287856041479,0.0004072558389484,0.0012878560414797,0.0040725583894844,0.0128785604147979,0.0407255838948444,0.1287856041479797,0.4072558389484446,,,,0.5834632866774667,0.0059476990869417,9884.0,8.18e-05,41380.0,0.8565263157894737,-77.49,4.072558389484441e-07,8.426685651245775e-07,1.743597617857622e-06,3.607744229250239e-06,7.464920971663797e-06,1.5445952254981982e-05,3.195980800986402e-05,6.612925581832714e-05,0.0001368305614894,0.0002831213254382,0.0005858171160398,0.0012121365033669,0.0025080777986259,0.0051895592835354,0.010737914737766,0.0222182282956754,0.0459725822614841,0.0951236206444191,0.1968239058888846,0.4072558389484446,201.75106657154527,203.81177733296337,207.6293597843676,214.65635740994287,227.40921113808832,249.84920036004047,286.9366996437198,343.8135889620256,433.3299409498779,553.3994779652139,865.2833600402571,,,,,,,,,,203.87616258574525,206.22745136961032,209.77237047869096,215.0787151507324,222.9363157438317,234.38688124325503,250.68988851772625,273.1631807201665,302.9223460338659,341.6751999289741,394.411509386676,459.2919642370679,536.0788653460274,693.1361638400067,865.227194450827,,,,,,162.40609439469213,84.79363809079709,1.0,0.9880921620951564,0.9690365765155372,0.9226388629847936,0.8236969583012417,0.6623666797842452,0.4874596343868511,0.3550091659037973,0.2545588786549725,0.1601138067741405,0.0763208330248035,0.0252503502471318,0.0055816928624783,0.0,,,
terfenadine,0.0,6.57825746423215e-07,2.080227662197722e-06,6.57825746423215e-06,2.080227662197722e-05,6.57825746423215e-05,0.0002080227662197,0.0006578257464232,0.0020802276621977,0.0065782574642321,0.0208022766219772,0.0657825746423215,0.2080227662197722,0.6578257464232153,,,,0.6061642794946352,0.0060009921425786,9884.0,8.18e-05,41380.0,0.8909473684210527,-77.49,6.578257464232157e-07,1.361132302662037e-06,2.8163706808734826e-06,5.827459826330513e-06,1.2057819042827048e-05,2.494929255670453e-05,5.162353132595102e-05,0.0001068162145481,0.000221017497202,0.0004573157200535,0.0009462493714552,0.0019579206087089,0.0040512080912791,0.0083825089361859,0.0173445684551473,0.0358883070910477,0.0742578628688289,0.1536497718840938,0.3179225941599792,0.6578257464232153,201.56896404208229,203.57755382036265,207.39333043356743,214.59372765143505,227.9777396858239,252.0214100409604,292.28863650515865,355.7977388060147,454.67322711057415,582.3372409475946,886.6067882910352,,,,,,,,,,203.648099153988,205.9896359293135,209.5782462349514,215.03692144335656,223.24452898802951,235.3729102273996,252.84107228209183,277.1151704097573,309.4117993065488,352.7716164775463,410.2796853916085,481.8035203508374,563.0530330376645,849.1856067818154,894.7572323768644,,,,,,167.53575228897893,89.41333377181981,1.0,0.988991707848342,0.9702121655724258,0.9227033537662456,0.8184682517545956,0.6480654461400692,0.4693069483351465,0.3381293028577402,0.236127615352905,0.1387661521845368,0.0588630501469187,0.0171619603647805,0.0035144442130896,0.0,,,
terfenadine,0.0,1.0253267517772234e-06,3.2423678815181224e-06,1.0253267517772232e-05,3.242367881518123e-05,0.0001025326751777,0.0003242367881518,0.0010253267517772,0.0032423678815181,0.0102532675177722,0.0324236788151812,0.1025326751777223,0.3242367881518124,,,,,0.6318466822342663,0.0058613207142021,9884.0,8.18e-05,41380.0,0.9253684210526316,-77.49,1.0253267517772223e-06,1.9968064594508764e-06,3.888746713760836e-06,7.573268271550126e-06,1.4748811515522978e-05,2.872306028529197e-05,5.59376727598829e-05,0.0001089376689918,0.0002121542627687,0.0004131668285865,0.0008046353913252,0.0015670137779162,0.0030517327557952,0.0059431977842453,0.0115742768876411,0.0225407079378889,0.0438976464165755,0.0854899218881922,0.1664901729603788,0.3242367881518124,201.40069880420376,203.1383929897213,206.34186195821025,212.21669117883664,222.87310528135703,241.73891282396352,273.49155604652265,322.6570375526577,400.191651909704,510.5971845626825,860.0243875771052,979.8976832136182,,,,,,,,,203.3939934534812,205.4794015382058,208.6187340803899,213.3146729551029,220.2735110344261,230.4412834725852,244.99570732518083,265.2343526555309,292.33291691783944,327.369243654002,375.3020207311755,435.0308783348341,507.9632757139645,585.8393710135956,850.6789723704093,918.7698232264448,,,,,220.0949054258174,117.73187064548574,1.0,0.9897973497947984,0.971271262293562,0.9225698359046898,0.812659440111647,0.6327973792666345,0.4505370659526022,0.3202281630889763,0.2157547754135682,0.1160809154097124,0.0420390171693272,0.0092533965051128,0.0,,,,
