,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,Hill_coef,IC50,Kmax,Ku,halfmax,n,Vhalf,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13
dofetilide,0.0,1.1359430134723382e-15,3.592167214727924e-15,1.1359430134723382e-14,3.5921672147279235e-14,1.1359430134723385e-13,3.592167214727924e-13,1.1359430134723385e-12,3.592167214727924e-12,1.1359430134723384e-11,3.592167214727925e-11,1.1359430134723388e-10,3.592167214727925e-10,1.135943013472338e-09,0.6535741956283613,1.0094468193670364e-08,100000000.0,1.79e-05,548300000.0,0.65,-1.147,1.1359430134723396e-15,2.350422947151909e-15,4.863349626678071e-15,1.0062941914334996e-14,2.0821616322996705e-14,4.30827992442738e-14,8.91442605573504e-14,1.8445178423203291e-13,3.816562108840662e-13,7.896993998342017e-13,1.6339971008304349e-12,3.3809656257594162e-12,6.995684727198904e-12,1.4475037672520384e-11,2.9950851673783126e-11,6.197244776004532e-11,1.2822955164020668e-10,2.6532464842302726e-10,5.489933339104788e-10,1.1359430134723395e-09,202.141297827888,203.82008810112896,206.5052998671356,210.78926735078528,217.5863255304692,228.2457617688173,244.56454296448305,268.43144202284105,301.0395216599832,344.108352878133,404.3455322395091,482.5694656210627,573.1363925201525,851.9789122265429,940.889597037079,,,,,,201.8019676489745,203.27686968081207,205.6282761696002,209.3573572388557,215.22076576149715,224.31777286773217,238.1394733332914,258.4893774126771,287.15226811205787,325.6580958465912,379.9124355081293,449.5715396978041,534.7596903364821,717.5216603476457,878.845074451272,,,,,,41.46045076908784,23.366611680172547,1.0,0.98310859994059,0.9649655914317,0.9287325964201744,0.860408829048821,0.7444599153368109,0.5789756703768769,0.3930792256407853,0.233239731183966,0.1251298912312436,0.0641026451586282,0.0323886228997226,0.0138081655058903,0.0
dofetilide,0.0,5.389115374338476e-15,1.7041879156340517e-14,5.3891153743384764e-14,1.7041879156340518e-13,5.389115374338477e-13,1.7041879156340517e-12,5.389115374338477e-12,1.7041879156340518e-11,5.389115374338477e-11,1.7041879156340522e-10,5.389115374338476e-10,1.7041879156340523e-09,,0.699169516114323,7.355192132784914e-09,100000000.0,1.79e-05,548300000.0,0.6844210526315789,-1.147,5.389115374338479e-15,1.04952107916357e-14,2.0439245016977927e-14,3.9805083019104007e-14,7.75197240818653e-14,1.5096834790783876e-13,2.940082971135601e-13,5.725761722211143e-13,1.1150823844564934e-12,2.171604031830033e-12,4.229162021386474e-12,8.236221309676378e-12,1.6039901313529804e-11,3.1237435769909554e-11,6.083437637213789e-11,1.1847391622816432e-10,2.3072594252592126e-10,4.4933485993619535e-10,8.750720189655153e-10,1.7041879156340523e-09,201.82956555517404,203.25632658534053,205.50262268449512,209.03220341603537,214.5561129746921,223.1316007528352,236.2237881507729,255.57219596084445,282.63805994027626,318.15520749242694,366.6698263927826,430.57122389200657,512.2916403202622,600.1790066003559,861.424799889548,,,,,,201.43405868107047,202.65847001667848,204.59553225438003,207.6472492651966,212.4222514315813,219.8141599011709,231.06901878068544,247.77761083613484,271.6877792408184,304.31704076674225,348.3909370676772,408.57641423669713,484.21023126684224,570.1568231881313,849.0206590694759,920.4046937671884,,,,,14.327580502493616,10.483729640304388,1.0,0.9848571345309332,0.9672971233448302,0.9307826893371184,0.859331394295856,0.7348022246686602,0.5560571203573843,0.3599780402899483,0.1996888196472201,0.0981319125982968,0.044443862979101,0.0170512028967788,0.0,
dofetilide,0.0,2.202540003307701e-14,6.965043048087134e-14,2.2025400033077014e-13,6.965043048087133e-13,2.2025400033077014e-12,6.965043048087133e-12,2.202540003307701e-11,6.965043048087133e-11,2.2025400033077006e-10,6.96504304808713e-10,2.202540003307702e-09,6.965043048087134e-09,,0.7258325126309352,9.288390749621748e-09,100000000.0,1.79e-05,548300000.0,0.718842105263158,-1.147,2.2025400033077048e-14,4.289409301162324e-14,8.353551865240517e-14,1.626840058055404e-13,3.1682434217070697e-13,6.17010033007702e-13,1.2016165747360396e-12,2.340127899771686e-12,4.5573593960226676e-12,8.875380130522979e-12,1.7284652276936642e-11,3.366156716005432e-11,6.555533114095551e-11,1.2766789557261298e-10,2.486310613685056e-10,4.84204775209679e-10,9.429805875636803e-10,1.836438701243458e-09,3.576433224503707e-09,6.9650430480871435e-09,201.5525302058502,202.90027189036,205.0715098631893,208.56292087362232,214.15494346344525,223.0350978523745,236.8843123631212,257.71050323590794,287.14407090650354,326.0735067481138,380.7080095095313,452.7467102515624,542.5990132393455,856.0553992372518,891.6310475747903,,,,,,201.26058856520729,202.4374304501588,204.33320684627955,207.3734936679488,212.21550371232885,219.84043902891364,231.63531166745395,249.3850743242985,275.0386907972349,310.2572844661811,359.1648286679759,424.5854188316435,507.111446202914,596.6310239104138,860.9049846458149,,,,,,68.93060098776944,28.31034142868012,1.0,0.9866077456025112,0.96988637477532,0.9336742810998314,0.8601315795878546,0.7285223313989544,0.5388301091269679,0.3362410667229455,0.17924046009359,0.0861765122402752,0.039838947154256,0.0159957474439672,0.0,
dofetilide,0.0,7.915030272246236e-14,2.502952340948072e-13,7.915030272246236e-13,2.5029523409480718e-12,7.915030272246236e-12,2.502952340948072e-11,7.915030272246235e-11,2.502952340948072e-10,7.915030272246233e-10,2.5029523409480722e-09,7.915030272246237e-09,2.5029523409480724e-08,,0.7519089378643555,1.1654475049915376e-08,100000000.0,1.79e-05,548300000.0,0.7532631578947369,-1.147,7.915030272246227e-14,1.541438721556389e-13,3.001925767289712e-13,5.846199518861781e-13,1.138537441090608e-12,2.2172823568250706e-12,4.31811978460575e-12,8.409465044814136e-12,1.6377290549481032e-11,3.1894495584772345e-11,6.211398921778876e-11,1.2096594054271876e-10,2.3557911761355636e-10,4.5878633610907046e-10,8.934786085142912e-10,1.740034436602862e-09,3.388687554141271e-09,6.5994115392399996e-09,1.2852242046048044e-08,2.502952340948074e-08,201.3066016049059,202.5767078201217,204.67047066068463,208.1161448997032,213.7638063315545,222.93923299525144,237.5559543523889,259.91503683753143,291.81940276420136,334.4863345314804,395.5600362542521,476.5153845040546,572.4985889507923,853.3309678943582,924.5369466634022,,,,,,201.1057484636554,202.2369536310985,204.0912092872624,207.11788277667097,212.02210793624687,219.87499823058948,232.2118301125268,251.02272337754584,278.4639035774712,316.3558946193782,370.0927750334583,441.2232844113878,530.0558054621762,706.9614533783182,883.408696939032,,,,,,42.77047058017033,22.889756655191,1.0,0.9881551840270276,0.972266987047746,0.9364320858100802,0.8608861238070206,0.7220972182444151,0.5215413298937099,0.3136147655285444,0.1612455464473118,0.0768015126098747,0.0367963877348286,0.0155029337453726,0.0,
dofetilide,0.0,2.5434850817840723e-13,8.043206053097311e-13,2.543485081784071e-12,8.043206053097311e-12,2.5434850817840707e-11,8.043206053097312e-11,2.5434850817840714e-10,8.04320605309731e-10,2.5434850817840717e-09,8.043206053097313e-09,2.5434850817840722e-08,8.043206053097317e-08,,0.7773046815771376,1.4576487225402997e-08,100000000.0,1.79e-05,548300000.0,0.7876842105263158,-1.147,2.5434850817840733e-13,4.95339405903541e-13,9.646650919956276e-13,1.8786689058535023e-12,3.658675831753645e-12,7.1252091308642735e-12,1.387622393816116e-11,2.7023710777544816e-11,5.262821841466792e-11,1.0249256278317928e-10,1.9960252773702558e-10,3.8872253749077374e-10,7.570305489935764e-10,1.474304154857808e-09,2.8711823372525904e-09,5.591578906284992e-09,1.0889505086301602e-08,2.120712646857252e-08,4.130051912274508e-08,8.043206053097317e-08,201.0881937568823,202.28245297853027,204.29737102115843,207.69090677774665,213.38312513142324,222.8435402569889,238.23821766120057,262.1862051440484,296.66570593530804,343.65592919752567,411.3970711029532,501.5746755213032,602.7761547494155,871.4298791005338,,,,,,,200.96791041272,202.0553162553044,203.8689483615045,206.8800942286984,211.842112033089,219.91761117299063,232.7966669014018,252.6833190654916,281.9464132956025,322.59763147946904,381.17342507338367,458.3639421229422,552.4783520099678,848.5644477574989,923.663792908074,,,,,,21.75381866751249,14.52665986892526,1.0,0.9895214433392,0.9744585256130506,0.9390698304605708,0.8616115276059655,0.7155561670893624,0.5042917941766326,0.2922657515042887,0.1456651436056357,0.0696947756554196,0.0349366032573268,0.0154013580412069,0.0,
dofetilide,0.0,7.412286506309017e-13,2.343970802966853e-12,7.412286506309017e-12,2.343970802966853e-11,7.412286506309017e-11,2.343970802966853e-10,7.412286506309014e-10,2.3439708029668524e-09,7.412286506309018e-09,2.3439708029668533e-08,7.41228650630902e-08,,,0.8300215669039324,9.306551085584164e-09,100000000.0,1.79e-05,548300000.0,0.8221052631578948,-1.147,7.412286506309031e-13,1.3586578189228013e-12,2.490393574707156e-12,4.564843384819257e-12,8.367269872344751e-12,1.5337044278337318e-11,2.811250632337531e-11,5.152968182390165e-11,9.44529128185446e-11,1.7313036727833008e-10,3.1734462368051327e-10,5.816865738927592e-10,1.0662202696956352e-09,1.9543611878506593e-09,3.582306359329828e-09,6.566298456943924e-09,1.203589841314701e-08,2.206156962883721e-08,4.043843158034528e-08,7.412286506309017e-08,200.89414205829607,201.8860174014204,203.5158755921656,206.1905875400552,210.56788577025867,217.6898123672497,229.1292140849784,247.0004287558313,273.4644597366756,309.7698167839886,359.80798711392515,428.3395757797125,517.6987197192881,686.3731833685209,875.7452010158706,,,,,,200.68670774724475,201.55209217162871,202.9755717985086,205.30929578903584,209.11386683564945,215.2592911484,225.0383901929117,240.233235227045,262.9945157914536,295.3786146387717,339.6334200057225,402.6988357763908,483.4345419028425,576.1217981240314,852.487435982328,979.732828768103,,,,,31.961734503063703,17.01035293041814,1.0,0.9905871852087408,0.9761092925416024,0.940674312825037,0.8601428252507973,0.7043249413193725,0.4790694617709347,0.2608107017322675,0.1186937628938582,0.0497416064394914,0.0186964320909092,0.0,,
dofetilide,0.0,1.982165047340416e-12,6.268156247971195e-12,1.982165047340416e-11,6.268156247971194e-11,1.982165047340416e-10,6.268156247971191e-10,1.982165047340416e-09,6.268156247971195e-09,1.982165047340416e-08,6.268156247971198e-08,1.9821650473404165e-07,,,0.8561307358564761,1.1352992353694016e-08,100000000.0,1.79e-05,548300000.0,0.8565263157894737,-1.147,1.982165047340418e-12,3.6332702974612523e-12,6.659714372486907e-12,1.2207127984422e-11,2.237543013010838e-11,4.10137318250676e-11,7.517737931460337e-11,1.3779868617460088e-10,2.5258233373609587e-10,4.629785456353051e-10,8.486307436787693e-10,1.5555237837825711e-09,2.8512450909145403e-09,5.22627725350201e-09,9.579665395131514e-09,1.7559341885505066e-08,3.2185934971042806e-08,5.8996197962028656e-08,1.0813889287685029e-07,1.982165047340418e-07,200.72181905663024,201.6500836061584,203.20752838884744,205.81772481206343,210.18047026154835,217.4288480242164,229.30911677637823,248.2028546129172,276.5220418370194,315.6151269761279,370.876300436953,446.4387958484591,543.1596616944074,852.0560415944154,912.3825086946274,,,,,,200.57747984667287,201.40419282007923,202.7860197934364,205.08799709156293,208.90051358761264,215.1559495463736,225.2575247341635,241.1622488077188,265.2322076298209,299.6913444716108,347.7078861006556,415.4154524834309,502.30077567150647,598.287426409132,866.1147723461465,,,,,,68.39224803141954,29.232475418723084,1.0,0.9916724746510104,0.97799342269571,0.9431183100863691,0.8608044809995967,0.6974148591984142,0.4617224083924477,0.2417937505865212,0.1071472305761883,0.0458058739008731,0.0180626799548538,0.0,,
dofetilide,0.0,1.553528814520953e-11,4.912689464587476e-11,1.553528814520953e-10,4.912689464587472e-10,1.553528814520953e-09,4.912689464587476e-09,1.5535288145209534e-08,4.912689464587477e-08,1.553528814520954e-07,4.912689464587477e-07,,,,0.8815977313000081,1.3827849240556432e-08,100000000.0,1.79e-05,548300000.0,0.8909473684210527,-1.147,1.553528814520954e-11,2.6801643004505e-11,4.623847726715227e-11,7.977110879454656e-11,1.3762195847292588e-10,2.3742685466117697e-10,4.096113145010177e-10,7.06665761152782e-10,1.2191472264236062e-09,2.1032856569585816e-09,3.6286106049267164e-09,6.260117297251138e-09,1.0800020405092328e-08,1.863230914245462e-08,3.2144656302344225e-08,5.54563001770651e-08,9.56737941262253e-08,1.650574389795469e-07,2.8475883507392864e-07,4.912689464587479e-07,202.73516882510407,204.84232243395968,208.2540800411996,213.7571205235039,222.55901086597063,236.38671183298163,257.32793218938986,287.0991286460541,326.64251081898885,382.38949121790176,456.1398949983207,547.6737476509785,852.7460556331617,900.4981195623043,,,,,,,202.44398565316047,204.32874054943915,207.34279981088395,212.1294322975136,219.6470397083025,231.2501498256977,248.6829803241896,273.8602117895745,308.425197784996,356.1404596836675,420.337840166358,501.3918515783296,590.2758568361752,857.0658222225534,993.5423760473728,,,,,,73.44110818775881,33.266351929212725,1.0,0.9797276554081812,0.945458770045957,0.8614429925431079,0.6904019902028289,0.4445884009677591,0.2242176146569764,0.097532108997053,0.0430638465009417,0.0178131639393301,0.0,,,
dofetilide,0.0,3.598935946377844e-11,1.1380834743607596e-10,3.5989359463778435e-10,1.13808347436076e-09,3.5989359463778434e-09,1.13808347436076e-08,3.598935946377844e-08,1.1380834743607601e-07,3.598935946377845e-07,1.1380834743607604e-06,,,,0.9064956421452068,1.6794866843414677e-08,100000000.0,1.79e-05,548300000.0,0.9253684210526316,-1.147,3.598935946377851e-11,6.208922263256706e-11,1.0711698192340472e-10,1.8479934729220924e-10,3.188177835709222e-10,5.500278037256928e-10,9.489137697490142e-10,1.63707604655627e-09,2.8243008665762827e-09,4.872513651227866e-09,8.40611195583492e-09,1.4502313030200311e-08,2.501954343826348e-08,4.3163980294425366e-08,7.446695418143294e-08,1.2847117497585878e-07,2.216398264318013e-07,3.82375366847466e-07,6.596780169232071e-07,1.13808347436076e-06,202.4779435210131,204.521257788324,207.8927034546309,213.43448187757824,222.46491695450223,236.90154969007008,259.0766392813018,290.85493056614257,333.43783264930323,394.4530190327905,475.5206689872184,571.958867538897,853.311143223336,,,,,,,,202.287012872933,204.14101964963635,207.1465059481408,211.98430186159817,219.68214401802493,231.70787532369087,249.9623113647226,276.5205141804686,313.14337937257244,364.6266619949677,433.1384899668322,519.3158889577512,672.5800774182799,871.9834090556112,,,,,,,54.67303671046661,27.69767474119149,1.0,0.9813268296403864,0.9476991101527136,0.8620616673650101,0.6832931858296023,0.4277292465240983,0.2080955193821221,0.0896569968527767,0.0412355956170587,0.0178069181359206,0.0,,,
