,APD,drug concentration,qNet
0,210.5,0.1,0.15218236874941182
1,210.5,0.20691380811147897,0.15218111895322348
2,210.5,0.42813323987193935,0.15217848524930785
3,210.60000000000002,0.8858667904100825,0.1521731287995707
4,210.70000000000002,1.8329807108324356,0.15216322556984618
5,210.9,3.79269019073225,0.1521451225832951
6,211.4,7.847599703514611,0.15210923707627974
7,212.3,16.23776739188721,0.15204037305402987
8,213.9,33.59818286283781,0.15191094570239863
9,217.0,69.51927961775606,0.1516689735927117
10,222.60000000000002,143.8449888287663,0.15122745986499878
11,232.70000000000002,297.6351441631316,0.15046204867491364
12,249.70000000000002,615.8482110660261,0.14923205106946064
13,275.8,1274.2749857031322,0.14748183940781062
14,311.8,2636.6508987303555,0.1453659008838022
15,355.40000000000003,5455.594781168515,0.1432483773575181
16,402.1,11288.378916846883,0.14145902203432748
17,447.3,23357.21469090121,0.1400926125929302
18,486.8,48329.30238571752,0.13905623594080824
19,517.8,100000.0,0.13819611317224234
