,pulse 0,pulse 1,APD,drug concentration,qNet
0,264.41601054883114,264.41598205246066,264.41601054883114,0.1,0.07445507343179981
1,264.4391791273756,264.4392153690288,264.4392153690288,0.20691380811147897,0.07445100496757419
2,264.4891351820065,264.48918187457514,264.48918187457514,0.42813323987193935,0.07444204596345458
3,264.5952458422702,264.59517433523365,264.5952458422702,0.8858667904100825,0.07442249443435926
4,264.8221052820237,264.82207985446155,264.8221052820237,1.8329807108324356,0.07438141205468982
5,265.30592168713946,265.3058201571466,265.30592168713946,3.79269019073225,0.07429408174339129
6,266.3371419412561,266.3370162078632,266.3371419412561,7.847599703514611,0.07410766046257157
7,268.5322206059778,268.53226650827827,268.53226650827827,16.23776739188721,0.07371069408152321
8,273.1867598353699,273.1866286011205,273.1867598353699,33.59818286283781,0.07287075603962619
9,282.97058170896446,282.97067822958024,282.97067822958024,69.51927961775606,0.07111126555925586
10,303.1074633697658,303.10763525770983,303.10763525770983,143.8449888287663,0.06750974699344572
11,342.49030326643555,342.4903529032112,342.4903529032112,297.6351441631316,0.060528945061882895
12,411.83318000866456,411.83302611346824,411.83318000866456,615.8482110660261,0.04844024574147692
13,514.9440086197662,514.9445375946094,514.9445375946094,1274.2749857031322,0.03071147938491902
14,628.200173158394,628.2002259243474,628.2002259243474,2636.6508987303555,-0.015232970317838185
15,712.713178446383,712.715187280846,712.715187280846,5455.594781168515,-0.015411052925222041
16,,,,11288.378916846883,
17,,,,23357.21469090121,
18,,,,48329.30238571752,
19,,,,100000.0,
