,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME
0,0.0,3.720371566686647e-14,1.1764847892858818e-13,3.720371566686647e-13,1.1764847892858813e-12,3.720371566686646e-12,1.1764847892858814e-11,3.720371566686646e-11,1.1764847892858816e-10,3.7203715666866466e-10,1.1764847892858812e-09,3.720371566686647e-09,1.1764847892858818e-08,3.7203715666866484e-08,1.176484789285882e-07,3.720371566686648e-07,1.1764847892858822e-06,3.720371566686649e-06,1.1764847892858824e-05,1.0,0.9997547688198346,0.999479730404576,0.9989022912850568,0.9976828950338452,0.9951155749321728,0.9897330768525058,0.9785415572955224,0.955692357716318,0.910701838492482,0.8281204751181367,0.6944044311393225,0.5164037426704917,0.3324426658225008,0.185964219787106,0.0917594059745888,0.0393951139945734,0.0128087502914707,0.0,0.6684822352168902,5.28181911705289e-06,-14.57,206000.0,0.03866,0.65,56770000.0,3.7203715666866484e-14,1.0422088042509677e-13,2.9195986803694373e-13,8.178837503240188e-13,2.2911841738448785e-12,6.418424276552198e-12,1.7980296243362464e-11,5.0369224449702085e-11,1.4110216746851637e-10,3.9527751085774357e-10,1.1073133275911952e-09,3.101979677013226e-09,8.689751741302454e-09,2.434309479363729e-08,6.819369318866082e-08,1.9103486348517597e-07,5.351568064489007e-07,1.4991651380472229e-06,4.199696395622216e-06,1.176484789285882e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,4.68320304558435e-13,1.4809588369083905e-12,4.683203045584349e-12,1.4809588369083905e-11,4.683203045584349e-11,1.4809588369083904e-10,4.68320304558435e-10,1.4809588369083906e-09,4.68320304558435e-09,1.4809588369083909e-08,4.683203045584352e-08,1.480958836908391e-07,4.683203045584353e-07,1.4809588369083912e-06,4.683203045584352e-06,1.4809588369083914e-05,4.683203045584353e-05,,1.0,0.999522749717642,0.99894995324132,0.9976941235635932,0.9949438970073526,0.9889489979192486,0.976014566995176,0.9487186755572186,0.8937117003146314,0.7924814240131823,0.6339300917893088,0.4390236897604846,0.2598344339150856,0.1341122939468118,0.0618127227559209,0.0251393431612001,0.0078501119858739,0.0,,0.6971424224194983,6.017634694786277e-06,-14.57,206000.0,0.03866,0.6844210526315789,56770000.0,4.683203045584345e-13,1.23479715190767e-12,3.2557290203270545e-12,8.584220847467829e-12,2.2633593612375905e-11,5.967688493956856e-11,1.5734711230934142e-10,4.14869405083053e-10,1.0938657897679592e-09,2.8841422176820806e-09,7.604476170317649e-09,2.00503489288416e-08,5.286577052308743e-08,1.393885813617712e-07,3.675190283202641e-07,9.690193763211332e-07,2.5549658094642444e-06,6.73655289774923e-06,1.7761938252195123e-05,4.683203045584354e-05,208.47009905193607,208.58247560207752,208.8010282930403,209.22486051007616,210.0458414381141,211.63369079951624,214.6939639087149,220.5494687873762,231.5961725419403,251.85406640970265,286.97376140526075,342.904119522622,426.80779014183327,549.1133614947333,844.2065814989473,,,,,,208.41388409884289,208.47517118680813,208.5953364149004,208.8319337591469,209.2957278468158,210.2046862394659,211.98039092721365,215.42855529323705,222.04621569285467,234.46793629400213,256.8488394976092,294.5298817724417,353.4707194662721,441.76650138349953,567.7834332446341,864.5956681993052,,,,,80.41098247073108,38.221204552543135
0,0.0,1.6332135679903989e-12,5.164674780339928e-12,1.6332135679903985e-11,5.164674780339928e-11,1.6332135679903984e-10,5.164674780339926e-10,1.6332135679903984e-09,5.1646747803399285e-09,1.633213567990399e-08,5.16467478033993e-08,1.6332135679903993e-07,5.16467478033993e-07,1.6332135679903997e-06,5.164674780339931e-06,1.6332135679903997e-05,5.164674780339932e-05,,,1.0,0.9995573237141424,0.9989881913174732,0.99768940082486,0.9947296487843532,0.9880233822584148,0.9730120903725828,0.9403094794914526,0.8730837225735737,0.7500370264807594,0.566215028620016,0.360755093726055,0.1939098548627603,0.0902247783820201,0.0363345662079404,0.0111338105808141,0.0,,,0.7352610365916122,5.688768705049509e-06,-14.57,206000.0,0.03866,0.718842105263158,56770000.0,1.6332135679903969e-12,4.053030027494502e-12,1.0058116541356464e-11,2.496051291829373e-11,6.194273078688003e-11,1.5371887228021675e-10,3.8147319943644476e-10,9.466749250085834e-10,2.349295874425686e-09,5.830080590275999e-09,1.4468096615298532e-08,3.590444701892246e-08,8.910151418062036e-08,2.211168946591833e-07,5.487300811140926e-07,1.3617444401233313e-06,3.3793443881222964e-06,8.386278773790599e-06,2.0811631960011327e-05,5.164674780339933e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,5.081160332004245e-12,1.606803980563077e-11,5.0811603320042446e-11,1.6068039805630768e-10,5.081160332004242e-10,1.6068039805630768e-09,5.081160332004245e-09,1.6068039805630772e-08,5.0811603320042453e-08,1.6068039805630773e-07,5.081160332004246e-07,1.6068039805630773e-06,5.0811603320042464e-06,1.6068039805630776e-05,5.081160332004248e-05,0.0001606803980563,,,1.0,0.9995926991717604,0.999029528926626,0.9976973385134804,0.9945368072375416,0.9870939645473042,0.9698108032226522,0.930994668388102,0.8499300889781392,0.7036887823807153,0.4983075707210458,0.2922365081582894,0.1447060732822866,0.0628221165199333,0.0239660093150332,0.00706159254064,0.0,,,0.7650589607355406,6.254683806805733e-06,-14.57,206000.0,0.03866,0.7532631578947369,56770000.0,5.081160332004249e-12,1.2609554441472928e-11,3.129223500604469e-11,7.765571545120758e-11,1.9271266948730358e-10,4.78241334396785e-10,1.1868175275351414e-09,2.945240702460901e-09,7.308994511943232e-09,1.8138212177693905e-08,4.5012311948716383e-08,1.117038552156881e-07,2.772075178956286e-07,6.879261940375997e-07,1.7071775399007644e-06,4.236581159435162e-06,1.0513622339199862e-05,2.609090928074172e-05,6.47479550942005e-05,0.0001606803980563,208.4524141183897,208.55293802437052,208.75162336252583,209.1455144545116,209.92500311386755,211.4648889784338,214.4967945343641,220.4207743221972,231.8270574386632,253.13177834492768,290.5629610246926,350.694472805145,441.5577343019485,574.7915596151587,859.830904947589,,,,937.9593483508762,,208.4052730209184,208.460857850966,208.57133215295696,208.79293854822856,209.2366210451906,210.1229167423635,211.888728359558,215.38440201170448,222.22153907996108,235.2799811504352,259.1391456068131,299.6446360138814,363.4984046894479,459.55783621828346,596.8569217634541,893.060630386244,,,,,78.55634486037937,38.436325675508165
0,0.0,1.4315369198143423e-11,4.5269172212351477e-11,1.4315369198143424e-10,4.526917221235148e-10,1.4315369198143423e-09,4.526917221235148e-09,1.4315369198143426e-08,4.5269172212351486e-08,1.431536919814343e-07,4.5269172212351494e-07,1.4315369198143432e-06,4.52691722123515e-06,1.4315369198143433e-05,4.526917221235151e-05,0.0001431536919814,,,,1.0,0.999621562804408,0.9990654150257998,0.9976917040770896,0.9943031779862008,0.9860091011890436,0.9660450990136784,0.9198864547076666,0.8223915488642172,0.6507939759034409,0.4274331963504025,0.2281114685320557,0.1019757796117718,0.038860336517687,0.011263284934125,0.0,,,,0.8040867355854899,5.842796700613151e-06,-14.57,206000.0,0.03866,0.7876842105263158,56770000.0,1.4315369198143431e-11,3.343671517405505e-11,7.809885348789179e-11,1.824171688029928e-10,4.2607569750378684e-10,9.951941541171474e-10,2.324496351684404e-09,5.4293760334509235e-09,1.2681510165094689e-08,2.9620475553096268e-08,6.918518067402604e-08,1.6159731184320158e-07,3.774463106194173e-07,8.816094511426315e-07,2.0591941223866068e-06,4.809703920682589e-06,1.1234128707505252e-05,2.6239795608641672e-05,6.128885394764105e-05,0.0001431536919814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,3.6980533824988676e-11,1.169427159758628e-10,3.698053382498867e-10,1.169427159758628e-09,3.6980533824988678e-09,1.1694271597586281e-08,3.698053382498868e-08,1.1694271597586285e-07,3.698053382498869e-07,1.1694271597586285e-06,3.698053382498869e-06,1.1694271597586286e-05,3.69805338249887e-05,0.0001169427159758,0.0003698053382498,,,,1.0,0.999651786924206,0.9991045764262256,0.9976982770192474,0.9940911195773822,0.984915904659833,0.9620299450816204,0.9076502468681322,0.7920965078205349,0.5958229700051003,0.3621319507880641,0.1776524493110708,0.073860565420543,0.026607244709325,0.0074100343716531,0.0,,,,0.834274287128949,6.325846454912262e-06,-14.57,206000.0,0.03866,0.8221052631578948,56770000.0,3.698053382498867e-11,8.637622679343946e-11,2.017508073404339e-10,4.712336921113163e-10,1.1006706516230056e-09,2.5708600713932783e-09,6.004813062779842e-09,1.4025570788607685e-08,3.275982680719424e-08,7.651783079723764e-08,1.7872434016131326e-07,4.174502783637451e-07,9.750475774518469e-07,2.277439560038592e-06,5.319464474937309e-06,1.2424787378173282e-05,2.902084262807929e-05,6.778460517749059e-05,0.0001583259575868,0.0003698053382498,208.43762565157368,208.52528817269848,208.7016796817802,209.05558519407987,209.76480658760573,211.18487276387845,214.01732961703533,219.62848321852584,230.5859857610222,251.36127593099505,288.43055894137484,348.73514702966446,440.6880088685643,576.4397181063465,862.7983785701924,,,,944.7483355878186,,208.39756098009588,208.44614257177,208.54439454185405,208.7436030677456,209.14766227541145,209.96524760128065,211.61477648219812,214.9235185006433,221.4828056892107,234.18666294846705,257.73110779910644,298.2327138407236,362.6998283507044,460.4322188938952,600.8554483767459,902.2015482225856,,,,,78.33887471626902,38.196736811699004
0,0.0,8.851485481362352e-11,2.799085479701692e-10,8.851485481362353e-10,2.799085479701692e-09,8.851485481362352e-09,2.799085479701692e-08,8.851485481362354e-08,2.7990854797016924e-07,8.851485481362354e-07,2.7990854797016926e-06,8.851485481362355e-06,2.799085479701693e-05,8.851485481362356e-05,0.0002799085479701,,,,,1.0,0.9996786387714336,0.9991367134679896,0.997691080423716,0.9938348210343304,0.9836408515622446,0.9573062478582048,0.8931326621085207,0.7567452109939607,0.5357329700560682,0.2977600737709059,0.1318427627108296,0.0482230599625971,0.0132882377267163,0.0,,,,,0.8748779672343979,5.796787762558539e-06,-14.57,206000.0,0.03866,0.8565263157894737,56770000.0,8.851485481362361e-11,1.9459040613738336e-10,4.2778611839155005e-10,9.404418579573183e-10,2.0674604672157564e-09,4.545089892940524e-09,9.991892209058716e-09,2.1966102380619108e-08,4.8290117997709374e-08,1.0616064041885705e-07,2.333827714953277e-07,5.130669692264367e-07,1.127922653521453e-06,2.4796168699868087e-06,5.451171498973919e-06,1.1983815351031888e-05,2.634513157303156e-05,5.791694358346237e-05,0.0001273241830184,0.0002799085479701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.9804828678391264e-10,6.262836729313872e-10,1.9804828678391262e-09,6.262836729313874e-09,1.980482867839126e-08,6.262836729313873e-08,1.9804828678391261e-07,6.262836729313874e-07,1.9804828678391265e-06,6.262836729313875e-06,1.9804828678391263e-05,6.262836729313876e-05,0.0001980482867839,0.0006262836729313,,,,,1.0,0.9997019522477788,0.9991719070990274,0.9976973282031608,0.9936043166454572,0.9823629591061572,0.9523025934637176,0.8773483012352191,0.7190765840922669,0.4772139886662206,0.2438468135753964,0.0999056336083775,0.0343940830336879,0.0090813962460342,0.0,,,,,0.9048446618972996,6.260030460047248e-06,-14.57,206000.0,0.03866,0.8909473684210527,56770000.0,1.9804828678391228e-10,4.3538789778552406e-10,9.571535538953e-10,2.1041993367158467e-09,4.625856353577013e-09,1.016944860239664e-08,2.2356441050491654e-08,4.914823566012397e-08,1.0804711997976794e-07,2.375299942942636e-07,5.221841933408106e-07,1.1479658919925224e-06,2.5236797781010068e-06,5.548039072259667e-06,1.2196768312056403e-05,2.6813285797101312e-05,5.894613038819115e-05,0.0001295867397242,0.0002848825359998,0.0006262836729313,208.4248435459166,208.50035646321425,208.65289652462064,208.9602498645977,209.57940567808248,210.82474053693937,213.3219994867544,218.29901988341084,228.09315395472856,246.8674172224484,280.93993693978706,337.3557045517043,424.35007673337896,553.9115414462476,850.0649672572652,,,,941.6535068239656,,208.39047546463405,208.4319313846105,208.51623176141925,208.6885793086695,209.03945228306048,209.7533517909339,211.202350364923,214.12724324755044,219.9709370504064,231.4025879540476,252.885301960373,290.51482573974965,351.1537467943029,444.1390155776283,579.2767366895338,879.3001320499002,,,,936.8752416829822,79.180667754654,37.37690284781692
0,0.0,4.173556113322037e-10,1.319794326061745e-09,4.173556113322038e-09,1.3197943260617452e-08,4.1735561133220375e-08,1.319794326061745e-07,4.173556113322038e-07,1.3197943260617451e-06,4.173556113322039e-06,1.3197943260617454e-05,4.17355611332204e-05,0.0001319794326061,0.0004173556113322,0.0013197943260617,,,,,1.0,0.9997273589537686,0.999205758713188,0.9977015125488168,0.9933602639929752,0.9809697907948722,0.9466965292723584,0.8594711860598498,0.6778015800836249,0.4189762199357612,0.1966431019587295,0.0748232253717589,0.0243548434215676,0.0061902426888722,0.0,,,,,0.936244377740888,6.584799509504084e-06,-14.57,206000.0,0.03866,0.9253684210526316,56770000.0,4.1735561133220455e-10,9.175115079141471e-10,2.017050554245011e-09,4.4342691108358484e-09,9.748264616338626e-09,2.14305132717232e-08,4.7112682837902e-08,1.0357217561902452e-07,2.2769230950753701e-07,5.005570994238475e-07,1.1004210477092142e-06,2.41915754193728e-06,5.318258156634681e-06,1.1691619636297593e-05,2.570277066173061e-05,5.65047820781419e-05,0.0001242196975461,0.0002730836699293,0.000600345132497,0.0013197943260617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
