,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,Hill_coef,IC50,Vhalf,Kmax,Ku,n,halfmax
0,29,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,,0.896714744,0.187026846,-199.5,23.34836344,0.00174101,1,1
0,30,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,0.925942862,0.145868093,-199.5,23.34836344,0.002895239,1,1
0,31,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,0.955798916,0.115472256,-199.5,23.34836344,0.004814681,1,1
0,32,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.985355383,0.09519142,-199.5,23.34836344,0.008006647,1,1
0,33,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.999900755,0.086356801,-199.5,23.34836344,0.013314775,1,1
0,34,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,1.003219299,0.084410421,-199.5,23.34836344,0.022142006,1,1
0,35,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,1.003510109,0.08425463,-199.5,23.34836344,0.036821383,1,1
0,36,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,1.003516546,0.084243982,-199.5,23.34836344,0.061232676,1,1
0,37,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,1.003501354,0.084245054,-199.5,23.34836344,0.101827803,1,1
0,38,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,1.003491003,0.084246943,-199.5,23.34836344,0.169336084,1,1
0,39,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,1.003482274,0.084248644,-199.5,23.34836344,0.2816,1,1
0,40,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,,1.026259643,0.03499472,-199.5,54.53642211,1.79E-05,1,1
0,41,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,,0.994632888,0.039777669,-199.5,54.53642211,2.98E-05,1,1
0,42,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.922126031,0.056247684,-199.5,54.53642211,4.95E-05,1,1
0,43,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.842654639,0.088142811,-199.5,54.53642211,8.23E-05,1,1
0,44,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.788307044,0.137072654,-199.5,54.53642211,0.000136894,1,1
0,45,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,0.779210165,0.185262742,-199.5,54.53642211,0.000227651,1,1
0,46,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,0.806773899,0.197576168,-199.5,54.53642211,0.000378575,1,1
0,47,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,0.832962463,0.179182627,-199.5,54.53642211,0.000629557,1,1
0,48,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.859138141,0.142782652,-199.5,54.53642211,0.001046931,1,1
