,param_id,param_values,param_values,param_values,param_values,param_values
,param_id,Kmax,Ku,halfmax,n,Vhalf
0,0,10.0,1e-05,1,1,-200.0
1,1,10.0,2.06913808111479e-05,1,1,-200.0
2,2,10.0,4.281332398719396e-05,1,1,-200.0
3,3,10.0,8.858667904100833e-05,1,1,-200.0
4,4,10.0,0.00018329807108324357,1,1,-200.0
5,5,10.0,0.000379269019073225,1,1,-200.0
6,6,10.0,0.0007847599703514606,1,1,-200.0
7,7,10.0,0.001623776739188721,1,1,-200.0
8,8,10.0,0.003359818286283781,1,1,-200.0
9,9,10.0,0.0069519279617756054,1,1,-200.0
10,10,10.0,0.01438449888287663,1,1,-200.0
11,11,10.0,0.029763514416313162,1,1,-200.0
12,12,10.0,0.06158482110660261,1,1,-200.0
13,13,10.0,0.1274274985703132,1,1,-200.0
14,14,10.0,0.26366508987303555,1,1,-200.0
15,15,10.0,0.5455594781168515,1,1,-200.0
16,16,10.0,1.1288378916846884,1,1,-200.0
17,17,10.0,2.3357214690901213,1,1,-200.0
18,18,10.0,4.832930238571752,1,1,-200.0
19,19,10.0,10.0,1,1,-200.0
20,20,29.76351441631318,1e-05,1,1,-200.0
21,21,29.76351441631318,2.06913808111479e-05,1,1,-200.0
22,22,29.76351441631318,4.281332398719396e-05,1,1,-200.0
23,23,29.76351441631318,8.858667904100833e-05,1,1,-200.0
24,24,29.76351441631318,0.00018329807108324357,1,1,-200.0
25,25,29.76351441631318,0.000379269019073225,1,1,-200.0
26,26,29.76351441631318,0.0007847599703514606,1,1,-200.0
27,27,29.76351441631318,0.001623776739188721,1,1,-200.0
28,28,29.76351441631318,0.003359818286283781,1,1,-200.0
29,29,29.76351441631318,0.0069519279617756054,1,1,-200.0
30,30,29.76351441631318,0.01438449888287663,1,1,-200.0
31,31,29.76351441631318,0.029763514416313162,1,1,-200.0
32,32,29.76351441631318,0.06158482110660261,1,1,-200.0
33,33,29.76351441631318,0.1274274985703132,1,1,-200.0
34,34,29.76351441631318,0.26366508987303555,1,1,-200.0
35,35,29.76351441631318,0.5455594781168515,1,1,-200.0
36,36,29.76351441631318,1.1288378916846884,1,1,-200.0
37,37,29.76351441631318,2.3357214690901213,1,1,-200.0
38,38,29.76351441631318,4.832930238571752,1,1,-200.0
39,39,29.76351441631318,10.0,1,1,-200.0
40,40,88.58667904100822,1e-05,1,1,-200.0
41,41,88.58667904100822,2.06913808111479e-05,1,1,-200.0
42,42,88.58667904100822,4.281332398719396e-05,1,1,-200.0
43,43,88.58667904100822,8.858667904100833e-05,1,1,-200.0
44,44,88.58667904100822,0.00018329807108324357,1,1,-200.0
45,45,88.58667904100822,0.000379269019073225,1,1,-200.0
46,46,88.58667904100822,0.0007847599703514606,1,1,-200.0
47,47,88.58667904100822,0.001623776739188721,1,1,-200.0
48,48,88.58667904100822,0.003359818286283781,1,1,-200.0
49,49,88.58667904100822,0.0069519279617756054,1,1,-200.0
50,50,88.58667904100822,0.01438449888287663,1,1,-200.0
51,51,88.58667904100822,0.029763514416313162,1,1,-200.0
52,52,88.58667904100822,0.06158482110660261,1,1,-200.0
53,53,88.58667904100822,0.1274274985703132,1,1,-200.0
54,54,88.58667904100822,0.26366508987303555,1,1,-200.0
55,55,88.58667904100822,0.5455594781168515,1,1,-200.0
56,56,88.58667904100822,1.1288378916846884,1,1,-200.0
57,57,88.58667904100822,2.3357214690901213,1,1,-200.0
58,58,88.58667904100822,4.832930238571752,1,1,-200.0
59,59,88.58667904100822,10.0,1,1,-200.0
60,60,263.6650898730358,1e-05,1,1,-200.0
61,61,263.6650898730358,2.06913808111479e-05,1,1,-200.0
62,62,263.6650898730358,4.281332398719396e-05,1,1,-200.0
63,63,263.6650898730358,8.858667904100833e-05,1,1,-200.0
64,64,263.6650898730358,0.00018329807108324357,1,1,-200.0
65,65,263.6650898730358,0.000379269019073225,1,1,-200.0
66,66,263.6650898730358,0.0007847599703514606,1,1,-200.0
67,67,263.6650898730358,0.001623776739188721,1,1,-200.0
68,68,263.6650898730358,0.003359818286283781,1,1,-200.0
69,69,263.6650898730358,0.0069519279617756054,1,1,-200.0
70,70,263.6650898730358,0.01438449888287663,1,1,-200.0
71,71,263.6650898730358,0.029763514416313162,1,1,-200.0
72,72,263.6650898730358,0.06158482110660261,1,1,-200.0
73,73,263.6650898730358,0.1274274985703132,1,1,-200.0
74,74,263.6650898730358,0.26366508987303555,1,1,-200.0
75,75,263.6650898730358,0.5455594781168515,1,1,-200.0
76,76,263.6650898730358,1.1288378916846884,1,1,-200.0
77,77,263.6650898730358,2.3357214690901213,1,1,-200.0
78,78,263.6650898730358,4.832930238571752,1,1,-200.0
79,79,263.6650898730358,10.0,1,1,-200.0
80,80,784.7599703514607,1e-05,1,1,-200.0
81,81,784.7599703514607,2.06913808111479e-05,1,1,-200.0
82,82,784.7599703514607,4.281332398719396e-05,1,1,-200.0
83,83,784.7599703514607,8.858667904100833e-05,1,1,-200.0
84,84,784.7599703514607,0.00018329807108324357,1,1,-200.0
85,85,784.7599703514607,0.000379269019073225,1,1,-200.0
86,86,784.7599703514607,0.0007847599703514606,1,1,-200.0
87,87,784.7599703514607,0.001623776739188721,1,1,-200.0
88,88,784.7599703514607,0.003359818286283781,1,1,-200.0
89,89,784.7599703514607,0.0069519279617756054,1,1,-200.0
90,90,784.7599703514607,0.01438449888287663,1,1,-200.0
91,91,784.7599703514607,0.029763514416313162,1,1,-200.0
92,92,784.7599703514607,0.06158482110660261,1,1,-200.0
93,93,784.7599703514607,0.1274274985703132,1,1,-200.0
94,94,784.7599703514607,0.26366508987303555,1,1,-200.0
95,95,784.7599703514607,0.5455594781168515,1,1,-200.0
96,96,784.7599703514607,1.1288378916846884,1,1,-200.0
97,97,784.7599703514607,2.3357214690901213,1,1,-200.0
98,98,784.7599703514607,4.832930238571752,1,1,-200.0
99,99,784.7599703514607,10.0,1,1,-200.0
100,100,2335.7214690901214,1e-05,1,1,-200.0
101,101,2335.7214690901214,2.06913808111479e-05,1,1,-200.0
102,102,2335.7214690901214,4.281332398719396e-05,1,1,-200.0
103,103,2335.7214690901214,8.858667904100833e-05,1,1,-200.0
104,104,2335.7214690901214,0.00018329807108324357,1,1,-200.0
