,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,Hill_coef,IC50,Kmax,Ku,halfmax,n,Vhalf,Kt,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29
1009,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,0.866170517,0.000377406,48320.14429,0.00174101,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,238.39847966038903,241.7517148703522,249.64703574466847,268.31866115661785,311.88780867183834,412.5772730641735,586.5882982094321,934.4951791235048,,,,,,,,991.8352062096563,,,,,238.4867408982838,241.2543632385554,246.89856079683383,258.14940762862653,279.59996325438857,317.5693600129794,383.850483920751,485.9609993124778,683.8397189196556,920.7444849220888,,,,,,,,,,,177.6463352020996,98.98682142975996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,0.88897923,0.000231823,48320.14429,0.002895239,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,238.6046307004989,242.2446059924516,250.8566377978405,271.4000397357416,319.6454462083352,427.2008230346276,598.2771755029128,961.503873734511,,,,,949.5549370682816,,,,,,,,238.96901441662703,242.36591267632548,249.3915931990873,263.5032310552167,290.2972487560338,337.35350548930177,419.1318915558937,538.6208754821768,854.6952018488003,,,,,,,,,,,,165.80167880971115,91.26249500953206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,0.923171727,0.000130972,48320.14429,0.004814681,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,238.94066433773585,243.03669543239164,252.73884324030465,275.8389955594856,328.8932011128455,439.66575424821616,606.7176537445632,,,,,,,,,,,,,,239.28428284535403,243.22938644845817,251.58672095691844,268.6617800001076,301.2191860694526,360.1556805687312,458.2016459878207,590.9956308600644,899.099746190994,,,,,,950.2914450617365,,,,,,64.5840565217011,37.64187497124284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,0.962279162,7.45e-05,48320.14429,0.008006647,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,239.34760468409556,243.9839495955397,254.9180020902084,280.575873236254,337.0829001654536,448.8072126990242,611.9980138436091,964.1385600081884,,,,,,,,,,,,,239.36536289608856,243.6511703809537,253.00289702704825,272.5634289068691,310.30652070373355,380.2293694093044,494.1423819421931,853.9050258837387,992.36935958736,,,,,,,,,,,,62.77863395763107,41.71074489655544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,0.991194686,5.05e-05,48320.14429,0.013314775,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,239.72959531352137,244.86189276200355,256.8758038254299,284.4972609157288,342.7737022614234,454.29165042751305,614.8507014634092,,,,,,,,,,,,,,239.3289669308672,243.75720643221177,253.64192981966107,274.7093361286184,315.8301822430441,393.0195588269247,517.4367965879237,852.5690567818073,,,,,,,,,,,,,44.84470599571269,28.593804285682637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,1.001856802,4.42e-05,48320.14429,0.022142006,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,240.0420599508704,245.5675978165685,258.38098728944385,287.2002519428242,345.96357557949307,457.0116251259986,616.3794196519549,947.1797216140548,,,,,,,,,,,,,239.28142277309792,243.71878952922992,253.71050921884603,275.16950476457095,317.2817527012035,396.7224464064377,524.4008763136314,855.6955763332803,,,,,,,,,,,,,51.7896975888653,36.46804511636383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,1.002491639,4.38e-05,48320.14429,0.036821383,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,240.2749850433952,246.0819285756005,259.4212840981958,288.8651464708549,347.5916626427825,458.2804059632829,622.187035629326,960.4204299700024,,,,,,,,,,,,,239.282614697682,243.72515935312464,253.7342375267247,275.2380202818544,317.4453009144479,397.08382403484376,525.0177076621118,856.0121061336172,,,,,,,,,,,,,56.148665807892726,39.44798847362923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,1.002418976,4.39e-05,48320.14429,0.061232676,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,240.43849315449,246.43569538855144,260.1062627033277,289.87616372612257,348.4801543800673,458.8874703219892,619.8047478064573,,,,,,,,990.0117148948644,,,,,,239.27823811049217,243.71506807456808,253.7103432120815,275.18627072854173,317.3442081816227,396.8936192183193,524.7318812067033,855.8745901312049,,,,,,,,,,,,,44.90781578649857,30.452765535525227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,1.002325813,4.39e-05,48320.14429,0.101827803,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,240.55015369690236,246.6736348131536,260.5519342852587,290.50296361115375,349.0019761186798,459.1917465119641,617.4550317500834,,,,,,,,,,,,,,239.28265930233383,243.72436793605948,253.72966433747905,275.22328991300293,317.4087505082242,397.000216633523,524.8727978888428,855.9369728860274,,,,,,,,,,,,,44.284316528132095,30.383670609675764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,1.002259338,4.4e-05,48320.14429,0.169336084,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,240.62418709837505,246.8291020830245,260.8367146052436,290.890189925291,349.314227772057,459.34961755219337,618.5084110942408,,,,,,,,,,,,,,239.27809562064917,243.7135440941768,253.70461238642628,275.1694869281393,317.3039537421833,396.8039223508608,524.5790390216542,855.802800155253,,,,,,,,,,,,,44.83123053387257,30.828542283762204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
