,qNet,drug concentration
0,0.49164799605221665,0.1
1,0.49163775255176423,0.20691380811147897
2,0.4916181300447017,0.42813323987193935
3,0.49157974681768546,0.8858667904100825
4,0.4915062448994021,1.8329807108324356
5,0.4913654644041662,3.79269019073225
6,0.4910961589350393,7.847599703514611
7,0.49058253405095603,16.23776739188721
8,0.4896149553822069,33.59818286283781
9,0.487824102092043,69.51927961775606
10,0.48461991334243604,143.8449888287663
11,0.4792189021297679,297.6351441631316
12,0.47096084521684345,615.8482110660261
13,0.46003109878431914,1274.2749857031322
14,0.44801458977469943,2636.6508987303555
15,0.43722117345480593,5455.594781168515
16,0.42915454905200423,11288.378916846883
17,0.42392269046359704,23357.21469090121
18,0.4208350157182811,48329.30238571752
19,0.4191149932472641,100000.0
