,qNet,drug concentration
0,0.4916477866890522,0.10134053710514009
1,0.49163379706028937,0.25536889945237506
2,0.4916003488405778,0.643506323485879
3,0.49152253356771014,1.6215773206727757
4,0.49134534535448104,4.086227853571672
5,0.4909413477180363,10.296928460824397
6,0.4900302031341751,25.947369054434034
7,0.4880202097810596,65.38533005098581
8,0.4838027304154832,164.76724200028204
9,0.4758109735670777,415.21282592386785
10,0.46319067288532706,1046.393736067061
11,0.44801036293270363,2637.4468254374983
12,0.4347269241167735,6650.292738146485
13,0.42598422533585095,16785.73161906322
14,0.4212628087879474,42481.99985234997
15,0.41898303630356043,108282.83476241292
16,0.41794080633234343,281361.47725739016
17,0.41747458148587874,772227.116625151
18,0.4172656085586572,2545512.0592520717
19,0.4171659627604791,38982267.67032044
