,qNet,drug concentration
0,0.4916417743943071,0.1
1,0.4916211028661522,0.20691380811147897
2,0.49158103872280423,0.42813323987193935
3,0.4914976323941525,0.8858667904100825
4,0.4913250573011776,1.8329807108324356
5,0.4909712015565227,3.79269019073225
6,0.49025030636452305,7.847599703514611
7,0.4888023589397124,16.23776739188721
8,0.4859850259700305,33.59818286283781
9,0.4808206924350565,69.51927961775606
10,0.4722941329126454,143.8449888287663
11,0.46037714009575825,297.6351441631316
12,0.44706405477682776,615.8482110660261
13,0.43544317787364095,1274.2749857031322
14,0.42729850562380567,2636.6508987303555
15,0.4224369559123414,5455.594781168515
16,0.4198075812609671,11288.378916846883
17,0.41846197109622907,23357.21469090121
18,0.4177938042156322,48329.30238571752
19,0.41746535495164494,100000.0
