,drug concentration,qNet
0,0.1,0.069065579956073
1,0.152830673265877,0.068749782895905
2,0.233572146909012,0.06827327621099
3,0.356969884682606,0.067561134758132
4,0.545559478116852,0.066506544960865
5,0.833782223471789,0.064969420773042
6,1.27427498570313,0.062778582665131
7,1.94748303990876,0.059750536189605
8,2.97635144163132,0.055727692097916
9,4.54877794700378,0.050628916864033
10,6.95192796177561,0.044501403290249
11,10.6246783089404,0.037548869853535
12,16.2377673918872,0.030103462743359
13,24.8162892283682,0.022535136407001
14,37.9269019073225,0.015066686822385
15,57.9639395338497,0.007189665754941
16,88.5866790410082,-0.025138026684929
17,135.387618002254,-0.018684292892216
18,206.913808111479,-0.020551954104315
19,316.227766016838,-0.019374687673254
