,pulse 1,drug concentration
0,264.71807834709585,0.1
1,264.7390649059406,0.20691380811147897
2,264.78467634564913,0.42813323987193935
3,264.8829085746679,0.8858667904100825
4,265.09641145961615,1.8329807108324356
5,265.5546197472381,3.79269019073225
6,266.5392764807308,7.847599703514611
7,268.63681081783426,16.23776739188721
8,273.02752596429394,33.59818286283781
9,281.8913940323817,69.51927961775606
10,298.6005343596288,143.8449888287663
11,326.68435847242495,297.6351441631316
12,366.8552729965967,615.8482110660261
13,414.78988489831966,1274.2749857031322
14,462.9389666292211,2636.6508987303555
15,504.02134715027717,5455.594781168515
16,533.6794674566476,11288.378916846883
17,551.9209826832054,23357.21469090121
18,561.8286685720292,48329.30238571752
19,566.7945650183607,100000.0
