"engine.time","dot(ikr.C1)","dot(ikr.C2)","dot(ikr.Cbound)","dot(ikr.D)","dot(ikr.IC1)","dot(ikr.IC2)","dot(ikr.IO)","dot(ikr.IObound)","dot(ikr.O)","dot(ikr.Obound)","engine.pace","ikr.C1","ikr.C2","ikr.Cbound","ikr.D","ikr.IC1","ikr.IC2","ikr.IKr","ikr.IO","ikr.IObound","ikr.Kb","ikr.Kn","ikr.O","ikr.Obound","membrane.V"
 0.00000000000000000e+00,-1.38521523394696090e-12,-4.24361562870925005e-10,-0.00000000000000000e+00, 0.00000000000000000e+00, 2.52104147803748342e-07,-2.49171190179399860e-07,-1.01771031416086379e-09, 0.00000000000000000e+00,-1.48950053209628532e-09, 0.00000000000000000e+00,-8.78332255522962555e+01, 1.85578252122083127e-08, 8.52211166472696728e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 9.99624322998960424e-01, 7.04438971582828073e-05,-3.16330445506161466e-08, 5.91369113139236677e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, 1.61228762493134138e-04, 0.00000000000000000e+00,-8.78332255522962555e+01
 5.23278260476049903e-02,-1.20382899476240864e-12,-5.99484324347517426e-09,-0.00000000000000000e+00, 0.00000000000000000e+00, 3.37445738094756536e-08,-2.52126185459932220e-08,-1.00504115899363415e-09, 0.00000000000000000e+00,-1.53086703201886075e-09, 0.00000000000000000e+00,-8.78332277582846075e+01, 1.85577622184540886e-08, 8.52208029501650848e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 9.99624324764740613e-01, 7.04425778367384875e-05,-3.16495978168349284e-08, 5.91368587223118635e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, 1.61228682386190382e-04, 0.00000000000000000e+00,-8.78332277582846075e+01
 1.88075450655072196e-01,-8.77397839989986755e-13,-4.46333443207633110e-09,-0.00000000000000000e+00, 0.00000000000000000e+00, 8.62985636222506263e-09,-1.59688448114715317e-09,-9.56916767436903452e-10, 0.00000000000000000e+00,-1.61184328373823745e-09, 0.00000000000000000e+00,-8.78332334810081221e+01, 1.85576431137805877e-08, 8.52201970631185366e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 9.99624325936152136e-01, 7.04423611344337595e-05,-3.16925376763429831e-08, 5.91367288231391057e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, 1.61228463582293235e-04, 0.00000000000000000e+00,-8.78332334810081221e+01
 8.47713384454804819e-01,-3.64821917816753822e-13,-1.62165451516428058e-09,-0.00000000000000000e+00, 0.00000000000000000e+00, 4.75811393608588349e-09,-5.35622775462134965e-10,-8.46620628623998527e-10, 0.00000000000000000e+00,-1.75385119493120519e-09, 0.00000000000000000e+00,-8.78332612482614792e+01, 1.85574024631860452e-08, 8.52191273583072212e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 9.99624329074343732e-01, 7.04420082581414724e-05,-3.19008658659392410e-08, 5.91361703601027923e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, 1.61227306675473515e-04, 0.00000000000000000e+00,-8.78332612482614792e+01
 4.71452876586865788e+00,-1.43606679187596328e-13,-6.57789400148176043e-10,-0.00000000000000000e+00, 0.00000000000000000e+00, 3.70024111305076185e-09,-4.96897902219160109e-10,-7.45936598066702060e-10, 0.00000000000000000e+00,-1.79947360592398352e-09, 0.00000000000000000e+00,-8.78334221282806027e+01, 1.85568471437238023e-08, 8.52165838086535254e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 9.99624343379271640e-01, 7.04400900665626164e-05,-3.31077822082671353e-08, 5.91332859686796559e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, 1.61220348435587001e-04, 0.00000000000000000e+00,-8.78334221282806027e+01
 2.19836956431947428e+01,-1.19918645117707178e-13,-5.67044238556647178e-10,-0.00000000000000000e+00, 0.00000000000000000e+00, 3.34527599621426877e-09,-4.79561760040238955e-10,-6.64403806440155148e-10, 0.00000000000000000e+00,-1.63414627251855726e-09, 0.00000000000000000e+00,-8.78341007713958390e+01, 1.85547760667269439e-08, 8.52067913608573884e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 9.99624400934629231e-01, 7.04320232199419800e-05,-3.81980594954771945e-08, 5.91218129346594948e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, 1.61192127477321909e-04, 0.00000000000000000e+00,-8.78341007713958390e+01
 2.87932533541048201e+01,-1.12152204824461593e-13,-5.30828426104948928e-10,-0.00000000000000000e+00, 0.00000000000000000e+00, 3.16651761853491681e-09,-4.36988920743397458e-10,-6.34376492214040223e-10, 0.00000000000000000e+00,-1.56421162724060069e-09, 0.00000000000000000e+00,-8.78343511073993142e+01, 1.85540123597951304e-08, 8.52031766540103800e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 9.99624422497215170e-01, 7.04290475172342602e-05,-4.00752363975596409e-08, 5.91174931113288931e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, 1.61181475887967420e-04, 0.00000000000000000e+00,-8.78343511073993142e+01
 3.56028110650148975e+01,-1.07863558632214066e-13,-5.10603597524329268e-10,-0.00000000000000000e+00, 0.00000000000000000e+00, 3.03670404033896566e-09,-4.21555437963867102e-10,-6.07323862505731657e-10, 0.00000000000000000e+00,-1.49711327877285289e-09, 0.00000000000000000e+00,-8.78345921984215465e+01, 1.85532778552178594e-08, 8.51996996679658665e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 9.99624443170667121e-01, 7.04261820710917166e-05,-4.18828702774194932e-08, 5.91133575142177692e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, 1.61171281199801473e-04, 0.00000000000000000e+00,-8.78345921984215465e+01
 4.24123687759249748e+01, 1.14626769037537344e-07, 7.99656074905045308e-09,-0.00000000000000000e+00, 0.00000000000000000e+00, 2.59067732564004037e-06,-2.71221288475776562e-06,-8.93271346331220815e-09, 0.00000000000000000e+00, 7.84494279442280758e-09, 0.00000000000000000e+00,-8.78348243295153281e+01,-1.29275167658722218e-08, 8.52107000099223749e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 9.99624455309983784e-01, 7.04393514411081294e-05,-4.36235015792638996e-08, 5.91168927870568698e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, 1.61162916854946280e-04, 0.00000000000000000e+00,-8.78348243295153281e+01
 4.92219264868350521e+01, 4.44361034756697627e-09,-2.51778123851385144e-09,-0.00000000000000000e+00, 0.00000000000000000e+00, 2.90598183135877156e-09,-2.72562532580792466e-09,-1.29187436665118352e-09, 0.00000000000000000e+00,-8.14311247925683147e-10, 0.00000000000000000e+00,-8.78350477987722229e+01, 1.73315043406821703e-08, 8.51935550332757915e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 9.99624475098434773e-01, 7.04207911381360207e-05,-4.52997160623834579e-08, 5.91080956940018395e-05, 0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, 1.61157371755508934e-04, 0.00000000000000000e+00,-8.78350477987722229e+01
