"engine.time","dot(ikr.y1)","dot(ikr.y2)","dot(ikr.y3)","engine.pace","ikr.IKr","ikr.k12","ikr.k14","ikr.k21","ikr.k41","ikr.y1","ikr.y2","ikr.y3","ikr.y4","membrane.V"
 3.42974195071533714e+01, 1.27089530689572516e-06,-1.42087657319502834e-06,-1.40720574138966995e-05,-8.78345466809715276e+01,-9.68088280450273009e-04, 3.79793959585986406e-06, 4.30281912385736820e-01, 7.81501512107621830e-03, 4.34336174398270575e-02, 9.14612320007281154e-02, 2.26214761017194546e-04, 2.24102335214130307e-03, 9.06071529886113503e-01,-8.78345466809715276e+01
 4.26317329503645510e+01, 1.18805925857640160e-06,-1.33121898853475934e-06,-1.31844223438778486e-05,-8.78348316620758567e+01,-9.19117653367734809e-04, 3.79786198612949233e-06, 4.30284988459324114e-01, 7.81515268369797032e-03, 4.34332984245966933e-02, 9.14714783338090032e-02, 2.14746975389407027e-04, 2.12744756997074701e-03, 9.06186327120830915e-01,-8.78348316620758567e+01
 4.34651642946856711e+01, 1.18006051354896391e-06,-1.32256165377754106e-06,-1.30988335110776924e-05,-8.78348594391234485e+01,-9.14394771789028642e-04, 3.79785442161041496e-06, 4.30285288284738165e-01, 7.81516609202695389e-03, 4.34332673303754052e-02, 9.14724651939984035e-02, 2.13641074560709748e-04, 2.11649495257124542e-03, 9.06197398778869623e-01,-8.78348594391234485e+01
 4.42985956390067912e+01, 1.17212677422373623e-06,-1.31397046248390298e-06,-1.30137906733679166e-05,-8.78348870869676972e+01,-9.09702493029610816e-04, 3.79784689229222270e-06, 4.30285586715739021e-01, 7.81517943801070085e-03, 4.34332363808092106e-02, 9.14734453952583682e-02, 2.12542382443571331e-04, 2.10561347959496584e-03, 9.06208398742703092e-01,-8.78348870869676972e+01
 4.48808019628528214e+01, 1.16662200459055621e-06,-1.30800636230816669e-06,-1.29547060108371525e-05,-8.78349063239993342e+01,-9.06442665150987382e-04, 3.79784165349358694e-06, 4.30285794360498963e-01, 7.81518872399629243e-03, 4.34332148464928458e-02, 9.14741262103885427e-02, 2.11779118929436577e-04, 2.09805398731762772e-03, 9.06216040683364366e-01,-8.78349063239993342e+01
 4.54630082866988516e+01, 1.16114343835099776e-06,-1.30206915507852992e-06,-1.28958896242278452e-05,-8.78349254983264842e+01,-9.03197598733408128e-04, 3.79783643177838092e-06, 4.30286001328525625e-01, 7.81519797972452489e-03, 4.34331933823797825e-02, 9.14748038270632030e-02, 2.11019320977874169e-04, 2.09052881054820399e-03, 9.06223648041410756e-01,-8.78349254983264842e+01
 4.60452146105448819e+01, 1.15569009949412216e-06,-1.29615800645665463e-06,-1.28373410303679798e-05,-8.78349446101082947e+01,-8.99967228764780771e-04, 3.79783122710319844e-06, 4.30286207621535743e-01, 7.81520720527211984e-03, 4.34331719882917328e-02, 9.14754782618783235e-02, 2.10262971617241674e-04, 2.08303779749905143e-03, 9.06231220969005435e-01,-8.78349446101082947e+01
 4.66274209343909121e+01, 1.15026175222937566e-06,-1.29027277832026601e-06,-1.27790590471783279e-05,-8.78349636595038845e+01,-8.96751489469323464e-04, 3.79782603942463201e-06, 4.30286413241245946e-01, 7.81521640071576769e-03, 4.34331506640504711e-02, 9.14761495299220156e-02, 2.09510055290988630e-04, 2.07558079462525540e-03, 9.06238759620161760e-01,-8.78349636595038845e+01
 4.72096272582369423e+01, 1.14485851216566958e-06,-1.28441365342038162e-06,-1.27210421693837100e-05,-8.78349826466724295e+01,-8.93550314662873240e-04, 3.79782086869926612e-06, 4.30286618189373582e-01, 7.81522556613221606e-03, 4.34331294094777234e-02, 9.14768176455778709e-02, 2.08760557082434734e-04, 2.06815764744694604e-03, 9.06246264149892733e-01,-8.78349826466724295e+01
 4.77918335820829725e+01, 1.13948091650523109e-06,-1.27858094114029738e-06,-1.26632887670518121e-05,-8.78350015716237635e+01,-8.90363638105957532e-04, 3.79781571492435680e-06, 4.30286822466023733e-01, 7.81523470152608625e-03, 4.34331082245623737e-02, 9.14774826229494825e-02, 2.08014462364777749e-04, 2.06076820147507158e-03, 9.06253734713210690e-01,-8.78350015716237635e+01
 4.83740399059290027e+01, 1.13412699949411167e-06,-1.27277474435593721e-06,-1.26057974235856108e-05,-8.78350204356314919e+01,-8.87191394398684240e-04, 3.79781057775299325e-06, 4.30287026084942681e-01, 7.81524380751207927e-03, 4.34330871078786179e-02, 9.14781444760174312e-02, 2.07271756129287331e-04, 2.05341230325711485e-03, 9.06261171464596171e-01,-8.78350204356314919e+01
 4.89562462297750329e+01, 1.12879738962956555e-06,-1.26699491163195346e-06,-1.25485669809594313e-05,-8.78350392386239918e+01,-8.84033518242498500e-04, 3.79780545720461825e-06, 4.30287229045356601e-01, 7.81525288405551452e-03, 4.34330660595065518e-02, 9.14788032188910000e-02, 2.06532422922979102e-04, 2.04608980056764133e-03, 9.06268574557618334e-01,-8.78350392386239918e+01
 4.95384525536210631e+01, 1.12349281776447096e-06,-1.26124121947915024e-06,-1.24915963591863981e-05,-8.78350579803823450e+01,-8.80889944665278987e-04, 3.79780035333877738e-06, 4.30287431344901439e-01, 7.81526193105061724e-03, 4.34330450796911322e-02, 9.14794588660119284e-02, 2.05796447216229143e-04, 2.03880054205028086e-03, 9.06275944144721568e-01,-8.78350579803823450e+01
 4.95966731860056669e+01, 1.12296336400585783e-06,-1.26066726845976473e-06,-1.24859135568088553e-05,-8.78350598513775793e+01,-8.80576371521125598e-04, 3.79779984381873002e-06, 4.30287451540529442e-01, 7.81526283421536336e-03, 4.34330429852705507e-02, 9.14795242610339926e-02, 2.05723033685979619e-04, 2.03807343882959121e-03, 9.06276679266450502e-01,-8.78350598513775793e+01
 4.96548938183902706e+01, 1.12243490493768583e-06,-1.26009356739266592e-06,-1.24802333493114880e-05,-8.78350617213834965e+01,-8.80262940581430812e-04, 3.79779933456816535e-06, 4.30287471725479875e-01, 7.81526373690265459e-03, 4.34330408919575348e-02, 9.14795896252849489e-02, 2.05649653545558053e-04, 2.03734666640823176e-03, 9.06277414054761365e-01,-8.78350617213834965e+01
 4.97131144507748743e+01, 1.12190606389034331e-06,-1.25952012599391759e-06,-1.24745557266252565e-05,-8.78350635910932169e+01,-8.79949651991068543e-04, 3.79779882539833393e-06, 4.30287491907233921e-01, 7.81526463944707400e-03, 4.34330387989761910e-02, 9.14796549587571922e-02, 2.05576306793546146e-04, 2.03662022462217703e-03, 9.06278148509827131e-01,-8.78350635910932169e+01
 4.97713350831594781e+01, 1.12137787502269992e-06,-1.25894694436789136e-06,-1.24688806866539914e-05,-8.78350654599904317e+01,-8.79636505522930637e-04, 3.79779831644983729e-06, 4.30287512080218759e-01, 7.81526554159938346e-03, 4.34330367069044807e-02, 9.14797202614643784e-02, 2.05502993420174720e-04, 2.03589411331567792e-03, 9.06278882631799787e-01,-8.78350654599904317e+01
 4.98295557155440818e+01, 1.12084977819948417e-06,-1.25837402415078870e-06,-1.24632082268488824e-05,-8.78350673283555068e+01,-8.79323501199176668e-04, 3.79779780764632221e-06, 4.30287532247460469e-01, 7.81526644349491914e-03, 4.34330346154285438e-02, 9.14797855334192056e-02, 2.05429713411208663e-04, 2.03516833233748215e-03, 9.06279616420832101e-01,-8.78350673283555068e+01
 4.98877763479286855e+01, 1.12032174466591972e-06,-1.25780136511017805e-06,-1.24575383461723074e-05,-8.78350691962045005e+01,-8.79010638960501644e-04, 3.79779729898341587e-06, 4.30287552409132634e-01, 7.81526734514143874e-03, 4.34330325245304225e-02, 9.14798507746293621e-02, 2.05356466751077150e-04, 2.03444288153774473e-03, 9.06280349877081726e-01,-8.78350691962045005e+01
 4.99459969803132893e+01, 1.11979439372522638e-06,-1.25722896549734296e-06,-1.24518710446604652e-05,-8.78350710632258114e+01,-8.78697918646079786e-04, 3.79779679054597953e-06, 4.30287572561871667e-01, 7.81526824638852785e-03, 4.34330304345589280e-02, 9.14799159851192728e-02, 2.05283253424210985e-04, 2.03371776076671567e-03, 9.06281083000689880e-01,-8.78350710632258114e+01
 4.99645156024089232e+01, 1.11962659141845444e-06,-1.25704695337778258e-06,-1.24500689486923004e-05,-8.78350716570116674e+01,-8.78598479397267617e-04, 3.79779662884298744e-06, 4.30287578971231877e-01, 7.81526853302040060e-03, 4.34330297698662035e-02, 9.14799367206145936e-02, 2.05259972961460864e-04, 2.03348718595902384e-03, 9.06281316120464919e-01,-8.78350716570116674e+01
 4.99830342245045571e+01, 1.11945869159940647e-06,-1.25686496786164369e-06,-1.24482671132500572e-05,-8.78350722507975377e+01,-8.78499054524705205e-04, 3.79779646713999832e-06, 4.30287585380591975e-01, 7.81526881965228723e-03, 4.34330291051734790e-02, 9.14799574530016368e-02, 2.05236695869076308e-04, 2.03325664452125516e-03, 9.06281549206608084e-01,-8.78350722507975377e+01
 4.99867379489236825e+01, 1.11942510001156181e-06,-1.25682857395039148e-06,-1.24479067774214990e-05,-8.78350723695547089e+01,-8.78479171275158705e-04, 3.79779643479940287e-06, 4.30287586662464083e-01, 7.81526887697866525e-03, 4.34330289722349369e-02, 9.14799615991059162e-02, 2.05232040855000118e-04, 2.03321054023766767e-03, 9.06281595819801500e-01,-8.78350723695547089e+01
 4.99904416733428079e+01, 1.11939150457263104e-06,-1.25679218110303742e-06,-1.24475464520122186e-05,-8.78350724883118801e+01,-8.78459288600562339e-04, 3.79779640245880742e-06, 4.30287587944336136e-01, 7.81526893430504500e-03, 4.34330288392963879e-02, 9.14799657450857812e-02, 2.05227385975715004e-04, 2.03316443728864546e-03, 9.06281642431649881e-01,-8.78350724883118801e+01
 4.99984269487126198e+01, 1.11931905935613862e-06,-1.25671372129605758e-06,-1.24467696214483945e-05,-8.78350727443538091e+01,-8.78416423265776188e-04, 3.79779633273208350e-06, 4.30287590708068102e-01, 7.81526905790142119e-03, 4.34330285526792689e-02, 9.14799746834459582e-02, 2.05217350457331148e-04, 2.03306504330418285e-03, 9.06281742922792621e-01,-8.78350727443538091e+01
 5.00021575712570012e+01, 3.42004025874254047e-04,-4.70881528909377672e-07,-1.30024262192461712e-05,-8.76646325670399449e+01,-8.25588074321615415e-04, 3.84449631696300867e-06, 4.28451776588097855e-01, 7.73342584933304957e-03, 4.36242414901351142e-02, 9.14806725203115151e-02, 2.05214261204491959e-04, 2.03301747834624524e-03, 9.06281095740137710e-01,-8.76646325670399449e+01
 5.00058881938013826e+01, 9.31008337300129329e-04, 8.86580614771865648e-07,-1.39653623216353604e-05,-8.73699270484805908e+01,-7.34260766471380865e-04, 3.92660348850260031e-06, 4.25295959142891922e-01, 7.59392905449608486e-03, 4.39568531729040007e-02, 9.14830117868964676e-02, 2.05214955225516257e-04, 2.03296723207296642e-03, 9.06278806025805128e-01,-8.73699270484805908e+01
 5.00096188163457640e+01, 1.51921193785580638e-03, 2.24180607705341241e-06,-1.49299681715594899e-05,-8.70752215299212509e+01,-6.42936877395802265e-04, 4.01046422853657951e-06, 4.22163386282705000e-01, 7.45694852556105098e-03, 4.42920008431820014e-02, 9.14874649533293921e-02, 2.05220520375360847e-04, 2.03291352457716113e-03, 9.06274401001718077e-01,-8.70752215299212509e+01
 5.00133494388901454e+01, 2.10660602617795262e-03, 3.59479157048118501e-06,-1.58961011307174731e-05,-8.67805160113618967e+01,-5.51616813889022257e-04, 4.09611598814756883e-06, 4.19053886796514341e-01, 7.32243887371384142e-03, 4.46297038365276247e-02, 9.14941600538349137e-02, 2.05231250329265130e-04, 2.03285613633192013e-03, 9.06267752559503870e-01,-8.67805160113618967e+01
 5.00170800614345268e+01, 2.69324458728249089e-03, 4.94567623733103998e-06,-1.68637613653152806e-05,-8.64858104928025568e+01,-4.60301071553734491e-04, 4.18359701826351284e-06, 4.15967290734374162e-01, 7.19035552887117152e-03, 4.49699816359227234e-02, 9.15030913058175466e-02, 2.05247130401569732e-04, 2.03279506583948057e-03, 9.06258866497941296e-01,-8.64858104928025568e+01
 5.00276384534941130e+01, 4.35002154578353895e-03, 8.75899361420365238e-06,-1.96109419046346751e-05,-8.56517361874940235e+01,-2.01887429170564416e-04, 4.44144456764965049e-06, 4.07354291351356312e-01, 6.82930584733253479e-03, 4.59471620449213997e-02, 9.15402093791572585e-02, 2.05319327910338643e-04, 2.03260259176723341e-03, 9.06221868701165167e-01,-8.56517361874940235e+01
 5.00381968455536992e+01, 6.00247213960558579e-03, 1.25598935594726332e-05,-2.23705776968470424e-05,-8.48176618821854902e+01, 5.64764713416756635e-05, 4.71518402976882445e-06, 3.98919632333132324e-01, 6.48638557149793134e-03, 4.69455762084601963e-02, 9.15948329223673779e-02, 2.05431801532778848e-04, 2.03238096924778172e-03, 9.06167354306852135e-01,-8.48176618821854902e+01
 5.00487552376132854e+01, 7.65173725945619831e-03, 1.63513201922868079e-05,-2.51425796447728921e-05,-8.39835875768769569e+01, 3.14779502191512444e-04, 5.00579487055319449e-06, 3.90659620972400257e-01, 6.16068436861265563e-03, 4.79656855278604091e-02, 9.16669007397397650e-02, 2.05584388265440715e-04, 2.03213011849868921e-03, 9.06095384753496158e-01,-8.39835875768769569e+01
 5.00593136296728716e+01, 9.29892705140268616e-03, 2.01361407924867915e-05,-2.79268258614005370e-05,-8.31495132715684377e+01, 5.73010485738240745e-04, 5.31431692333866047e-06, 3.82570641022883462e-01, 5.85133761650611338e-03, 4.90079614305166389e-02, 9.17563777922617840e-02, 2.05776987195539361e-04, 2.03184992681820905e-03, 9.06005995293724387e-01,-8.31495132715684377e+01
 5.00757046774342953e+01, 1.18544857903602266e-02, 2.60052499561527294e-05,-3.22730485296462922e-05,-8.18546805264180080e+01, 9.73723995553125088e-04, 5.83137006211057148e-06, 3.70343720461708548e-01, 5.40159033475559082e-03, 5.06710603734675871e-02, 9.19297296677856896e-02, 2.06155101393935966e-04, 2.03135646993856701e-03, 9.05832758760881762e-01,-8.18546805264180080e+01
 5.00920957251957191e+01, 1.44116084953458054e-02, 3.18754281209014236e-05,-3.66477172596704163e-05,-8.05598477812675782e+01, 1.37419437837345369e-03, 6.39872956239054542e-06, 3.58507571095128263e-01, 4.98641166461130745e-03, 5.23905970463976745e-02, 9.21449945376567187e-02, 2.06629453669569715e-04, 2.03079152153818688e-03, 9.05617584487135585e-01,-8.05598477812675782e+01
 5.01573219380988178e+01, 2.45931681718878532e-02, 5.52466029150164412e-05,-5.41699449497010229e-05,-7.54470365351200059e+01, 2.95225707746562442e-03, 9.23240473793761511e-06, 3.15352604429859851e-01, 3.63612201122476839e-03, 5.97698543368840249e-02, 9.34171269253453590e-02, 2.09470846344262914e-04, 2.02782787470981787e-03, 9.04345574353600634e-01,-7.54470365351200059e+01
 5.01712539382826321e+01, 2.67977349599186308e-02, 6.03114929263479248e-05,-5.79553141528611515e-05,-7.43561378965548130e+01, 3.28812225951585204e-03, 9.98359960251486013e-06, 3.06839696280947871e-01, 3.39918974127721013e-03, 6.14741980574924352e-02, 9.37751862342110221e-02, 2.10275994479681684e-04, 2.02704668359213799e-03, 9.03987491087717254e-01,-7.43561378965548130e+01
 5.01851859384664465e+01, 2.90183077105714594e-02, 6.54164364766300789e-05,-6.17543405283224101e-05,-7.32652392579896201e+01, 3.62363329911092984e-03, 1.07959154578398754e-05, 2.98556593131689474e-01, 3.17769614483103978e-03, 6.32271413196289767e-02, 9.41640615148939403e-02, 2.11151965509822834e-04, 2.02621271178715688e-03, 9.03598573807809058e-01,-7.32652392579896201e+01
 5.01991179386502608e+01, 3.12569145267313636e-02, 7.05669560734631168e-05,-6.55653250031381577e-05,-7.21743406194244272e+01, 3.95876346232664454e-03, 1.16743254150002801e-05, 2.90497091421921760e-01, 2.97063522705264720e-03, 6.50300699443626534e-02, 9.45840009552319783e-02, 2.12099382191984674e-04, 2.02532575000267554e-03, 9.03178573912573279e-01,-7.21743406194244272e+01
 5.02164704059358087e+01, 3.40851094187326481e-02, 7.70810493407071955e-05,-7.03458340576555875e-05,-7.08103554025268807e+01, 4.37722056403688168e-03, 1.28738506165097479e-05, 2.80725425060464606e-01, 2.73061717840017730e-03, 6.73568262001337376e-02, 9.51509640131950191e-02, 2.13380511250689455e-04, 2.02414651855641753e-03, 9.02611508956997932e-01,-7.08103554025268807e+01
 5.02338228732213565e+01, 3.69491852983433039e-02, 8.36874141027513436e-05,-7.51386791428516816e-05,-6.94460885781997348e+01, 4.79507749968992227e-03, 1.41969125019263024e-05, 2.71280539077739635e-01, 2.50994818051655886e-03, 6.97673394590638957e-02, 9.57672518544679663e-02, 2.14775323236181503e-04, 2.02288429373627095e-03, 9.01995088528559474e-01,-6.94460885781997348e+01
 5.02511753405069044e+01, 3.98523216987477918e-02, 9.03954790749194421e-05,-7.99374790186770502e-05,-6.80818217538726032e+01, 5.21219502244983212e-03, 1.56559471281168526e-05, 2.62153422214813803e-01, 2.30711207660729651e-03, 7.22641182756112443e-02, 9.64335523652196658e-02, 2.16285590017471790e-04, 2.02153885855370277e-03, 9.01328623186209099e-01,-6.80818217538726032e+01
 5.02685278077924522e+01, 4.27982830261749089e-02, 9.72162330187162734e-05,-8.47360476851287235e-05,-6.67175549295454573e+01, 5.62852103455182586e-03, 1.72649285853619841e-05, 2.53333383266554024e-01, 2.12066773941595220e-03, 7.48502498538819727e-02, 9.71505944412272837e-02, 2.17913216684091215e-04, 2.02011014269865962e-03, 9.00611382199389965e-01,-6.67175549295454573e+01
 5.02959054998497095e+01, 4.75423635855068694e-02, 1.08233911726598548e-04,-9.22886653746673183e-05,-6.45650957785941557e+01, 6.28364070640994882e-03, 2.01463228846173957e-05, 2.40017160640380312e-01, 1.85666493711752101e-03, 7.91199884592265895e-02, 9.83870085940895117e-02, 2.20724948617256872e-04, 2.01768688437727614e-03, 8.99374579572915889e-01,-6.45650957785941557e+01
 5.03232831919069667e+01, 5.24504827014365543e-02, 1.19683137112015263e-04,-9.98408306999133905e-05,-6.23991451151882259e+01, 6.94060182308995927e-03, 2.35313552886871107e-05, 2.27323942875208268e-01, 1.62417393329671511e-03, 8.36623750990408560e-02, 9.97555037506318021e-02, 2.23844096648245701e-04, 2.01505681733277469e-03, 8.98005595335387152e-01,-6.23991451151882259e+01
 5.03506608839642240e+01, 5.75115091725780098e-02, 1.31552503997438188e-04,-1.07305652060189836e-04,-6.02308218819046814e+01, 7.59577824380887508e-03, 2.74898251615299901e-05, 2.15289187318118247e-01, 1.42058718579607867e-03, 8.84709561147023066e-02, 1.01260339301354377e-01, 2.27282115129284128e-04, 2.01222117077473660e-03, 8.96500157412741694e-01,-6.02308218819046814e+01
 5.03780385760214813e+01, 6.27341954540435176e-02, 1.43879195192666415e-04,-1.14620480403983721e-04,-5.80624986486211370e+01, 8.24824898395285291e-03, 3.21141930900508907e-05, 2.03891563686011718e-01, 1.24251960401297080e-03, 9.35559152675706635e-02, 1.02905948636237282e-01, 2.31051301563049049e-04, 2.00918295854999804e-03, 8.94853817103649640e-01,-5.80624986486211370e+01
 5.04054162680787385e+01, 6.81470023092480143e-02, 1.56750096432251631e-04,-1.21739003478963910e-04,-5.58891407403501432e+01, 8.89937339990456815e-03, 3.75300237006425175e-05, 1.93072955258244555e-01, 1.08643451087073314e-03, 9.89459761178731884e-02, 1.04697153794758940e-01, 2.35165379870239230e-04, 2.00594692383371893e-03, 8.93061733901537091e-01,-5.58891407403501432e+01
 5.04327939601359958e+01, 7.38102456184382694e-02, 1.70332860643036501e-04,-1.28635170679729780e-04,-5.36953686593708710e+01, 9.55366901987657856e-03, 4.39234447539343234e-05, 1.82734785570140418e-01, 9.48759748698496945e-04, 1.04701649336261679e-01, 1.06639887956618176e-01, 2.39641311075664324e-04, 2.00251893230134941e-03, 8.91117951800004859e-01,-5.36953686593708710e+01
 5.04601716521932531e+01, 7.96839383753190911e-02, 1.84564658624375433e-04,-1.35132698595416534e-04,-5.15015965783915988e+01, 1.02047360489349592e-02, 5.14060160057637196e-05, 1.72950177370526897e-01, 8.28531358074225625e-04, 1.10792129239031228e-01, 1.08740399941687119e-01, 2.44497568292007894e-04, 1.99890751365348982e-03, 8.89016194976367302e-01,-5.15015965783915988e+01
 5.04875493442505103e+01, 8.57830081632531272e-02, 1.99517928719043856e-04,-1.41113964370452989e-04,-4.93078244974123265e+01, 1.08524566113842626e-02, 6.01632794601824255e-05, 1.63689489985011427e-01, 7.23538506196124320e-04, 1.17236891482921407e-01, 1.11004893502629473e-01, 2.49753453754256519e-04, 1.99512481983324646e-03, 8.86750228223783132e-01,-4.93078244974123265e+01
 5.04974709289050168e+01, 8.80518491480004883e-02, 2.05130485690961200e-04,-1.43127655862014303e-04,-4.85128087828441252e+01, 1.10863454461191634e-02, 6.36926848298514367e-05, 1.60457283928947453e-01, 6.88867320317181975e-04, 1.19663881254233329e-01, 1.11867227477277870e-01, 2.51760746992256803e-04, 1.99371468267049582e-03, 8.85887297093059356e-01,-4.85128087828441252e+01
 5.05026039480812017e+01, 8.85947739126222711e-02, 2.06520229372651591e-04,-1.43532921950999953e-04,-4.83026835031447774e+01, 1.11460753251730639e-02, 6.46596265083189707e-05, 1.59613716808367306e-01, 6.79984530327853911e-04, 1.20313694942734375e-01, 1.12320655143045400e-01, 2.52817399753649794e-04, 1.99297889276361115e-03, 8.85433548564437345e-01,-4.83026835031447774e+01
 5.05077369672573866e+01, 8.85144379393304342e-02, 2.06404846668879440e-04,-1.43348226435266381e-04,-4.82879562679264467e+01, 1.11464272367755510e-02, 6.47279453105393247e-05, 1.59554759557283016e-01, 6.79366267012743554e-04, 1.20359371110425592e-01, 1.12775529492146365e-01, 2.53877951327691870e-04, 1.99224229695090351e-03, 8.84978350259574942e-01,-4.82879562679264467e+01
 5.05112057270429986e+01, 8.84602632280858392e-02, 2.06327121620859696e-04,-1.43223621363482010e-04,-4.82780039884735217e+01, 1.11466668774105257e-02, 6.47741542340491436e-05, 1.59514930123981741e-01, 6.78948779203392637e-04, 1.20390247685277049e-01, 1.13082563893741078e-01, 2.54594010456066536e-04, 1.99174518598340365e-03, 8.84671096909819488e-01,-4.82780039884735217e+01
 5.05146744868286106e+01, 8.84061946380025609e-02, 2.06249617538946666e-04,-1.43099204714020983e-04,-4.82680517090206038e+01, 1.11469082290893192e-02, 6.48203961458547869e-05, 1.59475110633246653e-01, 6.78531547950894523e-04, 1.20421132181097720e-01, 1.13389259728877895e-01, 2.55309436185782051e-04, 1.99124865004927888e-03, 8.84364182184886993e-01,-4.82680517090206038e+01
 5.05181432466142226e+01, 8.83521932772363405e-02, 2.06172273705867260e-04,-1.42974915895520860e-04,-4.82580994295676788e+01, 1.11471505473546596e-02, 6.48666710695065081e-05, 1.59435301082595793e-01, 6.78114573097587351e-04, 1.20452024599919646e-01, 1.13695755751304528e-01, 2.56024563161635097e-04, 1.99075255572976574e-03, 8.84057467129804042e-01,-4.82580994295676788e+01
 5.05216120063998346e+01, 8.82982424810860311e-02, 2.06095064239432050e-04,-1.42850729067103051e-04,-4.82481471501147539e+01, 1.11473935212277036e-02, 6.49129790285712439e-05, 1.59395501469547840e-01, 6.77697854485908029e-04, 1.20482924943775382e-01, 1.14002111382027121e-01, 2.56739534992389117e-04, 1.99025684714390465e-03, 8.83750892235836583e-01,-4.82481471501147539e+01
 5.05250807661854466e+01, 8.82443464999011079e-02, 2.06017995835504461e-04,-1.42726650884746520e-04,-4.82381948706618360e+01, 1.11476372373083294e-02, 6.49593200466327904e-05, 1.59355711791622112e-01, 6.77281391958389528e-04, 1.20513833214697941e-01, 1.14308311382080835e-01, 2.57454315066612508e-04, 1.98976153943578081e-03, 8.83444472763416755e-01,-4.82381948706618360e+01
