"engine.time","dot(ikr.y1)","dot(ikr.y2)","dot(ikr.y3)","engine.pace","ikr.IKr","ikr.k12","ikr.k14","ikr.k21","ikr.k41","ikr.y1","ikr.y2","ikr.y3","ikr.y4","membrane.V"
 0.00000000000000000e+00, 1.58881043001157796e-06,-1.85807103350814068e-06,-1.83973268620038466e-05,-8.78332255522962555e+01,-1.20663262611786135e-03, 3.79829940338095918e-06, 4.30267652467816508e-01, 7.81437743349881579e-03, 4.34350963760987210e-02, 9.14111874643641353e-02, 2.82106996576690812e-04, 2.79453109914489829e-03, 9.05512174439914275e-01,-8.78332255522962555e+01
 7.67283424099225564e-01, 1.60189406053778960e-06,-1.84693135808401835e-06,-1.82877400627831464e-05,-8.78332578665201567e+01,-1.20058758398964064e-03, 3.79829060224123596e-06, 4.30268001253472532e-01, 7.81439303043449801e-03, 4.34350602013699114e-02, 9.14124165711239361e-02, 2.80689876760183859e-04, 2.78049921933048961e-03, 9.05526394332785367e-01,-8.78332578665201567e+01
 1.53456684819845113e+00, 1.60879604653441088e-06,-1.83587441887125028e-06,-1.81787897149486685e-05,-8.78332900497046580e+01,-1.19457844452039918e-03, 3.79828183681182844e-06, 4.30268348625027164e-01, 7.81440856415302823e-03, 4.34350241733654080e-02, 9.14136509736498404e-02, 2.79281240754552292e-04, 2.76655093530843096e-03, 9.05540516850287136e-01,-8.78332900497046580e+01
 3.48764473829894150e+00, 1.60991664938103796e-06,-1.80805618805946827e-06,-1.79042112291905210e-05,-8.78333714349817569e+01,-1.17943604651510889e-03, 3.79825967076432076e-06, 4.30269227064216775e-01, 7.81444784617066346e-03, 4.34349330653882593e-02, 9.14167945367097695e-02, 2.75731855803065058e-04, 2.73140385849075058e-03, 9.05576069748996293e-01,-8.78333714349817569e+01
 5.44072262839943210e+00, 1.59777620754170124e-06,-1.78064590437428588e-06,-1.76332834555313709e-05,-8.78334519738533572e+01,-1.16449621839377518e-03, 3.79823773537067612e-06, 4.30270096369419097e-01, 7.81448671985037792e-03, 4.34348429051206603e-02, 9.14199227785469637e-02, 2.72230234120601419e-04, 2.69672871547032645e-03, 9.05611118271862137e-01,-8.78334519738533572e+01
 7.39380051849992270e+00, 1.57812083426828176e-06,-1.75365538008640177e-06,-1.73662787359109760e-05,-8.78335316596890721e+01,-1.14977325226565345e-03, 3.79821603243272418e-06, 4.30270956469013033e-01, 7.81452518198575904e-03, 4.34347536999791575e-02, 9.14230203210229658e-02, 2.68779676553110379e-04, 2.66255853775501867e-03, 9.05645641464668860e-01,-8.78335316596890721e+01
 1.03752087147577328e+01, 1.54328817903587323e-06,-1.71324602598896936e-06,-1.69663631485213721e-05,-8.78336516840326027e+01,-1.12772115372080403e-03, 3.79818334328281767e-06, 4.30272251970864827e-01, 7.81458311475363016e-03, 4.34346193378193357e-02, 9.14276680325004781e-02, 2.63611799838375566e-04, 2.61138132991145131e-03, 9.05697338837749721e-01,-8.78336516840326027e+01
 1.55711744978192197e+01, 1.48046345945646030e-06,-1.64502158802640359e-06,-1.62910404966175174e-05,-8.78338562800832818e+01,-1.09048027879582649e-03, 3.79812762131063645e-06, 4.30274460319887198e-01, 7.81468186917286256e-03, 4.34343903021799579e-02, 9.14355163997284809e-02, 2.54885422553169209e-04, 2.52496305373202563e-03, 9.05784635123986326e-01,-8.78338562800832818e+01
 2.07671402808807066e+01, 1.41867349691404687e-06,-1.57950775580975518e-06,-1.56424803429663001e-05,-8.78340550520959198e+01,-1.05471200113995637e-03, 3.79807348630489064e-06, 4.30276605816827418e-01, 7.81477781364068973e-03, 4.34341677874334267e-02, 9.14430467747693182e-02, 2.46505251289263539e-04, 2.44197176658936602e-03, 9.05868476207352114e-01,-8.78340550520959198e+01
 2.59631060639421918e+01, 1.35975587741560267e-06,-1.51659831247755911e-06,-1.50196946537446956e-05,-8.78342482072947490e+01,-1.02036192324450018e-03, 3.79802088176198378e-06, 4.30278690697489086e-01, 7.81487104807960901e-03, 4.34339515615047231e-02, 9.14502670640285759e-02, 2.38458397921358583e-04, 2.36228012530219052e-03, 9.05948994412747899e-01,-8.78342482072947490e+01
