,APD,drug concentration,qNet
0,260.2,0.1,0.069664325857829
1,260.2,0.206913808111479,0.069655662423841
2,260.3,0.428133239871939,0.069639815647548
3,260.4,0.885866790410082,0.069609354079298
4,260.6,1.83298071083244,0.069550381160434
5,261,3.79269019073225,0.069437507554938
6,261.8,7.84759970351461,0.069221459461954
7,263.2,16.2377673918872,0.068809169064732
8,266,33.5981828628378,0.068030764390405
9,271.2,69.5192796177561,0.066585904266553
10,280.8,143.844988828766,0.063984742099443
11,297.6,297.635144163132,0.059553761237024
12,325.4,615.848211066026,0.052652956086996
13,367.1,1274.27498570313,0.043218462515575
14,423.4,2636.65089873036,0.032199126253778
15,491,5455.59478116851,0.021103126637439
16,564.5,11288.3789168469,0.010751262366956
17,639.2,23357.2146909012,-0.021628938957789
18,1000,48329.3023857175,-0.018585739871238
19,1000,100000,-0.089768333937439
