,APD,drug concentration
0,200.5,0.1
1,200.5,0.20691380811147897
2,200.5,0.42813323987193935
3,200.6,0.8858667904100825
4,200.6,1.8329807108324356
5,200.8,3.79269019073225
6,201.1,7.847599703514611
7,201.8,16.23776739188721
8,203.3,33.59818286283781
9,206.3,69.51927961775606
10,212.60000000000002,143.8449888287663
11,224.9,297.6351441631316
12,247.4,615.8482110660261
13,282.8,1274.2749857031322
14,329.1,2636.6508987303555
15,384.20000000000005,5455.594781168515
16,454.6,11288.378916846883
17,528.5,23357.21469090121
18,573.2,48329.30238571752
19,593.0,100000.0
