,APD,drug concentration
0,200.5,0.1
1,200.5,0.20691380811147897
2,200.5,0.42813323987193935
3,200.6,0.8858667904100825
4,200.6,1.8329807108324356
5,200.8,3.79269019073225
6,201.0,7.847599703514611
7,201.6,16.23776739188721
8,202.9,33.59818286283781
9,205.70000000000002,69.51927961775606
10,211.5,143.8449888287663
11,223.0,297.6351441631316
12,244.20000000000002,615.8482110660261
13,278.70000000000005,1274.2749857031322
14,326.1,2636.6508987303555
15,381.1,5455.594781168515
16,437.90000000000003,11288.378916846883
17,491.40000000000003,23357.21469090121
18,536.4000000000001,48329.30238571752
19,569.0,100000.0
