,APD,drug concentration
0,265.4928976941845,0.054814080736720804
1,268.02572007611604,0.18316902417126765
2,276.1665188420938,0.612085270487275
3,300.24957472779454,2.045369738299209
4,358.5595476428661,6.834893100144067
5,462.2832987594775,22.839765237018213
6,595.2274003869668,76.32232195584275
7,720.0026461800596,255.04194539870034
8,,852.2597565143998
9,,2847.957196040581
10,,9516.968500950514
11,,31803.59123678688
12,,106290.63115928727
13,,355346.3246370694
14,,1189242.4818793165
15,,3994279.260970748
16,,13578714.273101047
17,,48163455.039099425
18,,202526175.14407155
19,,4945727436.687763
