,pulse 0,pulse 1,drug concentration
0,264.39689451760256,264.3965753802249,0.0
1,266.38972197024776,266.3897933256247,0.1
2,283.12902281178475,283.1293117854465,1.0
3,386.51389022425644,386.51377046117403,10.0
4,490.92358718969615,490.92337756675727,30.0
5,625.4908603630786,625.4905260747876,100.0
6,,,300.0
7,,,500.0
8,,,1000.0
