,qNet,drug concentration
0,0.07380835206780732,0.1
1,0.07341730346088333,0.16237767391887217
2,0.07279834150544634,0.26366508987303583
3,0.07182833895540425,0.42813323987193935
4,0.07033261869930713,0.6951927961775606
5,0.0680826660017448,1.1288378916846888
6,0.06481802191981646,1.8329807108324356
7,0.06031599751966731,2.9763514416313175
8,0.05450190506864083,4.832930238571752
9,0.047560859028557924,7.847599703514611
10,0.03992782953993452,12.742749857031335
11,0.03212948300660635,20.6913808111479
12,0.02452130468497099,33.59818286283781
13,0.016908835520741895,54.555947811685144
14,0.005159320214061901,88.58667904100822
15,-0.017573832535764267,143.8449888287663
16,-0.0169582569697655,233.57214690901213
17,,379.2690190732246
18,,615.8482110660261
19,,1000.0
