,pulse 0,pulse 1,drug concentration
0,311.09751543986226,311.0977824678311,5.483933243568516
1,334.49648927901285,334.49712863742843,41.97447771173161
2,342.2228699822491,342.2228240064492,321.27625934289745
3,343.4735828154559,343.474477100362,2459.0844258606808
4,343.6468618086411,343.64799782992867,18822.59513594931
5,343.67120197904705,343.6709961131105,144102.56754906345
6,343.6738414121138,343.673834687062,1104902.5808389126
7,343.6748846975485,343.67435856389824,8571778.006850185
8,343.6749982298324,343.67539078378644,73211794.32447547
9,343.67480547182316,343.6751852808538,4945727436.687763
