,qNet,drug concentration
0,0.4632552400612268,5.483933243568516
1,0.44599541177738095,14.380645406353167
2,0.4318392912042292,37.71070116281335
3,0.4236328686151708,98.88965620990153
4,0.4198064017996038,259.320711971849
5,0.4182047056095803,680.0232312959253
6,0.4175658668157393,1783.2442567860273
7,0.4173141397483097,4676.267374769349
8,0.4172178039822611,12262.85377589556
9,0.41718041114459437,32158.33116799151
10,0.4171662826966694,84337.55274660117
11,0.41716029492962925,221215.45458219422
12,0.4171577923629577,580477.8668052685
13,0.4171576529412726,1524815.856235449
14,0.41715695104135003,4016654.9315958912
15,0.41715655300933757,10659450.681855628
16,0.4171563880424628,28861268.639476493
17,0.41715617466100446,82736324.77833676
18,0.41715642362734284,287114857.6900154
19,0.4171568489284603,4945727436.687763
