,pulse 1,drug concentration
0,267.1656492743567,0.1
1,267.94059504216534,0.16237767391887217
2,269.1591981797906,0.26366508987303583
3,271.04739685743624,0.42813323987193935
4,273.90781776366947,0.6951927961775606
5,278.09670647256223,1.1288378916846888
6,283.9380552177245,1.8329807108324356
7,291.55088393743495,2.9763514416313175
8,300.6515987553372,4.832930238571752
9,310.4762522826129,7.847599703514611
10,319.9888101882028,12.742749857031335
11,328.2767272129103,20.6913808111479
12,334.85887640682193,33.59818286283781
13,339.7087318722096,54.555947811685144
14,343.0870631961772,88.58667904100822
15,345.3483724161417,143.8449888287663
16,346.82143947525145,233.57214690901213
17,347.76412242263575,379.2690190732246
18,348.3604327668412,615.8482110660261
19,348.7350838130359,1000.0
