,pulse 1,drug concentration
0,266.87134784100203,0.1
1,267.4851281197093,0.16237767391887217
2,268.4610361759222,0.26366508987303583
3,269.99196252027525,0.42813323987193935
4,272.3478437487065,0.6951927961775606
5,275.86419307314446,1.1288378916846888
6,280.88672286759817,1.8329807108324356
7,287.6372275691476,2.9763514416313175
8,296.02991273637645,4.832930238571752
9,305.543567569243,7.847599703514611
10,315.2844594884029,12.742749857031335
11,324.266378555485,20.6913808111479
12,331.7670731773633,33.59818286283781
13,337.5152385605037,54.555947811685144
14,341.62983425110735,88.58667904100822
15,344.43015367672575,143.8449888287663
16,346.27044796070567,233.57214690901213
17,347.45167881867104,379.2690190732246
18,348.1983606658113,615.8482110660261
19,348.6658598288347,1000.0
