,APD,drug concentration,qNet
0,282.3,0.1,0.5006121700873964
1,282.3,0.20691380811147897,0.5006049243942098
2,282.3,0.42813323987193935,0.5005892416401169
3,282.3,0.8858667904100825,0.5005567063257679
4,282.4,1.8329807108324356,0.5004867902643622
5,282.6,3.79269019073225,0.500337007651689
6,282.9,7.847599703514611,0.5000200934271288
7,283.6,16.23776739188721,0.4993488195631629
8,285.1,33.59818286283781,0.4979427768602024
9,288.1,69.51927961775606,0.4950639634574478
10,293.70000000000005,143.8449888287663,0.4894312211094045
11,302.70000000000005,297.6351441631316,0.479378297140907
12,314.5,615.8482110660261,0.46424844349668043
13,326.2,1274.2749857031322,0.4467567069752166
14,334.8,2636.6508987303555,0.4323223902569763
15,339.7,5455.594781168515,0.4239597930845959
16,341.90000000000003,11288.378916846883,0.42009886204388586
17,342.90000000000003,23357.21469090121,0.418443324118292
18,343.3,48329.30238571752,0.41773521469559355
19,343.5,100000.0,0.41742326207877867
