,APD,drug concentration
0,358.0670209577268,5.483933243568516
1,487.7061332362588,14.380645406353167
2,851.6781330820166,37.71070116281335
3,,98.88965620990153
4,,259.320711971849
5,,680.0232312959253
6,,1783.2442567860273
7,,4676.267374769349
8,,12262.85377589556
9,,32158.33116799151
10,,84337.55274660117
11,,221215.45458219422
12,,580477.8668052685
13,,1524815.856235449
14,,4016654.9315958912
15,,10659450.681855628
16,,28861268.639476493
17,,82736324.77833676
18,,287114857.6900154
19,,4945727436.687763
