,qNet,drug concentration
0,0.27112347567248213,0.1
1,0.269693540076295,0.16237767391887217
2,0.267424269201593,0.26366508987303583
3,0.2638539850091964,0.42813323987193935
4,0.2583141090585026,0.6951927961775606
5,0.2499018016874696,1.1288378916846888
6,0.23753338889725134,1.8329807108324356
7,0.22013142183567883,2.9763514416313175
8,0.1968921256992686,4.832930238571752
9,0.1670497725220152,7.847599703514611
10,0.12820219896402232,12.742749857031335
11,0.06715576420015801,20.6913808111479
12,-0.08874596934610053,33.59818286283781
13,-0.11685249229585287,54.555947811685144
14,-0.3324666644307411,88.58667904100822
15,-0.3345757875581168,143.8449888287663
16,-0.3426584637927165,233.57214690901213
17,-0.35868719581805775,379.2690190732246
18,-0.37337022895076105,615.8482110660261
19,-0.6010514280947266,1000.0
