,qNet,drug concentration
0,0.18977836446194352,5.483933243568516
1,0.1162083333153713,14.380645406353167
2,-0.08865555040696492,37.71070116281335
3,-0.35342332760768497,98.88965620990153
4,-0.34597902197679764,259.320711971849
5,-0.3857531047527838,680.0232312959253
6,,1783.2442567860273
7,-0.32482444954805634,4676.267374769349
8,-0.3239327281157476,12262.85377589556
9,-0.32422386373538775,32158.33116799151
10,-0.5821592571688197,84337.55274660117
11,-0.3244013871559954,221215.45458219422
12,-0.32439395391175296,580477.8668052685
13,-0.5816868583453562,1524815.856235449
14,-0.324403680609891,4016654.9315958912
15,-0.32442234089068717,10659450.681855628
16,-0.3244013092959295,28861268.639476493
17,-0.3244458997703998,82736324.77833676
18,,287114857.6900154
19,-0.3244407516052637,4945727436.687763
