,APD,drug concentration
0,236.06269204215323,0.10134053710514009
1,236.10195194932362,0.25536889945237506
2,236.20476465621863,0.643506323485879
3,236.4747684260347,1.6215773206727757
4,237.18270413279964,4.086227853571672
5,239.0399231921781,10.296928460824397
6,243.9149626834482,25.947369054434034
7,256.69883407270976,65.38533005098581
8,289.67373821316954,164.76724200028204
9,372.2438401073533,415.21282592386785
10,553.6000874346885,1046.393736067061
11,,2637.4468254374983
12,,6650.292738146485
13,,16785.73161906322
14,,42481.99985234997
15,,108282.83476241292
16,,281361.47725739016
17,,772227.116625151
18,,2545512.0592520717
19,,38982267.67032044
