,pulse 0,pulse 1,APD,drug concentration,qNet
0,235.9333764850145,235.9332435916462,235.9333764850145,0.1,0.27344152479969003
1,235.963689835193,235.96371939520645,235.96371939520645,0.20691380811147897,0.27341339239489915
2,236.0217630258092,236.02190533722012,236.02190533722012,0.42813323987193935,0.27336055110124363
3,236.13413369775844,236.13400678748104,236.13413369775844,0.8858667904100825,0.27325917638718156
4,236.34959840492672,236.34958463677742,236.34959840492672,1.8329807108324356,0.2730631979281306
5,236.76367450869952,236.7637268432877,236.7637268432877,3.79269019073225,0.2726870991648947
6,237.55859386654294,237.55853170994703,237.55859386654294,7.847599703514611,0.27196614283422543
7,239.07913846029118,239.07881119274526,239.07913846029118,16.23776739188721,0.2705902237964826
8,241.97223563955998,241.97213460852947,241.97223563955998,33.59818286283781,0.2679859045171536
9,247.42030712471052,247.42024964826157,247.42030712471052,69.51927961775606,0.2631250627799327
10,257.48191225464217,257.48211639785535,257.48211639785535,143.8449888287663,0.25429460093199135
11,275.42430224553846,275.42452434167427,275.42452434167427,297.6351441631316,0.23900181225819095
12,305.63712358871993,305.63767745208924,305.63767745208924,615.8482110660261,0.21447285351439793
13,355.1383655309959,355.13903152004985,355.13903152004985,1274.2749857031322,0.17861833064277596
14,431.9807452553417,431.98459225316014,431.98459225316014,2636.6508987303555,0.12766411177281387
15,537.7190867382816,537.7310265236913,537.7310265236913,5455.594781168515,0.012206061716185561
16,503.4261318795541,850.4694752748715,850.4694752748715,11288.378916846883,-0.10497296570965166
17,,,,23357.21469090121,-0.33860576155764827
18,,,,48329.30238571752,-0.33580945882167906
19,,,,100000.0,-0.35657940824516476
