,pulse 0,pulse 1,APD,drug concentration,qNet
0,236.0279354811815,236.02787173553213,236.0279354811815,0.1,0.27342176770370474
1,236.085459387705,236.08541806378702,236.085459387705,0.20691380811147897,0.273369409444399
2,236.20440386484597,236.20429579764954,236.20440386484597,0.42813323987193935,0.2732622460833783
3,236.45040118619,236.4503832834621,236.45040118619,0.8858667904100825,0.27303936902446874
4,236.9582791102597,236.9582418652741,236.9582791102597,1.8329807108324356,0.27257878508708516
5,238.00461654118845,238.0045039930779,238.00461654118845,3.79269019073225,0.27163209971086577
6,240.15270326636852,240.1525096200457,240.15270326636852,7.847599703514611,0.2696959112124036
7,244.522230592261,244.52202401817743,244.522230592261,16.23776739188721,0.2657865990639214
8,253.2564876652492,253.25627648288747,253.2564876652492,33.59818286283781,0.25807985802080147
9,270.12424308709376,270.1240246440787,270.12424308709376,69.51927961775606,0.24359192096794896
10,300.73146465323197,300.7319862143981,300.7319862143981,143.8449888287663,0.218541997696188
11,353.74440626762015,353.7449571497701,353.7449571497701,297.6351441631316,0.17985001578369336
12,440.6285525331777,440.6328996546206,440.6328996546206,615.8482110660261,0.12245155621643396
13,561.5261595361573,561.5350154273242,561.5350154273242,1274.2749857031322,0.009476523346120154
14,864.1465045434711,526.7432457971905,864.1465045434711,2636.6508987303555,-0.12639022297477703
15,,,,5455.594781168515,-0.3540030795500463
16,,,,11288.378916846883,-0.3459682981039516
17,,,,23357.21469090121,-0.36976526795621245
18,,,,48329.30238571752,-0.3272836040624611
19,,,,100000.0,-0.6014925606477847
