,pulse 0,pulse 1,APD,drug concentration,qNet
0,235.9979324631978,235.99795558655904,235.99795558655904,0.09999999999999978,0.27345525723223274
1,236.01021195971174,236.0099279349813,236.01021195971174,0.14862768538434995,0.27344761106966736
2,236.0286298004238,236.02857320690146,236.0286298004238,0.22090188917425704,0.2734356340946784
3,236.0564979196743,236.05642775944904,236.0564979196743,0.3283213668927053,0.27341682359523156
4,236.09839509569872,236.09843856210205,236.09843856210205,0.4879764540335019,0.2733892263839845
5,236.1621457018819,236.16198928266607,236.1621457018819,0.7252681236764665,0.27334670534042427
6,236.25826000006583,236.2582375786174,236.25826000006583,1.0779492610342816,0.273283761416394
7,236.4035909703286,236.4036240441376,236.4036240441376,1.6021311211155476,0.2731876875518906
8,236.62358399327445,236.62346203895635,236.62358399327445,2.3812105986294374,0.2730425323510388
9,236.9560861080402,236.95616517405642,236.95616517405642,3.539138647152632,0.27282358452653405
10,237.45863363243672,237.45861056593276,237.45863363243672,5.2601408786132176,0.2724922539498657
11,238.21892718231504,238.21886756228542,238.21892718231504,7.8180279579290035,0.27199190949582425
12,239.3687745394717,239.36867714284818,239.3687745394717,11.619759243053162,0.2712361414788251
13,241.1078421818874,241.1077510390669,241.1078421818874,17.270191041728953,0.2700936716742168
14,243.73818812968187,243.73825093781818,243.73825093781818,25.668311855679395,0.2683701779311906
15,247.71634504418734,247.71639261589706,247.71639261589706,38.150277762610116,0.2657737336945972
16,253.72746068856873,253.72751829319054,253.72751829319054,56.70200970842,0.2618664806250874
17,262.78812154594186,262.788102120233,262.78812154594186,84.27518792942627,0.2560126144001829
18,276.3640489178523,276.3641141712913,276.3641141712913,125.25694307423845,0.24730773945015616
19,296.45392485626377,296.454048638774,296.454048638774,186.16802797763148,0.23454073398460878
20,325.67534532464305,325.67625339157166,325.67625339157166,276.70067562447036,0.21623434392747906
21,370.1595638479337,370.16146164111353,370.16146164111353,411.26155110570005,0.19063311209430503
22,434.5010269694819,434.50594005496515,434.50594005496515,611.2659216146544,0.1542989312769295
23,518.9948107400356,519.005310869865,519.005310869865,908.5494874443435,0.08816339316924326
24,700.8991571745188,541.4745579306202,700.8991571745188,1350.443936199289,-0.07718476549239363
25,528.7248072688578,873.9658112345326,873.9658112345326,2007.3310280988685,-0.11982975400423046
26,,,,2983.8934611130826,-0.15379343685338256
