,qNet,drug concentration
0,0.2734544678189866,0.10134053710514009
1,0.27342937328345474,0.25536889945237506
2,0.2733617787966401,0.643506323485879
3,0.27318433766344713,1.6215773206727757
4,0.27271889849314496,4.086227853571672
5,0.2714999008418152,10.296928460824397
6,0.2683131402368942,25.947369054434034
7,0.26002602204786884,65.38533005098581
8,0.23899249936671918,164.76724200028204
9,0.18990516130428817,415.21282592386785
10,0.04405151116106602,1046.393736067061
11,-0.14715999883258576,2637.4468254374983
12,-0.33849466102114767,6650.292738146485
13,-0.3810317911553944,16785.73161906322
14,-0.3322013722627362,42481.99985234997
15,-0.5920295362726169,108282.83476241292
16,,281361.47725739016
17,-0.3242406292676268,772227.116625151
18,-0.5819353762664372,2545512.0592520717
19,-0.32439443025178705,38982267.67032044
