,Kmax,Ku,halfmax,n,Vhalf,error
2,55315664.71867304,9.990053397217329,8058337450.84293,0.882278248508852,-84.85569319834285,0.0163384600394944
1,5304769.397796132,9.991133567328466,772828107.189679,0.8822699762760491,-84.83550800403206,0.0163384637147201
0,30606699.16392385,9.99447967598232,4392771703.615344,0.8858419626928219,-163.6033335752104,0.0167518309647558
