,Kmax,Ku,halfmax,n,Vhalf,error
4,4962020603.237815,5.515180818891723e-05,9770951212.771883,0.6684567351749446,-96.45897374139888,0.030407129316456075
2,744663626.4427841,5.515004452217917e-05,1466281699.9014304,0.6684598043108374,-96.48170219406707,0.030407133316742614
1,3878458550.7764697,5.515271982095572e-05,7636994894.058941,0.6684727631434428,-96.47900668428389,0.030407133320021387
3,498690109.40469104,5.513320413771122e-05,981645846.1125846,0.668406141089439,-96.54341466486594,0.030407133874338133
0,1568400470.9326403,5.5713956644608724e-05,3101911256.918748,0.6684488529424883,-94.49098107039255,0.030407858214492878
