"engine.time","ikr.IKr"
 1.00500000000000000e+03, 2.58392080240097723e-02
 1.01500000000000000e+03, 4.19136800561381584e-02
 1.02500000000000000e+03, 6.77889579100218881e-02
 1.03500000000000000e+03, 9.34028226654346205e-02
 1.04500000000000000e+03, 1.18488700103102737e-01
 1.05500000000000000e+03, 1.43053796945171868e-01
 1.06500000000000000e+03, 1.67108507918646343e-01
 1.07500000000000000e+03, 1.90663533868151325e-01
 1.08500000000000000e+03, 2.13729289564632691e-01
 1.09500000000000000e+03, 2.36315897376542572e-01
 1.10500000000000000e+03, 2.58433300972531366e-01
 1.11500000000000000e+03, 2.80091262439226496e-01
 1.12500000000000000e+03, 3.01299336480665036e-01
 1.13500000000000000e+03, 3.22066870002487293e-01
 1.14500000000000000e+03, 3.42402866827380914e-01
 1.15500000000000000e+03, 3.62316442305486985e-01
 1.16500000000000000e+03, 3.81816443242016301e-01
 1.17500000000000000e+03, 4.00911460390329322e-01
 1.18500000000000000e+03, 4.19609882330026551e-01
 1.19500000000000000e+03, 4.37919924105084013e-01
 1.20500000000000000e+03, 4.55849620569408087e-01
 1.21500000000000000e+03, 4.73406871996852663e-01
 1.22500000000000000e+03, 4.90599404383069426e-01
 1.23500000000000000e+03, 5.07434803985311156e-01
 1.24500000000000000e+03, 5.23920491802554733e-01
 1.25500000000000000e+03, 5.40063740837782302e-01
 1.26500000000000000e+03, 5.55871657265372021e-01
 1.27500000000000000e+03, 5.71351213149888570e-01
 1.28500000000000000e+03, 5.86509227103510722e-01
 1.29500000000000000e+03, 6.01352364440314147e-01
 1.30500000000000000e+03, 6.15887178840182847e-01
 1.31500000000000000e+03, 6.30120062958794414e-01
 1.32500000000000000e+03, 6.44057290561135920e-01
 1.33500000000000000e+03, 6.57705005526226127e-01
 1.34500000000000000e+03, 6.71069223842300833e-01
 1.35500000000000000e+03, 6.84155832436155742e-01
 1.36500000000000000e+03, 6.96970604290545026e-01
 1.37500000000000000e+03, 7.09519183683983257e-01
 1.38500000000000000e+03, 7.21807101398622697e-01
 1.39500000000000000e+03, 7.33839772290466597e-01
 1.40500000000000000e+03, 7.45622497740719314e-01
 1.41500000000000000e+03, 7.57160468017620603e-01
