,pulse 1,drug concentration
0,265.8819568448435,0.1
1,265.8971264329103,0.20691380811147897
2,265.92656655565423,0.42813323987193935
3,265.98253485554375,0.8858667904100825
4,266.09030556246387,1.8329807108324356
5,266.297101295627,3.79269019073225
6,266.6919559524795,7.847599703514611
7,267.4417716804395,16.23776739188721
8,268.8462447730086,33.59818286283781
9,271.415948239169,69.51927961775606
10,275.92066143543536,143.8449888287663
11,283.25388443106056,297.6351441631316
12,293.8722253641449,615.8482110660261
13,306.9202900219513,1274.2749857031322
14,320.0931866085786,2636.6508987303555
15,331.01028594983745,5455.594781168515
16,338.66813535112743,11288.378916846883
17,343.426737300005,23357.21469090121
18,346.162184593166,48329.30238571752
19,347.6640338563608,100000.0
