,pulse 1,drug concentration
0,265.876688834384,0.1
1,265.8891076794785,0.20691380811147897
2,265.9158422264808,0.42813323987193935
3,265.97266925080106,0.8858667904100825
4,266.0937565007006,1.8329807108324356
5,266.35153518796454,3.79269019073225
6,266.8971358482914,7.847599703514611
7,268.0423990728116,16.23776739188721
8,270.39974466106844,33.59818286283781
9,275.0638338991419,69.51927961775606
10,283.58685444167537,143.8449888287663
11,297.0447636694962,297.6351441631316
12,313.9214834481502,615.8482110660261
13,329.67703626686915,1274.2749857031322
14,340.3654395625185,2636.6508987303555
15,345.681499836688,5455.594781168515
16,347.852728485971,11288.378916846883
17,348.70935832014516,23357.21469090121
18,349.0642526669388,48329.30238571752
19,349.21968411684225,100000.0
