,qNet,drug concentration
0,0.2914774332120247,0.1
1,0.2900230527113336,0.16237767391887217
2,0.28771330836322906,0.26366508987303583
3,0.2840744475700395,0.42813323987193935
4,0.27841935051893346,0.6951927961775606
5,0.2698062617558865,1.1288378916846888
6,0.2570777089616222,1.8329807108324356
7,0.2390701925941277,2.9763514416313175
8,0.2150696785799035,4.832930238571752
9,0.1851348643960284,7.847599703514611
10,0.14917327003801897,12.742749857031335
11,0.10383337974572687,20.6913808111479
12,0.025793499616595106,33.59818286283781
13,-0.10342723061833602,54.555947811685144
14,-0.1463476786485826,88.58667904100822
15,-0.3480822495919709,143.8449888287663
16,-0.3472001272434826,233.57214690901213
17,-0.35507124040185467,379.2690190732246
18,-0.3673361361780059,615.8482110660261
19,-0.37783629761797455,1000.0
