,APD,drug concentration,qNet
0,261.8560308287802,0.1,0.5255849957427197
1,262.4082880053805,0.16237767391887217,0.524921651691306
2,263.282377809435,0.26366508987303583,0.523870889715879
3,264.6520952272197,0.42813323987193935,0.5222226643184553
4,266.7601009206222,0.6951927961775606,0.5196757693951767
5,269.9227543865625,1.1288378916846888,0.51583514614277
6,274.49334737272034,1.8329807108324356,0.5102415075418577
7,280.75112218520826,2.9763514416313175,0.5024957608926075
8,288.72186661806285,4.832930238571752,0.4924728963648871
9,297.99765747813166,7.847599703514611,0.4805663850055812
10,307.7297780138013,12.742749857031335,0.46776445173461084
11,316.8935014916125,20.6913808111479,0.4553918822555065
12,324.6800016869919,33.59818286283781,0.4446111124591556
13,330.7349575531701,54.555947811685144,0.43604484428000173
14,335.12534150923517,88.58667904100822,0.4297287623486631
15,338.1477386021434,143.8449888287663,0.42532658471445295
16,340.1532499531699,233.57214690901213,0.4223793247659767
17,341.4535276513813,379.2690190732246,0.42046007828495546
18,342.2820162817621,615.8482110660261,0.4192299163577503
19,342.8049284710678,1000.0,0.4184532194428844
